# language_name_wals:	Alamblak
# language_name_glotto:	Alamblak
# ISO_6393:	amp
# year_composed:	NA
# year_published:	2004
# mode:	written
# genre_broad:	non-fiction
# genre_narrow:	religion
# writing_system:	Latn
# special_characters:	NA
# short_description:	Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.
# source:	http://pngscriptures.org/amp/copyright.htm
# copyright_short:	© Wycliffe Bible Translators, Inc. 2003 2004
# copyright_long:	Print publisher: The Bible League<br>Electronic publisher: PNG Bible Translation Association<br>Translation by:<br>Wycliffe Bible Translators<br>This translation is made available to you under the terms of the Creative Commons Attribution-Noncommercial-No Derivative Works license. In addition, you have permission to port the text to different file formats, as long as you don't change any of the text or punctuation of the Bible.<br>Pictures included with Scriptures and other documents on this site are licensed just for use with those Scriptures and documents. For other uses, please contact the respective copyright owners.<br>You may share, copy, distribute, transmit, and extract portions or quotations from this work, provided that:<br>You include the above copyright information and that you make it clear that the work came from http://pngscriptures.org/.<br>You do not sell this work for a profit.<br>You do not make any derivative works that change any of the actual words or punctuation of the Scriptures.<br>Permissions beyond the scope of this license may be available if you contact us with your request. If you want to revise a translation, use a translation in an adaptation, or use a translation commercially, we will relay your request to the appropriate copyright owner.
# sample_type:	whole
# comments:	The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.

40001001	Ndarm Jisas Kraisrhu nkifraroh yufayem . Jisasr Defit frikef yuhat niamor , tfit Defitrn Abrahamrhu frika yuhat niamor .
40001002	Abrahamrn nasakmorr Aisakr . Tfit Aisakr nasakmorr Jekofr . Jekofr nasakmorm Judari rorhu wom nmemrom .
40001003	Judar nasakmorf Peres Serarof . Rofhu mmemt Tamat . Tfit Peresrn nasakmorr Hesronr . Yo Hesronrn nasakmorr Ramr .
40001004	Yo Ramrn nasakmorr Aminadafr . Aminadafrn nasakmorr Nasonr . Yo Nasonrn nasakmorr Salmonr .
40001005	Salmonr nasakmorr Boasr . Rorhu mmemt Rahaft . Boasrn nasakmorr Obetr . Rorhu mmemt Rutt . Tfit Obetrn nasakmorr Jesir .
40001006	Jesirn nasakmorr King Defitr . Yo Defitrn nasakmorr Solomonr . Solomonrhu mmemtn Uriarhu mett rhumot .
40001007	Solomonr nasakmorr Rehoboamr . Rehoboamrn nasakmorr Abiyar . Yo Abiyarn nasakmorr Asar .
40001008	Asarn nasakmorr Jehosafatr . Tfit Jehosafatrn nasakmorr Jehoramr . Jehoramrn nasakmorr Usiar .
40001009	Usiar nasakmorr Jotamr . Jotamr nasakmorr Ahasr . Yo Ahasrn nasakmorr Hesekiar .
40001010	Hesekiar nasakmorr Manaser . Yo Manaser nasakmorr Emonr . Emonrn nasakmorr Josaiar .
40001011	Josaiar nasakmorr Jehoiakinri rorhu nmemrom . Nd yihar Isrerm Babilonko kalabus yi tohmom .
