# language_name_wals:	Apurinã
# language_name_glotto:	Apurinã
# ISO_639-3:	apu
# year_composed:	NA
# year_published:	2004
# mode:	written
# genre_(broad):	non-fiction
# genre_(narrow):	religion
# writing_system:	Latn
# special_characters:	NA
# short_description:	Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.
# source:	http://www.scriptureearth.org/data/apu
# copyright_short:	© Wycliffe Bible Translators 2010
# copyright_long:	Atribuição-Uso Não-Comercial-Vedada a Criação de Obras Derivadas 3.0<br>Você pode: — copiar, distribuir, exibir e executar a obra SOB AS SEGUINTES CONDIÇÕES:<br>ATRIBUIÇÃO — Você deve dar crédito ao autor original, da forma especificada pelo autor ou licenciante.<br>USO NÃO-COMERCIAL — Você não pode utilizar esta obra com finalidades comerciais.<br>VEDADA A CRIAÇÃO DE OBRAS DERIVADAS — Você não pode alterar, transformar ou criar outra obra com base nesta.
# sample_type:	whole
# comments:	The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.

40001001	Xesosi Teoso mereẽkiti itxaua . Uai aua Xesosi apika atokiriakorini uãka . Xosee inakori Xesosi iri atoko ĩkorapokoriti . Apraãoni , Taviini pakini Xesosi apika atokiriakorini atoko . Ininiã Xesosi Taviini , Apraãoni pakini imi atoko itxa .
40001002	Ininiã ia atoko itxa : Kitxakapirĩka Apraão , Isaki iri . Isaki , Xakoo iri . Xakoo , Xotaa itariakorikata iri .
40001003	Xotaa , Péresi , Sera pakini iri . Inorona Tamara . Péresi , Ésirõ iri . Ésirõ , Arão iri .
40001004	Arão , Aminatapi iri . Aminatapi , Nasoõ iri . Nasoõ , Sáomõ iri .
40001005	Sáomõ , Póasi iri . Póasi inoro Haapi . Póasi , Opetxi iri . Opetxi inoro Hotxi . Opetxi , Xesee iri .
40001006	Xesee , Tavii iri . Tavii Isaeokini auĩte itxaua . Tavii , Saromão iri . Saromão inoro mitxi Oria ĩtanoro . Eereka Tavii takaro oa .
40001007	Saromão , Hopoão iri . Hopoão , Apia iri . Apia , Asa iri .
40001008	Asa , Xosapaa iri . Xosapaa , Xorão iri . Xorão , Osia iri .
40001009	Osia , Xotão iri . Xotão , Akasi iri . Akasi , Esekia iri .
40001010	Esekia , Manasee iri . Manasee , Amõ iri . Amõ , Xosia iri .
40001011	Xosia , Xekonia itariakorikata iri . Iuasaaki ĩkorakanani kãkiti Isaeokini maĩkaãka . Papirónia tixinimoni anikaãkana .
40001012	Papirónia anikikona atoko , Xekonia , Saratxieo iri . Saratxieo , Soropapeo iri .
40001013	Soropapeo , Apiotxi iri . Apiotxi , Eriakiĩ iri . Eriakiĩ , Asoo iri .
40001014	Asoo , Satoki iri . Satoki , Akĩ iri . Akĩ , Eriotxi iri .
40001015	Eriotxi , Ereasa iri . Ereasa , Mataã iri . Mataã , Xakoo iri .
40001016	Xakoo , Xosee iri . Iua Xosee , Maria ĩtaniri . Xesosi , iuara Teoso Mereẽkiti itxaua . Inoro Maria .
40001017	Apraão , iua ãkiri , imekaniri , apika mekaniri , apika mekaniri ãkiri , apika mekaniri apika mekaniri , apiko itxaãpota . Tavii auakasaaki , katosipeka pakini ninoa uãka . Eereka aua Tavii , Tavii ãkiri , imekaniri , apika mekaniri , apiko itxaãpota . Katosipeka pakini ninoa uãka . Iuasaakiika Xoteoakori anikaãka Papirónia tixinimoni . Ninoa mekaniriakori katosipeka inakasaaki , Xesosi iponaniãpeka .
40001018	Ia atoko itxapaniko Xesosi . Teoso mereẽkiti iponaniãkasaaki , Maria ominapatari Xosee . Oĩtaniriuatini apisapanika , omotokiãri amarini Erekari Matamatakoti sikakiti .
