# language_name_wals:	Arapesh (Mountain)
# language_name_glotto:	Bukiyip
# ISO_639-3:	ape
# year_composed:	NA
# year_published:	1994
# mode:	written
# genre_(broad):	non-fiction
# genre_(narrow):	religion
# writing_system:	Latn
# special_characters:	NA
# short_description:	Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.
# source:	http://pngscriptures.org/ape/copyright.htm
# copyright_short:	© Wycliffe Bible Translators, Inc. 1994
# copyright_long:	Print publisher: The Bible League<br>Electronic publisher: PNG Bible Translation Association<br>Translation by:<br>Wycliffe Bible Translators<br>This translation is made available to you under the terms of the Creative Commons Attribution-Noncommercial-No Derivative Works license. In addition, you have permission to port the text to different file formats, as long as you don't change any of the text or punctuation of the Bible.<br>Pictures included with Scriptures and other documents on this site are licensed just for use with those Scriptures and documents. For other uses, please contact the respective copyright owners.<br>You may share, copy, distribute, transmit, and extract portions or quotations from this work, provided that:<br>You include the above copyright information and that you make it clear that the work came from http://pngscriptures.org/.<br>You do not sell this work for a profit.<br>You do not make any derivative works that change any of the actual words or punctuation of the Scriptures.<br>Permissions beyond the scope of this license may be available if you contact us with your request. If you want to revise a translation, use a translation in an adaptation, or use a translation commercially, we will relay your request to the appropriate copyright owner.
# sample_type:	whole
# comments:	The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.

40001001	Jisas Krais ananich popech yamech echechiguh yeguh douk oguhudak : Jisas ananinu yamenu Devit . Devit ananinu yamenu Ebraham .
40001002	Ebraham ananinu nuganinu Aisak . Aisak ananinu nuganinu Jekop . Ali Jekop douk nololi Juda nanu ananim owahlim .
40001003	Juda nololi Peres nanu Sira . Amamik mamakik douk Tema . Peres ananinu nuganinu Hesron . Hesron ananinu nuganinu Ram .
40001004	Ram ananinu nuganinu Aminadap . Aminadap ananinu nuganinu Nason . Nason ananinu nuganinu Salmon .
40001005	Salmon ananinu nuganinu Boas . Boas ananik mamakik douk Rehap . Boas ananinu nuganinu Obet . Obet ananik mamakik Rut . Obet ananinu nuganinu Jesi .
40001006	Jesi ananinu nuganinu douk king Devit . Devit ananinu nuganinu douk Solomon . Solomon ananik mamakik douk susubati Yuraia nalik nahwok uli .
40001007	Solomon ananinu nuganinu Riaboam . Riaboam ananinu nuganinu Abaisa . Abaisa ananinu nuganinu Esa .
40001008	Esa ananinu nuganinu Jehosafat . Jehosafat ananinu nuganinu Joram . Joram ananinu nuganinu Asaia .
40001009	Asaia ananinu nuganinu Jotam . Jotam ananinu nuganinu Ehas . Ehas ananinu nuganinu Hesekaia .
40001010	Hesekaia ananinu nuganinu Manasa . Manasa ananinu nuganinu Emos . Emos ananinu nuganinu Josaia .
40001011	Josaia ananim nugamim douk Jekonaia nanu ananim owahlim . Ababuk nyultab amam haitak abali , echech Babilon douk chanaki chowechik echech Isrel chalawech chanak chenek kalabus chape Babilon .
40001012	Chanak chonowechik chape Babilon ali Jekonaia nololi Sialtiel . Sialtiel ananinu nuganinu douk Serababel .
40001013	Serababel ananinu nuganinu Abiut . Abiut ananinu nuganinu Elaiakim . Elaiakim ananinu nuganinu Eso .
40001014	Eso ananinu nuganinu Sedok . Sedok ananinu nuganinu Ekim . Ekim ananinu nuganinu Elaiat .
40001015	Elaiat ananinu nuganinu Eleasa . Eleasa ananinu nuganinu Matan . Matan ananinu nuganinu Jekop .
40001016	Jekop ananinu nuganinu Josep . Ali Josep douk nasuh Maria ali kwololi Jisas douk chohwalanamu Krais uli . Anan douk anudak alman douk God natalihanu ali nakaganu nanamali nunolau elpech uli .
40001017	Namudak ali chadalehi lainab elpech douk chapeli Ebraham napenyubali nyultab aliga chanaki chatoglomali Devit naitak abali nyultab umu douk banak batoglu 14-poleib . Wata chopuk chadalehabi Devit napenyubali nyultab aliga chanak chatoglomali abudak nyultab echech Babilon chanaki chalau echech Isrel chanak chowechikech chape Babilon abali douk chopuk chadalehab banak batoglu 14-poleib . Wata chopuk chadalehabi abudak nyultab chabih chape Babilon abali aliga chanak chatoglolimu Krais naitak abali nyultab umu douk chopuk namudak ati , chadalehab banak batoglu 14-poleib .
40001018	Jisas Krais naitak umu douk namudak . Ananik mamakik Maria douk chasonukok umu Josep . Echech douk watak chunosupu e ali God ananin Michin nyanaki nyawichok ali chatik umu okwok douk apahwik .
40001019	Okwokwinu alaminu Josep douk nanubu duldulinali alman . Namudak ali anan douk nakli wak umu nuklipu enech elpech nukli okwok douk kwasonukeh kipainali ali nunekok kulau ablan namudak , wak . Namudak ali ulkum molomu anan atunu umu nakli nukogok kunakuk meyoh .
40001020	Josep douk watak nape nanabuk ulkum umu enyudak ali nechuh nonobek anas yomnis . Asudak yomnis douk natik enen Diginali ananin ensel nyatoglomanu ali nyaklipanu nyakli , “ Josep , Devit ananinu yamenu , nyak kobi elgeinyamu nyulau Maria kutaglu nyakik almatok , wak . Mnek ! Diginali ananin Michin nyanaki nyawichok ali okwok dakio apahwik .
40001021	Okwok douk eke kulali ananu nuganinu ali nyak nyunubu nyubukumanu yeul Jisas . Umu monoken , anan douk eke nugakamu elpech chutukemaguk yowenyi ali chutanamali chupe kalbu . ”
40001022	Enyudak nyanatimaguk douk nyatoglomu enen balan seiwak God nohul ananu profet neyagwlehen uli nyutoglu adulin atin . Balan enyudak .
