# language_name_wals:	Jakaltek
# language_name_glotto:	Popti'
# iso639_3:	jac
# year_composed:	NA
# year_published:	1997
# mode:	written
# genre_broad:	non-fiction
# genre_narrow:	religion
# writing_system:	Latn
# special_characters:	NA
# short_description:	The New Testament in Eastern Jacalteco. Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.
# source:	http://www.bible.is/JACWBT/Matt/1
# copyright_short:	© Wycliffe Bible Translators1997
# copyright_long:	NA
# sample_type:	whole
# comments:	The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.

40001001	Ha' icham Abraham yeb naj rey David , ha' yichmam Comam Jesucristo . Hac ti' ye istxolal yichmam Comam haca' ti' :
40001002	Icham Abraham , ha' icham ismam naj Isaac , naj Isaac ha' naj ismam naj Jacob , naj Jacob , ha' naj ismam naj Jud'a yeb huntek'anxa yuẍtaj .
40001003	Naj Jud'a , ha' naj ismam naj Fares yeb naj Zara , ha' xin ismi' ebnaj cawan̈ tu' ha' ton ix Tamar . Naj Fares ha' naj ismam naj Esrom , naj Esrom ha' naj ismam naj Aram .
40001004	Naj Aram , ha' naj ismam naj Aminadab , naj Aminadab , ha' naj ismam naj Naas'on , naj Naas'on , ha' naj ismam naj Salm'on .
40001005	Naj Salm'on , ha' naj ismam naj Booz , wal ismi' naj Booz , ha' ton ix Rahab . Naj Booz , ha' naj ismam naj Obed , wal ismi' naj Obed tu' , ha' ton ix Rut . Naj Obed , ha' naj ismam naj Isa'i .
40001006	Naj Isa'i , ha' naj ismam naj rey David . Haxa naj David , ha' naj ismam naj Salom'on , ismi' naj Salom'on tu' xin , ha' ton ix yixaltic'a naj Ur'ias yet yalan̈tocanoj .
40001007	Wal naj Salom'on , ha' naj ismam naj Roboam , naj Roboam , ha' naj ismam naj Ab'ias , naj Ab'ias , ha' naj ismam naj Asa .
40001008	Naj Asa , ha' naj ismam naj Josafat , naj Josafat ha' naj ismam naj Joram , naj Joram , ha' naj ismam naj Uz'ias .
40001009	Naj Uz'ias , ha' naj ismam naj Jotam , naj Jotam , ha' naj ismam naj Acaz , naj Acaz ha' naj ismam naj Ezequ'ias .
40001010	Naj Ezequ'ias , ha' naj ismam naj Manas'es , naj Manas'es , ha' naj ismam naj Am'on , naj Am'on ha' naj ismam naj Jos'ias .
40001011	Naj Jos'ias , ha' naj ismam naj Jecon'ias yeb huntek'anxa yuẍtaj . Ha' yin̈ istiempohal naj Jecon'ias tu' ilaxto ebnaj Israel preso yul con̈ob Babilonia .
40001012	Hayet yelti ebnaj yalan̈ yip Babilonia tu' xin ha' naj Jecon'ias , ha' naj ismam naj Salatiel , naj Salatiel , ha' naj ismam naj Zorobabel .
40001013	Naj Zorobabel , ha' naj ismam naj Abiud , naj Abiud , ha' naj ismam naj Eliaquim , naj Eliaquim , ha' naj ismam naj Azor .
40001014	Naj Azor , ha' naj ismam naj Sadoc , naj Sadoc ha' naj ismam naj Aquim , haxa naj Aquim , ha' naj ismam naj Eliud .
40001015	Naj Eliud , ha' naj ismam naj Eleazar , naj Eleazar , ha' naj ismam naj Mat'an , haxa naj Mat'an , ha' naj ismam naj Jacob .
40001016	Naj Jacob , ha' naj ismam naj Jos'e , naj Jos'e tu' ha' naj yichamil ix Mar'ia . Ix Mar'ia tu' ha' ix ismi' Comam Jes'us , ha' ton Comam Cristo .
40001017	Wal xin ay can̈lahon̈wan̈ mame yin̈ istxolal yichmam Comam Jesucristo chiichiti yin̈ icham Abraham masanta yin̈ naj rey David . Tzujanilo yinta naj rey David tu' yichipaxti can̈lahon̈wan̈ mame istxolal yichmam Comam masanta yet yilaxto ebnaj Israel preso bey Babilonia . Tzujanxa yet yilaxto ebnaj Israel preso yul con̈ob Babilonia tu' yichipaxti can̈lahon̈wan̈xa ebnaj mame yin̈ istxolal yichmam Comam Jesucristo masanto yin̈ istiempohal yet ispitzc'a Comam .
40001018	Hac ti' ye istzoti'al yin̈ yet ispitzc'a Comam Jesucristo . Wal ix Mar'ia tak'webilxa yu ix ismohyi yeb naj Jos'e , yaja' yet maẍto chiyik' isba , ispitzc'ati' nich'an unin yin̈ ix yu yip Comam Esp'iritu Santo .
40001019	Wal naj Jos'e waxan̈ca caw yijem naj tet isley naj Mois'es , yaja' mach isje isc'ul naj isk'ana' yin̈ ix Mar'ia tu' , yoc yin̈ isnabal naj isbejnicano ix yin̈ ewantajil .
40001020	Hayet lan̈an yec' hune' tu' yin̈ isnabal naj , isyeni isba hune' y'angel Comam Dios tet naj yul iswayic ; yalni naj 'angel tu' haca' ti' : -- Jos'e , hach titnajach yin̈ yuninal naj rey David , mach chinanon hac'ul hamohyi yeb ix Mar'ia , yuto ha' nich'an unin ijbilico yu ix yet Comam Esp'iritu Santo .
40001021	Nich'an unin chipitzc'a tu' , Jes'us chawaco isbihoj , yuto ha' naj chicolnilti yet con̈ob yalan̈ ismul , ẍi naj 'angel .
40001022	Hac tu' yu yijni isba tzet yalcano Comam Dios tet hune' ischejab yet payat , yet istz'ibn̈encano haca' ti' :
40001023	Ay hune' ix k'opo maẍto hunu winaj chik'le , yaja' chipitzc'ati nich'an winaj unin yin̈ ix , nich'an unin chipitzc'a tu' Emanuel chiyij isbi , ẍiayoj . Emanuel , ha' chaliloj ayco Comam Dios coxol .
40001024	Lahwi tu' yel iswayan̈ naj Jos'e , isyijen naj yin̈ tzet yal y'angel Comam Dios , ismohyi naj yeb ix Mar'ia .
40001025	Yaja' mach ishunba isba masanto yet ispitzc'a nich'an yunin ix . Ha' nich'an unin pitzc'a tu' xin , Jes'us yaco naj isbihoj .
40002001	Bey yul con̈ob Bel'en ayco yul ismajul tx'otx' Judea , ha' tu' pitzc'a nich'an Jes'us . Yet hune' tiempohal tu' ha' naj Herodes ayco isreyalo tx'otx' Judea . Ay xin huntek'an ebnaj caw ay ishelanil chicuyni yin̈ tzettaj ye tx'umel , ispeto ebnaj yin̈ yetc'ulal bay chiahilo tz'ayic . Yet yapni ebnaj bey con̈ob Jerusal'en ,
40002002	isk'amben ebnaj : -- ¿ Baytu'wal ay hune' naj nich'an xapitzc'ahi , naj chioc isreyalo anma Israel ti' ? Jilan̈ yahilo hune' tx'umel yin̈ yetc'ulal bay chiahilo tz'ayic , ha' xin ak'ni cotxumulojan̈ tato xapitzc'a naj . Yuxin macon̈titan̈ jik'ayo cobahan̈ tet naj , ẍi ebnaj .
40002003	Yet yaben naj rey Herodes hune' tu' , caw somchacan̈ yul iswi' naj yeb sunil anma ay yul con̈ob Jerusal'en .
40002004	Yuxin yawte naj Herodes tu' ebnaj yahawil yin̈ ebnaj sacerdote Israel , yeb ebnaj cuywawom yin̈ isley naj Mois'es ; isk'amben naj tet ebnaj : -- ¿ Baytaxca tu' chipitzc'a naj Cristo ? ẍi naj .
40002005	Istak'wi ebnaj tet naj : -- Yul con̈ob Bel'en yul ismajul Judea chipitzc'a naj , yuto hac tu' yu istz'ibn̈elaxcanayo yul Yum Comam Dios yu hune' ischejab yet payat , bay chal haca' ti' :
40002006	Con̈ob Bel'en , ha' caw nich'anch'an sata hunuxa con̈ob ay yul ismajul tx'otx' Judea , yaja' caw ec'balto yelapno ye sata huntek'an con̈ob tu' , yuto ha' bey tu' chipitzc'a hune' naj yahaw . Ha' naj xin chioc tan̈eno con̈ob Israel , ẍiayoj , ẍi ebnaj .
40002007	Lahwi tu' xin , yawten naj rey Herodes ebnaj mago yin̈ ewantajil , yoc naj isk'ambeno tet ebnaj yin̈ tzet tiempohal isye isba hune' tx'umel tu' tet ebnaj .
