# language_name_wals:	Khalkha
# language_name_glotto:	Halh Mongolian
# ISO_6393:	khk
# year_composed:	NA
# year_published:	2004
# mode:	written
# genre_broad:	non-fiction
# genre_narrow:	religion
# writing_system:	Latn
# special_characters:	NA
# short_description:	New Testament Portions in Halh Mongolian. Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.
# source:	http://www.biblesos.org/mn/Abrahamyn-udam-Davidyn-udam-Yesus-Hristiin-ugiin-bichig/
# copyright_short:	NA
# copyright_long:	NA
# sample_type:	whole
# comments:	The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.

40001001	Abrahamyn udam , Davidyn udam , Yesus Hristiin ugiin bichig .
40001002	Abraham Isaakiin etseg , Isaak Iakovyn etseg , Iakov Iudagiin bolon ah duusiinh ni etseg boloi .
40001003	Iuda ni Pyeryez , Zyera naryn etseg bogood ted Tamaraas torjee . Pyeryez Hyezrony etseg , Hyezron Ramyn etseg ,
40001004	Ram Amminadabyn etseg , Amminadab Nahshony etseg , Nahshon Salmony etseg yum .
40001005	Salmond Rahabaar Boaz , Boazd Rutaar Obyed torjee . Obyed bol Iyessiin etseg ,
40001006	Iyessi ni David haany etseg bilee . Uriagiin ehnerees Davidad Solomon torson
40001007	bogood Solomon Ryehoboamyn etseg , Ryehoboam Abiagiin etseg , Abia Asagiin etseg yum .
40001008	Asa Iyehoshafatyn etseg , Iyehoshafat Ioramyn etseg , Ioram Uzziagiin etseg ,
40001009	Uzzia Iotamyn etseg , Iotam Ahazyn etseg , Ahaz Hyezyekiagiin etseg ,
40001010	Hyezyekia Manassyegiin etseg , Manassye Amony etseg , Amon Iosiagiin etseg yum .
40001011	Vavilon uruu tsologdoh uyed Iosiad Iyekonia bolon ah duus ni torjee .
40001012	Vavilon uruu tsologdsonii daraa Iyekoniad Shyealtiyel , Shyealtiyeld Zyerubbabyel nar torov .
40001013	Zyerubbabyel Abihudyn etseg , Abihud Yeliakimyn etseg , Yeliakim Azoryn etseg ,
40001014	Azor Zadokiin etseg , Zadok Ahimyn etseg , Ahim Yeliudyn etseg ,
40001015	Yeliud Yelyeazaryn etseg , Yelyeazar Mattany etseg , Mattan Iakovyn etseg yum .
40001016	Iakov bol Hrist hemeegddeg Yesusiig toruulsen Mariagiin nohor Iosyefyn etseg boloi .
