# language_name_wals:	Maung
# language_name_glotto:	Mawng
# ISO_639-3:	mph
# year_composed:	NA
# year_published:	NA
# mode:	written
# genre_(broad):	non-fiction
# genre_(narrow):	religion
# writing_system:	Latn
# special_characters:	NA
# short_description:	Maung Mark. Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.
# source:	https://www.bible.com/de/versions/1376<br>http://www.wycliffe.org
# copyright_short:	© Wycliffe Bible Translators, Inc.
# copyright_long:	NA
# sample_type:	whole
# comments:	The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.

41001001	Tukapa ta nungmalal ta ngaralk alaj Jesus Christ ja God inimalkpany . Tukapa ta ngungpanunma nuwurru .
41001002	Wularrut mira marrik Jesus ilurrangkena , God iminy nuyu ja arrarrkpi ingurlaj Isaiah ja inininy monmon God nuyu ta wulatpiyi animirrawung tuka jurra nuyu , “ God iwanilangakaga ja arrarrkpi ja angpaningulakan nuyu . Nukapa ja arrarrkpi iwanini monmon nuyu la angpaningulakan nuyu la pata arrarrkpi awanalyu nuyu .
41001003	Wakapa iwalaja wu pata arrarrkpi pata kawani tuka karrape iwanamin pu , ‘ Nuwurripa kurrkulinngulina ! Warrwakapa ja God iwanaga kani tuka kunak la kutpawani orka . Kurrungpangula angkat nuyu ta alan . ’ ”
41001004	Malany ja Isaiah inininy monmon John ja aningurtpulukpuning pu . Kayirrk la God inilangakanka angpaningulakan nuyu Jesus . La John annyunmangung wu ta God nuyu ta ngaralk wu pata arrarrkpi . Yanatapa yarrangung tuka karrapey la iyarning manpurrwa iwunguliny ja camel iwiya la muj iyarning ingiri ja karrungmarluta . Yanat inilangung itpiyitpi la kakurl . Kayirrk la John inininy monmon pu pata arrarrkpi pata awaning karrapey . La iminy pu , “ Nuwurri ta arrarrkpi kutpangulingulin angkat , kurrungarutpanyi ta aliwi ta kurrungatpi la kurrungpanatpi ta God nuyu . ” Kayirrk la yanat iminy pu , “ Malany ta nuwurri kutpamilkpungen kutpanarra rtil God la ngapi kurrunpawinypun ta wungurlyak ta ngungpangurtpulukpun nuwurru . ” Malany muj pata ararrkpi pata awulinganka Jerusalem wakapa ta karrpin ta kunak ngaw Judea la muj pata tuwuran waka wiyu Judea awuranka amalkpany tuka karrapey wakapa awanalyu nuyu John . Pata arrarrkpi aminy nuyu ja John , “ Ngarri ngarrungatpi ta aliwi . ” Wakapa yanatapa aningurtpulukpuning wu tuka wumawurr ta wungurlaj Jordan .
41001005	
41001006	
41001007	Kayirrk la John iminy pu , “ Nuka ja arrarrkpi kerraga ja nulawarrkurlyak mira . La ngapi marrik ngamalal la marrik ngawatping nuyu yurnu la ngertpirranyjing ja katiyarni yurnu nuyu . Ngapi ta marrik ngangurlyak mira .
41001008	La ngapi ngungurtpulukpun nuwurru wupaj la yanat angpaningurtpulukpun nuwurru ja Nyunyuk ja Iyarlmu . ”
41001009	Malany wakapa iwaning Jesus tuka wulijap ta kunak wungurlaj Nazareth kapa Galilee . Kayirrk ja Jesus annyarutpan ta kunak nuyu la yarrangung parak walem tuka wumawurr ngaw Jordan . La tuka John aningurtpulukpuning wu pata arrarrkpi wakapa .
41001010	Kayirrk la ja Jesus imalkpanyka wu ilatpan parak tuka wumawurr kayirrk la John aningurtpulukpung nuyu ja Jesus . Kayirrk la yurtinyka wawurri Jesus yukeny yurrng annyayawng antajing tuka yurrng la ilatpanka ja Nyunyuk ja Iyarlmu kapin rlumpuk ilatpanka tuka yanat ilangaling .
41001011	Kayirrk la yalyungan God inilakajpungka kapa yurrng iminy , “ Nuyi ta ngapi kunmalkpany . Ngapi kunmiyarma mira la ngapi ngamin marrmarr nuwu . ”
41001012	Kayirrk la ja Nyunyuk ja Iyarlmu inimany parak ja Jesus tuka karrapey .
41001013	Malany wakapa iwaningan tuka karrapey warntatarr la ninguwu aniyarruning arntulyak 40 ta ngurrij . Malany ja yukenang pu pata weliwiyut ja ingurlaj Satan imalkpany nuyu Jesus yurtpiny ngilikilik nuyu . La ja Satan marrik inimiyarmanyi Jesus yalyunyi nuyu God . La yanat animiyarmangung iwanuken nuyu Jesus . La ja Jesus marrik animanyi nuyu ngaralk . Malany pata anpulirri pata kawarra mirlak awulangaling wakapa tuka karrapey kayirrk la God nuyu pata wingurlyakut pata kangkumaga wurluj awuranka iwayatayantung Jesus .
41001014	Kapapa ta kunak Jerusalem iwaning ja yukenang pu ja ingurlaj Herod . Malany yanat marrik inimiyarmanyi ja John la iwumany anpulirri iwumany parak iwarlguntiny iwaning iwutikinang . Kayirrk la Jesus imurnanganiny parak kapa Galilee annyunmangung pu ta nungmalal ta wurluj ta God nuyu .
41001015	Kayirrk la iminy , “ Kayirrkapa la yanat God iwanamin ngarrurru ja yarakapju parang ja numalal Iwanuken ngarrurru amparrkamparrk . Nuwurripa kurralyunyi kutpamilkpungen la kurrungpayarrun God nuyu alan . Nuwurripa kutpamartukpun nuyu ta wurluj ! ”
41001016	Kayirrk la Jesus yarrangung tuka nungpanpal ta wurl kapa Galilee . Malany yukeny parak awunnyayawng ngarrkarrk pata arrarrkpi mampakangung mata panampi iwumangung kiyap . Tukapa ta wenat pu ta awuyamangung . Yarakap ja iwuwarnangajpuning Simon la ja jara ja awulingan akutju ingurlaj Andrew .
41001017	Wakapa Jesus iminy pu , “ Arta , nuwulyanat , ngawu ! Ngapi kurrunmiyarma kutpanaga arrkpanarra rtil . Ngapi kurrunmiyarma kurriwanawun larr yunyi muj kurrima ja kiyap la kurriwanama rtalk kutpunpanama arrarrkpi ngartu . ”
41001018	Wakapa awarran parak Simon la Andrew mamparutpan mata panampi la awarrangung rtil warak Jesus .
41001019	Kayirrk la Jesus yarrangung ajputajput warak la yanat awunnyayawng ja nuwarlkparrakan ja arrarrkpi ingurlaj Zebedee la ngarrkarrk pata yanat awunimalkpangung akutju James la John . Wenat mampumany angkat mata panampi wu nuyu iwanama kiyap
41001020	Kapin wularrut iminy pu pata wera , Jesus ilajantiny pu pata James la John angparutpan kirrk ta awuyamangung iwuyarrung yanat . Wakapa awuran iwarutpan ja mayakpu la pata wera pata arrarrkpi pata awuyamangung rtil tuka kapala la iwuyarrung Jesus .
41001021	Jesus la pata ngarrkarrk la ngarrkarrk pata wurrwurr pata awarrangung rtil wiyu nuyu awuran tuka kunak wungurlaj Capernaum . La ta Saturday warntatarr ta Jew wu ta wungurlyak ngurrij , Jesus yuran tuka Jew awaning ngarlakarlak ta akurlyak kurrumpalk wakapa inimany rtalk ininnyang monmon pu God nuyu ta ngaralk wu pata arrarrkpi .
41001022	Malany pata arrarrkpi awalyungan nuyu awurlkpalangkeny murnin Jesus ininnyang monmon pu manjat la aralpa ta ngaralk . La wenat angkuwurruning ta ininnyang monmon ta God nuyu ngaralk ta manjat parak . La pata Jew pata awunpukikang ta wulatpiyi marrik awunginkanyi iwulakurlanyi mira kapin tuka .
41001023	Kayirrk wakapa awaning ngarlakarlak , ja arrarrkpi innyatpang ja yaliwi
41001024	ilajantiny parak , “ Ngarrunarutpanyi , Jesus nuyi ta nukpuran Nazareth . Kunuka nuyu ngarruntuntu ngarri ? Kurlingka nuyi ngarrunpanawun kirrk ta ngarri ta ngarraliwi pa ngatpamaju ? Ngarri kurrunpurrun ! Nuyi ta God nuyu ta nukurlyak arrarrkpi ! ”
41001025	Kayirrk la Jesus inilakajpung martapapa mira ja yaliwi “ Ankakujpina ! Anmalkpanyiga tuka yanat . ”
41001026	Malany ja yaliwi annyeny kirrkirrk nuyu ja arrarrkpi innyakan warntayurr . Malany iyirrurlkeny manilarraniny wakapa imalkpanyka tuka arrarrkpi la innyarutpan yuran .
41001027	Malany pata arrarrkpi awulangaling iwayantung wakapa awurlkpalangkeny kirrk . Kayirrk la awunpulakajpuning la wemin , “ Kiki kangmin parak ? Nuka ja arrarrkpi kanyunma ta wurrwurr ta yanat kannyatpi ta nuntawarrkurlyak mira ! Yanat kimin pu pata Satan kawuyama nuyu pata weliwiyut ‘ Kutpamalkpa tuka arrarrkpi ingijalk la kutpana ’ kayirrk la kamalkpa kawarra warak . ”
41001028	Wigarra yirrk pata arrarrkpi awuran angpunmangung pu pata wera tuka kiki iminang ja Jesus . Malany pata awaning Galilee awalyungan ta kiki iminang .
41001029	Kayirrk la awaningan ngarlakarlak warrwak la Jesus awuran rtil warak Simon la Andrew tuka wenat wu ta kurrampalk . La James la John awuran rtil .
41001030	Malany jita Simon ingawng waramumpik inymajung kuyak inyung tuka palapala . Malany pata arrarrkpi wakapa awaning rtil aminy nuyu Jesus alaj ta inyanatapa inymajung .
41001031	Malany Jesus innyiyarrung parak tuka inyanat innyung atimany ngaw yurnu innyimajpungkuny . Malany wakapa akutju ja kuyak innyarutpan wakapa inyngulikingan . Inymajpungkiny pa akawunyangung walij awunngawng la wemin apuwany .
41001032	Malany ta inyuriliny parak wurlmupurlmut wigarra yirrk pata arrarrkpi awuntumangung parak pata amajunmajung nuyu Jesus la muj pata weliwiyut awunnyatpang awuntumangung parak tuka Simon nuyu kurrampalk .
41001033	Wakapa wigarra akutju awaning yalayala tuka kurrampalk .
