# language_name_wals:	Sango
# language_name_glotto:	Sango
# ISO_639-3:	sag
# year_composed:	NA
# year_published:	2003
# mode:	written
# genre_(broad):	non-fiction
# genre_(narrow):	religion
# writing_system:	Latn
# special_characters:	NA
# short_description:	The New Testament in Sango. Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.
# source:	http://www.bible.is/SAGCAR/Matt/1
# copyright_short:	© Alliance Biblique en Centrafrique 2003
# copyright_long:	This Bible text is brought to you by Alliance Biblique en Centrafrique<br>TEXT: © Alliance Biblique en Centrafrique 2003 FONT: © 1997-2013, SIL International http://bit.ly/1uKBBMx
# sample_type:	whole
# comments:	The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.

40001001	So ayeke mbeti ti iri ti akotara ti Jésus Christ , lo so lo yeke hale ti David ; David ayeke hale ti Abraham .
40001002	Abraham adu Isaac ; Isaac adu Jacob ; Jacob adu Juda , lo na a-ita ti lo .
40001003	Juda adu Peres na Zera — mama ti ala ayeke Tamar . Peres adu Hesron ; Hesron adu Ram ;
40001004	Ram adu Aminadab ; Aminadab adu Nashon ; Nashon adu Salman .
40001005	Salman adu Booz — mama ti Booz ayeke Rahab ; Booz adu Obed — mama ti Obed ayeke Ruth ;
40001006	Obed adu Yese , Yese adu gbia David . David na wali ti Urii adu Salomon ;
40001007	Salomon adu Roboam ; Roboam adu Abia ; Abia adu Asaf ;
40001008	Asaf adu Yosafat ; Yosafat adu Yoram ; Yoram adu Ozias ;
40001009	Ozias adu Yotam ; Yotam adu Akaz ; Akaz adu Ezekias ;
40001010	Ezekias adu Manase ; Manase adu Amon ; Amon adu Yosias ;
40001011	Yosias adu Yekonia na a-ita ti lo na ngoi so a gbu azo ti Israel , a gue na ala na sese ti Babilone .
40001012	Na peko ti so a gbu azo ti Israel si a gue na ala na sese ti Babilone , Yekonia adu Shealtiel ; Shealtiel adu Zorobabel ;
40001013	Zorobabel adu Abihud ; Abihud adu Eliakim ; Eliakim adu Azor ;
40001014	Azor adu Sadok ; Sadok adu Akim ;
40001015	Akim adu Eliud ; Eliud adu Eleazar ; Eleazar adu Matan ; Matan adu Jacob ;
40001016	Jacob adu Joseph , koli ti Marie , mama ti Jésus , lo so a iri lo Mesii .
40001017	Ti londo na Abraham ngbii asi na David , na lege ti molongo ti dungo ni , azo ayeke baleoko na osio . Ti londo na David ngbii asi na ngoi so a gbu amolenge ti Israel si ague na ala na sese ti Babilone , na lege ti molongo ti dungo ni , azo ayeke baleoko na osio . Ti londo na ngoi so a gbu ala ti gue na ala na kodro wande ngbii asi na Mesii , na lege ti molongo ti dungo ni , azo ayeke baleoko na osio .
40001018	Lege ti dungo Jésus Christ ayeke tongaso . Mama ti lo Marie ayeke wali so Joseph aye ti mu lo ; me kozo titene ala mu tere , Marie amu ngo na lege ti Yingo-Vuru .
40001019	Joseph , koli ti lo ayeke zo ti mbirimbiri , lo ye ti sigigi na tënë ni pepe na le ti azo kue ti zia kamene na le ti wali ti lo . Tongaso , lo gi lege ti kangbi na wali ni na hondengo ni .
40001020	Na ndembe so lo ngba ti gbu li ti lo , mbeni ange ti Kota Gbia asi na lo na ya ti bango-li si atene na lo : “ Joseph , molenge ti David , mo sara mbeto ti mu wali ti mo Marie pepe , ngbanga ti so molenge so ayeke na ya ti lo aga na lege ti Yingo-Vuru .
40001021	Lo yeke du ande molenge-koli so fade mo yeke di iri ti lo Jésus , ngbanga ti so lo laa lo yeke soo azo ti lo na ya ti asiokpari ti ala Iri ti
40001022	Ye ni kue asi alingbi na tënë so Kota Gbia atene ando na yanga ti wayanga-Nzapa , atene :
40001023	“ Baa , fade maseka-wali so ade ti hinga koli pepe ayeke mu ngo , lo yeke du molenge-koli ; fade a yeke di iri ti lo Emmanuel . ” — Nda ti iri so atene : “ Nzapa ayeke na e ” —
40001024	So Joseph azingo na lango , lo sara ye so ange ti Kota Gbia atene na lo ; lo mu wali ti lo Marie na da ti lo .
40001025	Me Joseph na Marie aduti koli na wali pepe ngbii asi na ngoi so Marie adu molenge ti lo . Joseph adi iri ti lo Jésus .
40002001	A du Jésus na Betlehem , mbeni gbata ti sese ti Judée , na ngoi ti gbia Herode . Na pekoni , azo ti gingo nda ti atongoro alondo na mbage ti To , ala si na Jérusalem .
