# language_name_wals:	Sanuma
# language_name_glotto:	Sanumá
# iso639_3:	xsu
# year_composed:	NA
# year_published:	1997
# mode:	written
# genre_broad:	non-fiction
# genre_narrow:	religion
# writing_system:	Latn
# special_characters:	NA
# short_description:	The New Testament in Sanumá. Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.
# source:	http://www.bible.is/XSUMEV/Matt/1
# copyright_short:	©  Wycliffe Bible Translators 1997
# copyright_long:	This Bible text is brought to you by Missão Evangélica da Amazôniay<br>TEXT: © 2007 Wycliffe Bible Translators in cooperation with Missão Evangélica da Amazônia FONT: © 1997-2013, SIL International http://bit.ly/1uKBBMx
# sample_type:	whole
# comments:	The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.

40001001	Jesus Cristo a hai ĩ kolo töpö kuo noai , ĩ na töpö a hilo kua wi töpö kuoma . Jesus Cristo a hai ĩ kolo Davi kaikana tä kuoma . Davi a hai ĩ kolo Abraão a pata kuoma .
40001002	Abraão a pata hai ĩ pelupö a hai , Isaki a hilo kuama . Isaki a hai ĩ pelupö a hai , Jacó a hilo kuama . Jacó anö , Jutá a hai ĩ pepala töpö , Jutá a , kama hai ĩ poose töpö , ĩ na töpö kui töpö thaköma .
40001003	Tamaasoma a na Jutá anö Petesö a , Seta a , ĩ na kilii töpö thaköma . Petesö a hai ĩ pelupö a hai , Esöhõ a hilo kuama . Esöhõ a hai ĩ pelupö a hai , Atão a hilo kuama .
40001004	Atão a hai ĩ pelupö a hai , Aminatapi a hilo kuama . Aminatapi a hai ĩ pelupö a hai , Nasõ a hilo kuama . Nasõ a hai ĩ pelupö a hai , Saumõ a hilo kuama .
40001005	Haapisoma a na Saumõ anö Poasö a thaköma . Husi a na Poasö anö Opesi a thaköma . Opesi a hai ĩ pelupö a hai , Jesé a hilo kuama .
40001006	Jesé anö Davi kaikana tä a thaköma . Utiasö a hai ĩ pusopö a kuo soma noai , Davi anö ĩ suö täa nömönö noai , ĩ a na Davi anö Salomão a thaköma .
40001007	Salomão a hai ĩ pelupö a hai , Hopoão a hilo kuama . Hopoão a hai ĩ pelupö a hai , Apiasö a hilo kuama . Apiasö a hai ĩ pelupö a hai , Asa a hilo kuama .
40001008	Asa a hai ĩ pelupö a hai , Josapá a hilo kuama . Josapá a hai ĩ pelupö a hai , Jotão a hilo kuama . Jotão a hai ĩ pelupö a hai , Usiasö a hilo kuama .
40001009	Usiasö a hai ĩ pelupö a hai , Jotão a hilo kuama . Jotão a hai ĩ pelupö a hai , Akasö a hilo kuama . Akasö a hai ĩ pelupö a hai , Esekiasö a hilo kuama .
40001010	Esekiasö a hai ĩ pelupö a hai , Manasésö a hilo kuama . Manasésö a hai ĩ pelupö a hai , Amõ a hilo kuama . Amõ a hai ĩ pelupö a hai , Josiasö a hilo kuama .
40001011	Josiasö anö Jekoniasö a , Jekoniasö a hai ĩ poose töpö , ĩ na töpö kui töpö thaköma . Ĩ tä , Papilônia tä uli hamö wasu töpönö isöhaeu töpö tälölöma .
40001012	Papilônia tä uli na wasu töpönö isöhaeu töpö tälölö noai ha , Jekoniasö anö Salasieu a thaköma . Salasieu a hai ĩ pelupö a hai , Sotopapeu a hilo kuama .
40001013	Sotopapeu a hai ĩ pelupö a hai , Apiusi a hilo kuama . Apiusi a hai ĩ pelupö a hai , Eliakĩ a hilo kuama . Eliakĩ a hai ĩ pelupö a hai , Asoo a hilo kuama .
40001014	Asoo a hai ĩ pelupö a hai , Satoki a hilo kuama . Satoki a hai ĩ pelupö a hai , Akĩ a hilo kuama . Akĩ a hai ĩ pelupö a hai , Eliusi a hilo kuama .
40001015	Eliusi a hai ĩ pelupö a hai , Eleasaa a hilo kuama . Eleasaa a hai ĩ pelupö a hai , Matã a hilo kuama . Matã a hai ĩ pelupö a hai , Jacó a hilo kuama .
40001016	Jacó anö Maria a hai ĩ peanopö José a thaköma . Ĩ Maria anö Jesus a , Cristo a hilo kua naine , ĩ a thapalöma .
40001017	Abraão a pata , Abraão a hai ĩ ola töpö toleaalö wi ĩ töpö , ĩ na töpö kui , 14 töpö kuoma . Ĩ tä noa ha , Davi a , Davi a hai ĩ ola töpö tolea nömöoonö wi ĩ töpö , ĩ na töpö kui , 14 töpö kuo nömöoma . Ĩ tä noa ha , Papilônia tä uli na wasu töpönö isöhaeu töpö tälölöma . Ĩ hamö isöhaeu töpö tälölö noai ha , ai 14 ola töpö kuo nömöo kõoma . Ĩ tä noa ha Cristo a kua nömöpasoma .
40001018	Jesus a kupaso noai , ĩ na pili tä kuama . Pöpönö Maria a lö kui , ĩ na a kua paioma . José a na a totoa waikiköma maaki , a höpöa mai ha , a sipinapia pälasoma . Teusö a õsi kua tolele , ĩ anö a sipinapimanöma .
40001019	A sipinapia pälasoma maaki , José a toita apö kutenö , Maria a kateha wanisala maama . ' Maria a wanisala apawöö ! ' ĩ na ai töpö pi thama wani ipö salo , a wäo mai ha , Maria a hosa pi topa hãto päoma .
