# language_name_wals:	Swahili
# language_name_glotto:	Swahili
# ISO_639-3:	swh
# year_composed:	NA
# year_published:	1997
# mode:	written
# genre_(broad):	non-fiction
# genre_(narrow):	religion
# writing_system:	Latn
# special_characters:	NA
# short_description:	Swahili Union Version. Text of the Parallel Bible Corpus: Mayer, Thomas & Michael Cysouw. 2014. Creating a Massively Parallel Bible Corpus. Proceedings of the International Conference on Language Resources and Evaluation (LREC), Reykjavik, 3158-3163.
# source:	https://www.bible.com/de/bible/164/gen.1.suv
# copyright_short:	© Bible Society of Tanzania & Bible Society of Kenya 1997
# copyright_long:	Swahili Union Version (SUV): Copyright - 1952, 1997: Bible Society of Tanzania and Bible Society of Kenya. All rights reserved.<br>Bible Society of Tanzania: www.biblesociety-tanzania.org, Bible Society of Kenya: www.biblesociety-kenya.org<br>Swahili Union Version (SUV): Hakimiliki -1952, 1997: kwa: Chama cha Biblia cha Tanzania na Chama cha Biblia cha Kenya. Haki zote zimehifadhiwa.
# sample_type:	whole
# comments:	The first two digits of the identifier refer to the book, the next three digits to the chapter, and the last three digits to the verse. See Mayer & Cysouw (2014) for a list of book identifiers.

40001001	Kitabu cha ukoo wa Yesu Kristo , mwana wa Daudi , mwana wa Ibrahimu .
40001002	Ibrahimu alimzaa Isaka ; Isaka akamzaa Yakobo ; Yakobo akamzaa Yuda na ndugu zake ;
40001003	Yuda akamzaa Peresi na Zera kwa Tamari ; Peresi akamzaa Esromu ; Esromu akamzaa Aramu ;
40001004	Aramu akamzaa Aminadabu ; Aminadabu akamzaa Nashoni ; Nashoni akamzaa Salmoni ;
40001005	Salmoni akamzaa Boazi kwa Rahabu ; Boazi akamzaa Obedi kwa Ruthu ; Obedi akamzaa Yese ;
40001006	Yese akamzaa mfalme Daudi . Daudi akamzaa Sulemani kwa yule mke wa Uria ;
40001007	Sulemani akamzaa Rehoboamu ; Rehoboamu akamzaa Abiya ; Abiya akamzaa Asa ;
40001008	Asa akamzaa Yehoshafati ; Yehoshafati akamzaa Yoramu ; Yoramu akamzaa Uzia ;
40001009	Uzia akamzaa Yothamu ; Yothamu akamzaa Ahazi ; Ahazi akamzaa Hezekia ;
40001010	Hezekia akamzaa Manase ; Manase akamzaa Amoni ; Amoni akamzaa Yosia ;
40001011	Yosia akamzaa Yekonia na ndugu zake , wakati wa ule uhamisho wa Babeli .
40001012	Na baada ya ule uhamisho wa Babeli , Yekonia akamzaa Shealtieli ; Shealtieli akamzaa Zerubabeli ;
40001013	Zerubabeli akamzaa Abihudi ; Abihudi akamzaa Eliakimu ; Eliakimu akamzaa Azori ;
40001014	Azori akamzaa Sadoki ; Sadoki akamzaa Akimu ; Akimu akamzaa Eliudi ;
40001015	Eliudi akamzaa Eleazari ; Eleazari akamzaa Matani ; Matani akamzaa Yakobo ;
40001016	Yakobo akamzaa Yusufu mumewe Mariamu aliyemzaa YESU aitwaye Kristo .
40001017	Basi vizazi vyote tangu Ibrahimu hata Daudi ni vizazi kumi na vinne ; na tangu Daudi hata ule uhamisho wa Babeli ni vizazi kumi na vinne ; na tangu ule uhamisho wa Babeli hata Kristo ni vizazi kumi na vinne .
40001018	Kuzaliwa kwake Yesu Kristo kulikuwa hivi . Mariamu mama yake alipokuwa ameposwa na Yusufu , kabla hawajakaribiana , alionekana ana mimba kwa uweza wa Roho Mtakatifu .
40001019	Naye Yusufu , mumewe , kwa vile alivyokuwa mtu wa haki , asitake kumwaibisha , aliazimu kumwacha kwa siri .
40001020	Basi alipokuwa akifikiri hayo , tazama , malaika wa Bwana alimtokea katika ndoto , akisema , Yusufu , mwana wa Daudi , usihofu kumchukua Mariamu mkeo , maana mimba yake ni kwa uweza wa Roho Mtakatifu .
40001021	Naye atazaa mwana , nawe utamwita jina lake Yesu , maana , yeye ndiye atakayewaokoa watu wake na dhambi zao .
40001022	Hayo yote yamekuwa , ili litimie neno lililonenwa na Bwana kwa ujumbe wa nabii akisema , Naye atazaa mwana ; Yaani , Mungu pamoja nasi .
40002001	Yesu alipozaliwa katika Bethlehemu ya Uyahudi zamani za mfalme Herode , tazama , mamajusi wa mashariki walifika Yerusalemu , wakisema ,
40002002	Yuko wapi yeye aliyezaliwa mfalme wa Wayahudi ? Kwa maana tuliiona nyota yake mashariki , nasi tumekuja kumsujudia .
40002003	Basi mfalme Herode aliposikia hayo , alifadhaika , na Yerusalemu pia pamoja naye .
40002004	Akakusanya wakuu wa makuhani wote na waandishi wa watu , akatafuta habari kwao , Kristo azaliwa wapi ?
40002005	Nao wakamwambia , Katika Bethlehemu ya Uyahudi ; kwa maana ndivyo ilivyoandikwa na nabii , Hu mdogo kamwe katika majumbe wa Yuda ; Atakayewachunga watu wangu Israeli .
40002007	Kisha Herode akawaita wale mamajusi faraghani , akapata kwao hakika ya muda tangu ilipoonekana ile nyota .
40002008	Akawapeleka Bethlehemu , akasema , Shikeni njia , mkaulize sana mambo ya mtoto ; na mkiisha kumwona , nileteeni habari , ili mimi nami niende nimsujudie .
40002009	Nao waliposikia maneno ya mfalme , walishika njia ; na tazama , ile nyota waliyoiona mashariki ikawatangulia , hata ikaenda ikasimama juu ya mahali alipokuwapo mtoto .
40002010	Nao walipoiona ile nyota , walifurahi furaha kubwa mno .
40002011	Wakaingia nyumbani , wakamwona mtoto pamoja na Mariamu mamaye , wakaanguka wakamsujudia ; nao walipokwisha kufungua hazina zao , wakamtolea tunu ; dhahabu na uvumba na manemane .
40002012	Nao wakiisha kuonywa na Mungu katika ndoto wasimrudie Herode , wakaenda zao kwao kwa njia nyingine .
40002013	Na hao walipokwisha kwenda zao , tazama , malaika wa Bwana alimtokea Yusufu katika ndoto , akasema , Ondoka , umchukue mtoto na mama yake , ukimbilie Misri , ukae huko hata nikuambie ; kwa maana Herode anataka kumtafuta mtoto amwangamize .
40002014	Akaondoka akamchukua mtoto na mama yake usiku , akaenda zake Misri ;
40002015	akakaa huko hata alipokufa Herode ; ili litimie neno lililonenwa na Bwana kwa ujumbe wa nabii , akisema ,
40002016	Ndipo Herode , alipoona ya kuwa amedhihakiwa na wale mamajusi , alighadhabika sana , akatuma watu akawaua watoto wote wanaume waliokuwako huko Bethlehemu na viungani mwake mwote , tangu wenye miaka miwili na waliopungua , kwa muda ule aliouhakikisha kwa wale mamajusi .
40002017	Ndipo lilipotimia neno lililonenwa na nabii Yeremia , akisema , Kilio , na maombolezo mengi , Asikubali kufarijiwa , kwa kuwa hawako .
40002019	Hata alipofariki Herode , tazama , malaika wa Bwana alimtokea Yusufu katika ndoto huko Misri ,
40002020	akasema , Ondoka , umchukue mtoto na mamaye , ushike njia kwenda nchi ya Israeli ; kwa maana wamekufa walioitafuta roho ya mtoto .
40002021	Akaondoka akamchukua mtoto na mamaye , akafika nchi ya Israeli .
