iso_639_3,alternative_language_names,language,source_name,link
abk,Abxaz,Abkhaz,"UDHR
DOBES archive","https://unicode.org/udhr/d/udhr_abk.xml
https://archive.mpi.nl/islandora/object/lat%3A1839_00_0000_0000_000A_23BD_E"
kjq,"Keres (Western), Keresan (Western)",Acoma,,
amp,-,Alamblak,,
aey,-,Amele,,
apu,"Apurina, Ipurinã, Ipurina",Apurinã,,
arz,Arabic (Cairene),Arabic (Egyptian),,
ape,Bukiyip,Arapesh (Mountain),,
tml,"Citak, Tamnim, Asmat (Flamingo Bay)",Asmat,,
bmi,Barma,Bagirmi,,
bsn,"Makuna-Erulia, S. Barasano, Barasano (Southern), Yebamasa, Barasana-Eduria",Barasano,Bible NT (Barasana-Eduria),https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Barasana-NT.xml
eus,-,Basque,"Bible NT
UDHR
Treebanks
OPUS (use crawler on server)
DOBES archive","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Basque-NT.xml
https://unicode.org/udhr/d/udhr_eus.xml
http://universaldependencies.org/treebanks/eu_bdt/index.html
https://archive.mpi.nl/islandora/object/lat%3A1839_00_0000_0000_0021_20C4_3"
tzm,"Tamazight, Tamazight (Ayt Ndhir), Berber (Ayt Ndhir Middle Atlas), Berber (Ayt Ayache Middle Atlas)",Berber (Middle Atlas),"UDHR (Latin script)
UDHR (Tifinagh script, one article)
OPUS (use crawler on server)","https://unicode.org/udhr/d/udhr_tzm.xml
https://unicode.org/udhr/d/udhr_tzm_tfng.xml"
mya,-,Burmese,"Bible
UDHR
OPUS (use crawler on server)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Myanmar.xml
https://unicode.org/udhr/d/udhr_mya.xml"
bsk,"Biltum, Kunjut, Burushaski (Yasin)",Burushaski,,
"ram, xra","Canela-Kraho, Canela, Krahô",Canela-Krahô,,
cha,Tjamoro,Chamorro,"Bible Psalm. Gosp. Acts
UDHR
OPUS (use crawler on server)","https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/Chamorro-PART.xml
https://unicode.org/udhr/d/udhr_cha.xml"
ckt,Chukchee,Chukchi,,
crk,Western Cree,Cree (Plains),,
dgz,-,Daga,,
dni,-,Dani (Lower Grand Valley),,
eng,-,English,"British National Corpus
Open American National Corpus
Corpus of Contemporary American English
Bible
Bible web translation
UDHR
Treebanks
OPUS (use crawler on server)","https://corpus.byu.edu/bnc/
http://www.anc.org/data/oanc/download/
https://corpus.byu.edu/coca/
https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/English.xml https://raw.githubusercontent.com/christos-c/bible-corpus/master/bibles/English-WEB.xml
https://unicode.org/udhr/d/udhr_eng.xml
http://universaldependencies.org/treebanks/en_partut/index.html
http://universaldependencies.org/treebanks/en_gum/index.html
http://universaldependencies.org/treebanks/en_ewt/index.html
http://universaldependencies.org/treebanks/en_pud/index.html
http://universaldependencies.org/treebanks/en_lines/index.html
http://universaldependencies.org/treebanks/en_esl/index.html
"
fij,"Nadroga, Fijian (Boumaa)",Fijian,UDHR,https://unicode.org/udhr/d/udhr_fij.xml
