iso_639_3,glottocode,wals.code,name_glotto,name_wals,folder_name,status,family_id,top_level_family,genus_wals,family_wals,macroarea_glotto,macroarea_wals,latitude_glotto,longitude_glotto,latitude_wals,longitude_wals
abk,abkh1244,abk,Abkhazian,Abkhaz,Abkhaz (abk),Vulnerable,abkh1242,Abkhaz-Adyge,Northwest Caucasian,Northwest Caucasian,Eurasia,Eurasia,43.056218,41.159115,43.0833333333,41
aey,amel1241,ame,Amele,Amele,Amele (aey),NA,nucl1709,Nuclear Trans New Guinea,Madang,Trans-New Guinea,Papunesia,Papunesia,-5.29126,145.687,-5.25,145.583333333
amp,alam1246,ala,Alamblak,Alamblak,Alamblak (amp),NA,sepi1257,Sepik,Sepik Hill,Sepik,Papunesia,Papunesia,-4.66307,143.316,-4.6666666667,143.333333333
ape,buki1249,arp,Bukiyip,Arapesh (Mountain),Arapesh_Mountain (ape),NA,nucl1708,Nuclear Torricelli,Kombio-Arapesh,Torricelli,Papunesia,Papunesia,-3.47169,143.111,-3.4666666667,143.166666667
apu,apur1254,apu,Apurinã,Apurinã,Apurina (apu),Definitely endangered,araw1281,Arawakan,Purus,Arawakan,South America,South America,-8.21692,-66.7714,-9,-67
arn,mapu1245,map,Mapudungun,Mapudungun,Mapudungun (arn),Severely endangered,arau1255,Araucanian,Araucanian,Araucanian,South America,South America,-38.7392,-71.277,-38,-72
arz,egyp1253,aeg,Egyptian Arabic,Arabic (Egyptian),Arabic_Egyptian (arz),Safe,afro1255,Afro-Asiatic,Semitic,Afro-Asiatic,Africa,Africa,31,31,30,31
ayz,maib1239,may,Maybrat-Karon,Maybrat,Maybrat (ayz),NA,,NA,North-Central Bird's Head,West Papuan,Papunesia,Papunesia,-1.3679,132.591,-1.3333333333,132.5
bhq,tuka1249,tuk,Tukang Besi South,Tukang Besi,Tukang Besi (bhq),NA,aust1307,Austronesian,Celebic,Austronesian,Papunesia,Papunesia,-5.7478,123.948,-5.5,123.5
bmi,bagi1246,bag,Bagirmi,Bagirmi,Bagirmi (bmi),NA,cent2225,Central Sudanic,Bongo-Bagirmi,Central Sudanic,Africa,Africa,11.52392,14.769495,11.6666666667,16
bsk,buru1296,bur,Burushaski,Burushaski,Burushaski (bsk),Vulnerable,,NA,Burushaski,Burushaski,Eurasia,Eurasia,36.2161,74.8236,36.5,74.5
bsn,bara1380,brs,Barasana-Eduria,Barasano,Barasano (bsn),Severely endangered,tuca1253,Tucanoan,Tucanoan,Tucanoan,South America,South America,0.02193,-70.808,-0.1666666667,-70.6666666667
cha,cham1312,cha,Chamorro,Chamorro,Chamorro (cha),Vulnerable,aust1307,Austronesian,Chamorro,Austronesian,Papunesia,Papunesia,13.438011,144.74474,13.45,144.75
ckt,chuk1273,chk,Chukchi,Chukchi,Chukchi (ckt),Severely endangered,chuk1271,Chukotko-Kamchatkan,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Eurasia,Eurasia,68.6436,170.045,67,-173
cku,koas1236,koa,Koasati,Koasati,Koasati (cku),Definitely endangered,musk1252,Muskogean,Muskogean,Muskogean,North America,North America,30.4096,-92.709,34.8333333333,-85.1666666667
cmn,mand1415,mnd,Mandarin Chinese,Mandarin,Mandarin (cmn),Safe,sino1245,Sino-Tibetan,Chinese,Sino-Tibetan,Eurasia,Eurasia,40.0209,116.228,34,110
crk,plai1258,cre,Plains Cree,Cree (Plains),Cree_Plains (crk),Vulnerable,algi1248,Algic,Algonquian,Algic,North America,North America,51.2437,-110.463,54,-110
deu,stan1295,ger,German,German,German (deu),Safe,indo1319,Indo-European,Germanic,Indo-European,Eurasia,Eurasia,48.649,12.4676,52,10
dgz,daga1275,dag,Daga,Daga,Daga (dgz),NA,daga1274,Dagan,Dagan,Dagan,Papunesia,Papunesia,-9.9747,149.263,-10,149.333333333
dni,lowe1415,dni,Lower Grand Valley Dani,Dani (Lower Grand Valley),Dani_Lower Grand Valley (dni),NA,nucl1709,Nuclear Trans New Guinea,Dani,Trans-New Guinea,Papunesia,Papunesia,-4.25684,138.992,-4.3333333333,138.833333333
ell,mode1248,grk,Modern Greek,Greek (Modern),Greek_Modern (ell),Safe,indo1319,Indo-European,Greek,Indo-European,Eurasia,Eurasia,42.3224,24.8699,39,22
eng,stan1293,eng,English,English,English (eng),Safe,indo1319,Indo-European,Germanic,Indo-European,Eurasia,Eurasia,53,-1,52,0
eus,basq1248,bsq,Basque,Basque,Basque (eus),Vulnerable,,NA,Basque,Basque,Eurasia,Eurasia,43.2787,-1.31622,43,-3
fij,fiji1243,fij,Fijian,Fijian,Fijian (fij),NA,aust1307,Austronesian,Oceanic,Austronesian,Papunesia,Papunesia,-18,178.33,-17.8333333333,178
fin,finn1318,fin,Finnish,Finnish,Finnish (fin),Safe,ural1272,Uralic,Finnic,Uralic,Eurasia,Eurasia,64.7628,25.5577,62,25
fra,stan1290,fre,French,French,French (fra),Safe,indo1319,Indo-European,Romance,Indo-European,Eurasia,Eurasia,48,2,48,2
gni,goon1238,goo,Gooniyandi,Gooniyandi,Gooniyandi (gni),Severely endangered,buna1274,Bunaban,Bunuban,Bunuban,Australia,Australia,-18.4073,126.351,-18.3333333333,126.333333333
gry,barc1235,grb,Barclayville Grebo,Grebo,Grebo (gry),NA,atla1278,Atlantic-Congo,Kru,Niger-Congo,Africa,Africa,4.67843,-8.09378,5,-8
gug,para1311,gua,Paraguayan Guaraní,Guaraní,Guarani (gug),NA,tupi1275,Tupian,Tupi-Guaraní,Tupian,South America,South America,-25.60551,-57.08816,-26,-56
gyd,kaya1319,kay,Kayardild,Kayardild,Kayardild (gyd),Critically endangered,tang1340,Tangkic,Tangkic,Tangkic,Australia,Australia,-17.0695,139.489,-17.05,139.5
hae,east2652,orh,Eastern Oromo,Oromo (Harar),Oromo_Harar (hae),NA,afro1255,Afro-Asiatic,Lowland East Cushitic,Afro-Asiatic,Africa,Africa,8.67428,41.4395,9,42
hau,haus1257,hau,Hausa,Hausa,Hausa (hau),NA,afro1255,Afro-Asiatic,West Chadic,Afro-Asiatic,Africa,Africa,11.1513,8.7804,12,7
heb,hebr1245,heb,Modern Hebrew,Hebrew (Modern),Hebrew_Modern (heb),Safe,afro1255,Afro-Asiatic,Semitic,Afro-Asiatic,Eurasia,Eurasia,31.1056,35.0179,31.5,34.8333333333
hin,hind1269,hin,Hindi,Hindi,Hindi (hin),Safe,indo1319,Indo-European,Indic,Indo-European,Eurasia,Eurasia,25,77,25,77
