name,genre_broad,genre_narrow
Abkhaz_abk,professional,NA
Acoma_kjq,non-fiction,spoken
Alamblak_amp,non-fiction,written
Amele_aey,non-fiction,written
Apurina_apu,non-fiction,written
Arabic_Egyptian_arz,non-fiction,written
Arapesh_Mountain_ape,non-fiction,written
Asmat_tml,conversation,NA
Bagirmi_bmi,grammar,spoken
Barasano_bsn,non-fiction,written
Basque_eus,non-fiction,written
Basque_eus,professional,NA
Berber_MiddleAtlas_tzm,professional,NA
Burmese_mya,non-fiction,written
Burmese_mya,professional,NA
Burushaski_bsk,grammar,spoken
CanelaKraho_ram,non-fiction,written
Chamorro_cha,non-fiction,written
Chamorro_cha,professional,NA
Chukchi_ckt,non-fiction,written
Daga_dgz,non-fiction,written
Dani_LowerGrandValley_dni,conversation,NA
English_eng,fiction,NA
English_eng,non-fiction,written
English_eng,professional,NA
Fijian_fij,non-fiction,written
Fijian_fij,professional,NA
Finnish_fin,fiction,NA
Finnish_fin,non-fiction,written
Finnish_fin,professional,NA
French_fra,fiction,NA
French_fra,non-fiction,written
French_fra,professional,NA
Georgian_kat,non-fiction,written
Georgian_kat,professional,NA
German_deu,fiction,NA
German_deu,non-fiction,written
German_deu,professional,NA
Gooniyandi_gni,conversation,NA
Greek_Modern_ell,fiction,NA
Greek_Modern_ell,non-fiction,written
Greek_Modern_ell,professional,NA
Greenlandic_West_kal,non-fiction,written
Greenlandic_West_kal,professional,NA
Guarani_gug,non-fiction,written
Guarani_gug,professional,NA
Hausa_hau,non-fiction,written
Hausa_hau,professional,NA
Hebrew_Modern_heb,fiction,NA
Hebrew_Modern_heb,non-fiction,written
Hebrew_Modern_heb,professional,NA
Hindi_hin,non-fiction,written
Hindi_hin,professional,NA
Hixkaryana_hix,non-fiction,written
HmongNjua_hnj,professional,NA
Imonda_imn,non-fiction,spoken
Indonesian_ind,non-fiction,written
Indonesian_ind,professional,NA
Jakaltek_jac,non-fiction,written
Japanese_jpn,fiction,NA
Japanese_jpn,non-fiction,written
Japanese_jpn,professional,NA
Kannada_kan,professional,NA
Kayardild_gyd,grammar,spoken
Kewa_kew,non-fiction,written
Khalkha_khk,non-fiction,written
Khalkha_khk,professional,NA
Khoekhoe_naq,non-fiction,written
Kiowa_kio,non-fiction,spoken
Korean_kor,non-fiction,written
Korean_kor,professional,NA
Kutenai_kut,non-fiction,spoken
Lango_laj,non-fiction,written
Lavukaleve_lvk,non-fiction,spoken
Luvale_lue,professional,NA
Makah_myh,conversation,NA
Makah_myh,non-fiction,spoken
Malagasy_plt,non-fiction,written
Malagasy_plt,professional,NA
Mandarin_cmn,fiction,NA
Mandarin_cmn,non-fiction,written
Mandarin_cmn,professional,NA
Mapudungun_arn,non-fiction,written
Mapudungun_arn,professional,NA
Martuthunira_vma,conversation,NA
Maung_mph,non-fiction,written
Maybrat_ayz,non-fiction,written
Mixtec_Chalcatongo_mig,non-fiction,written
Ngiyambaa_wyb,conversation,NA
Oromo_Harar_hae,non-fiction,written
Otomi_Mezquital_ote,grammar,written
Otomi_Mezquital_ote,non-fiction,written
Otomi_Mezquital_ote,professional,NA
Persian_pes,fiction,NA
Persian_pes,non-fiction,written
Persian_pes,professional,NA
Quechua_Imbabura_qvi,non-fiction,written
Rama_rma,grammar,spoken
Rama_rma,non-fiction,spoken
Rapanui_rap,non-fiction,spoken
Russian_rus,fiction,NA
Russian_rus,non-fiction,written
Russian_rus,professional,NA
Sango_sag,non-fiction,written
Sango_sag,professional,NA
Sanuma_xsu,non-fiction,written
Spanish_spa,fiction,NA
Spanish_spa,non-fiction,written
Spanish_spa,professional,NA
Swahili_swh,non-fiction,written
Swahili_swh,professional,NA
Tagalog_tgl,fiction,NA
Tagalog_tgl,non-fiction,written
Tagalog_tgl,professional,NA
Thai_tha,non-fiction,written
Thai_tha,professional,NA
Turkish_tur,non-fiction,written
Turkish_tur,professional,NA
Vietnamese_vie,non-fiction,written
Vietnamese_vie,professional,NA
Warao_wba,non-fiction,spoken
Wichi_mzh,non-fiction,written
Wichita_wic,conversation,NA
Yagua_yad,non-fiction,written
Yagua_yad,professional,NA
Yaqui_yaq,non-fiction,written
Yoruba_yor,non-fiction,written
Yoruba_yor,professional,NA
Zoque_Copainala_zoc,non-fiction,spoken
Zulu_zul,professional,NA
