"Grapheme","Frequency","Codepoint","UnicodeName"
"′",1728,"U+2032","PRIME"
"a",1461,"U+0061","LATIN SMALL LETTER A"
"i",1140,"U+0069","LATIN SMALL LETTER I"
"c",1019,"U+0063","LATIN SMALL LETTER C"
"ᴛ",860,"U+1D1B","LATIN LETTER SMALL CAPITAL T"
"t",837,"U+0074","LATIN SMALL LETTER T"
"ʸ",813,"U+02B8","MODIFIER LETTER SMALL Y"
"ˑ",811,"U+02D1","MODIFIER LETTER HALF TRIANGULAR COLON"
"ε",758,"U+03B5","GREEK SMALL LETTER EPSILON"
"ʽ",697,"U+02BD","MODIFIER LETTER REVERSED COMMA"
"s",647,"U+0073","LATIN SMALL LETTER S"
"ʼ",610,"U+02BC","MODIFIER LETTER APOSTROPHE"
"n",604,"U+006E","LATIN SMALL LETTER N"
"α",571,"U+03B1","GREEK SMALL LETTER ALPHA"
"o",472,"U+006F","LATIN SMALL LETTER O"
"y",298,"U+0079","LATIN SMALL LETTER Y"
".",268,"U+002E","FULL STOP"
"k",257,"U+006B","LATIN SMALL LETTER K"
"m",225,"U+006D","LATIN SMALL LETTER M"
"ï",214,"U+00EF","LATIN SMALL LETTER I WITH DIAERESIS"
"ᴋ",212,"U+1D0B","LATIN LETTER SMALL CAPITAL K"
"w",200,"U+0077","LATIN SMALL LETTER W"
"u",198,"U+0075","LATIN SMALL LETTER U"
"h",172,"U+0068","LATIN SMALL LETTER H"
"ꜞ",147,"U+A71E","MODIFIER LETTER RAISED INVERTED EXCLAMATION MARK"
"ʋ",140,"U+028B","LATIN SMALL LETTER V WITH HOOK"
"ı",122,"U+0131","LATIN SMALL LETTER DOTLESS I"
"-",121,"U+002D","HYPHEN-MINUS"
"ᵅ",73,"U+1D45","MODIFIER LETTER SMALL ALPHA"
"p",72,"U+0070","LATIN SMALL LETTER P"
"ᵘ",43,"U+1D58","MODIFIER LETTER SMALL U"
"e",37,"U+0065","LATIN SMALL LETTER E"
"ᵒ",16,"U+1D52","MODIFIER LETTER SMALL O"
"ə",10,"U+0259","LATIN SMALL LETTER SCHWA"
"ᴘ",10,"U+1D18","LATIN LETTER SMALL CAPITAL P"
"ɔ",8,"U+0254","LATIN SMALL LETTER OPEN O"
"y̓",8,"U+0079, U+0313","LATIN SMALL LETTER Y, COMBINING COMMA ABOVE"
"r",4,"U+0072","LATIN SMALL LETTER R"
"T",4,"U+0054","LATIN CAPITAL LETTER T"
"ᵋ",3,"U+1D4B","MODIFIER LETTER SMALL OPEN E"
"˙",1,"U+02D9","DOT ABOVE"
"m̓",1,"U+006D, U+0313","LATIN SMALL LETTER M, COMBINING COMMA ABOVE"
"n̓",1,"U+006E, U+0313","LATIN SMALL LETTER N, COMBINING COMMA ABOVE"
