"Grapheme","Frequency","Codepoint","UnicodeName"
"a",2276745,"U+0061","LATIN SMALL LETTER A"
"e",1705225,"U+0065","LATIN SMALL LETTER E"
"i",1291044,"U+0069","LATIN SMALL LETTER I"
"n",1125480,"U+006E","LATIN SMALL LETTER N"
"r",1116001,"U+0072","LATIN SMALL LETTER R"
"t",1048962,"U+0074","LATIN SMALL LETTER T"
"u",896658,"U+0075","LATIN SMALL LETTER U"
"z",830314,"U+007A","LATIN SMALL LETTER Z"
"o",783715,"U+006F","LATIN SMALL LETTER O"
"k",662045,"U+006B","LATIN SMALL LETTER K"
"d",570505,"U+0064","LATIN SMALL LETTER D"
".",510584,"U+002E","FULL STOP"
"g",411698,"U+0067","LATIN SMALL LETTER G"
"b",346270,"U+0062","LATIN SMALL LETTER B"
"l",346211,"U+006C","LATIN SMALL LETTER L"
"s",323481,"U+0073","LATIN SMALL LETTER S"
"h",240261,"U+0068","LATIN SMALL LETTER H"
",",191341,"U+002C","COMMA"
"m",145254,"U+006D","LATIN SMALL LETTER M"
"E",119080,"U+0045","LATIN CAPITAL LETTER E"
"?",103139,"U+003F","QUESTION MARK"
"p",92403,"U+0070","LATIN SMALL LETTER P"
"B",87750,"U+0042","LATIN CAPITAL LETTER B"
"-",67823,"U+002D","HYPHEN-MINUS"
"!",56949,"U+0021","EXCLAMATION MARK"
"Z",56006,"U+005A","LATIN CAPITAL LETTER Z"
"x",55445,"U+0078","LATIN SMALL LETTER X"
"A",55206,"U+0041","LATIN CAPITAL LETTER A"
"j",48997,"U+006A","LATIN SMALL LETTER J"
"H",48610,"U+0048","LATIN CAPITAL LETTER H"
"N",40588,"U+004E","LATIN CAPITAL LETTER N"
"G",34487,"U+0047","LATIN CAPITAL LETTER G"
"O",29364,"U+004F","LATIN CAPITAL LETTER O"
"I",27761,"U+0049","LATIN CAPITAL LETTER I"
"M",26607,"U+004D","LATIN CAPITAL LETTER M"
"J",24869,"U+004A","LATIN CAPITAL LETTER J"
"""",23725,"U+0022","QUOTATION MARK"
"S",23668,"U+0053","LATIN CAPITAL LETTER S"
"K",23159,"U+004B","LATIN CAPITAL LETTER K"
"f",22808,"U+0066","LATIN SMALL LETTER F"
"L",22094,"U+004C","LATIN CAPITAL LETTER L"
"T",19143,"U+0054","LATIN CAPITAL LETTER T"
"D",18151,"U+0044","LATIN CAPITAL LETTER D"
"P",18068,"U+0050","LATIN CAPITAL LETTER P"
"y",16982,"U+0079","LATIN SMALL LETTER Y"
"c",13651,"U+0063","LATIN SMALL LETTER C"
"U",12216,"U+0055","LATIN CAPITAL LETTER U"
"0",10217,"U+0030","DIGIT ZERO"
"R",9746,"U+0052","LATIN CAPITAL LETTER R"
"C",8001,"U+0043","LATIN CAPITAL LETTER C"
":",7988,"U+003A","COLON"
"F",6915,"U+0046","LATIN CAPITAL LETTER F"
"1",6147,"U+0031","DIGIT ONE"
"v",6063,"U+0076","LATIN SMALL LETTER V"
"w",5033,"U+0077","LATIN SMALL LETTER W"
"2",4198,"U+0032","DIGIT TWO"
"♪",3619,"U+266A","EIGHTH NOTE"
"5",3352,"U+0035","DIGIT FIVE"
"W",3175,"U+0057","LATIN CAPITAL LETTER W"
"3",2673,"U+0033","DIGIT THREE"
"V",2586,"U+0056","LATIN CAPITAL LETTER V"
";",2509,"U+003B","SEMICOLON"
"4",2409,"U+0034","DIGIT FOUR"
"9",2045,"U+0039","DIGIT NINE"
"Y",1700,"U+0059","LATIN CAPITAL LETTER Y"
"6",1668,"U+0036","DIGIT SIX"
"8",1573,"U+0038","DIGIT EIGHT"
"7",1493,"U+0037","DIGIT SEVEN"
"'",1299,"U+0027","APOSTROPHE"
"—",1085,"U+2014","EM DASH"
"«",1054,"U+00AB","LEFT-POINTING DOUBLE ANGLE QUOTATION MARK"
"ñ",1002,"U+00F1","LATIN SMALL LETTER N WITH TILDE"
