"Grapheme","Frequency","Codepoint","UnicodeName"
"ာ",200065,"U+102C","MYANMAR VOWEL SIGN AA"
"း",182268,"U+1038","MYANMAR SIGN VISARGA"
"င်",101159,"U+1004, U+103A","MYANMAR LETTER NGA, MYANMAR SIGN ASAT"
"သ",90152,"U+101E","MYANMAR LETTER SA"
"အ",77141,"U+1021","MYANMAR LETTER A"
"ည်",73066,"U+100A, U+103A","MYANMAR LETTER NNYA, MYANMAR SIGN ASAT"
"ရ",53437,"U+101B","MYANMAR LETTER RA"
"၊",53041,"U+104A","MYANMAR SIGN LITTLE SECTION"
"ကို",48803,"U+1000, U+102D, U+102F","MYANMAR LETTER KA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U"
"က်",45727,"U+1000, U+103A","MYANMAR LETTER KA, MYANMAR SIGN ASAT"
"။",44219,"U+104B","MYANMAR SIGN SECTION"
"သေ",40365,"U+101E, U+1031","MYANMAR LETTER SA, MYANMAR VOWEL SIGN E"
"မ",40013,"U+1019","MYANMAR LETTER MA"
"ါ",34654,"U+102B","MYANMAR VOWEL SIGN TALL AA"
"၏",34036,"U+104F","MYANMAR SYMBOL GENITIVE"
"တို့",33408,"U+1010, U+102D, U+102F, U+1037","MYANMAR LETTER TA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U, MYANMAR SIGN DOT BELOW"
"ာ်",31146,"U+102C, U+103A","MYANMAR VOWEL SIGN AA, MYANMAR SIGN ASAT"
"တေ",28492,"U+1010, U+1031","MYANMAR LETTER TA, MYANMAR VOWEL SIGN E"
"င့်",27221,"U+1004, U+1037, U+103A","MYANMAR LETTER NGA, MYANMAR SIGN DOT BELOW, MYANMAR SIGN ASAT"
"တ",27071,"U+1010","MYANMAR LETTER TA"
"လ",26698,"U+101C","MYANMAR LETTER LA"
"န်",25096,"U+1014, U+103A","MYANMAR LETTER NA, MYANMAR SIGN ASAT"
"တ်",22689,"U+1010, U+103A","MYANMAR LETTER TA, MYANMAR SIGN ASAT"
"၍",19916,"U+104D","MYANMAR SYMBOL COMPLETED"
"စ်",19505,"U+1005, U+103A","MYANMAR LETTER CA, MYANMAR SIGN ASAT"
"က",19428,"U+1000","MYANMAR LETTER KA"
"သူ",18912,"U+101E, U+1030","MYANMAR LETTER SA, MYANMAR VOWEL SIGN UU"
"ပ",18712,"U+1015","MYANMAR LETTER PA"
"ကြ",18001,"U+1000, U+103C","MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL RA"
"နှ",16541,"U+1014, U+103E","MYANMAR LETTER NA, MYANMAR CONSONANT SIGN MEDIAL HA"
"စ",16258,"U+1005","MYANMAR LETTER CA"
"ယ်",16081,"U+101A, U+103A","MYANMAR LETTER YA, MYANMAR SIGN ASAT"
"ပ်",15503,"U+1015, U+103A","MYANMAR LETTER PA, MYANMAR SIGN ASAT"
"င",15166,"U+1004","MYANMAR LETTER NGA"
"ခ",14446,"U+1001","MYANMAR LETTER KHA"
"ဘု",14397,"U+1018, U+102F","MYANMAR LETTER BHA, MYANMAR VOWEL SIGN U"
"မူ",14318,"U+1019, U+1030","MYANMAR LETTER MA, MYANMAR VOWEL SIGN UU"
"ထ",13952,"U+1011","MYANMAR LETTER THA"
"၌",13266,"U+104C","MYANMAR SYMBOL LOCATIVE"
"သို့",12812,"U+101E, U+102D, U+102F, U+1037","MYANMAR LETTER SA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U, MYANMAR SIGN DOT BELOW"
"ဝ",12635,"U+101D","MYANMAR LETTER WA"
"ဖြ",12335,"U+1016, U+103C","MYANMAR LETTER PHA, MYANMAR CONSONANT SIGN MEDIAL RA"
"?",12319,"U+003F","QUESTION MARK"
"ပြ",12057,"U+1015, U+103C","MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL RA"
"န",12019,"U+1014","MYANMAR LETTER NA"
"မှ",11683,"U+1019, U+103E","MYANMAR LETTER MA, MYANMAR CONSONANT SIGN MEDIAL HA"
"ခြ",11500,"U+1001, U+103C","MYANMAR LETTER KHA, MYANMAR CONSONANT SIGN MEDIAL RA"
"မိ",11411,"U+1019, U+102D","MYANMAR LETTER MA, MYANMAR VOWEL SIGN I"
"လေ",11109,"U+101C, U+1031","MYANMAR LETTER LA, MYANMAR VOWEL SIGN E"
"ရှိ",10985,"U+101B, U+103E, U+102D","MYANMAR LETTER RA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN I"
"ရေ",10453,"U+101B, U+1031","MYANMAR LETTER RA, MYANMAR VOWEL SIGN E"
"ထို",10312,"U+1011, U+102D, U+102F","MYANMAR LETTER THA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U"
"ရှ",9776,"U+101B, U+103E","MYANMAR LETTER RA, MYANMAR CONSONANT SIGN MEDIAL HA"
"ပေ",9579,"U+1015, U+1031","MYANMAR LETTER PA, MYANMAR VOWEL SIGN E"
"မ်",9523,"U+1019, U+103A","MYANMAR LETTER MA, MYANMAR SIGN ASAT"
"စေ",8988,"U+1005, U+1031","MYANMAR LETTER CA, MYANMAR VOWEL SIGN E"
"ဟု",8961,"U+101F, U+102F","MYANMAR LETTER HA, MYANMAR VOWEL SIGN U"
"ကြေ",8385,"U+1000, U+103C, U+1031","MYANMAR LETTER KA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN E"
"ဘ",7082,"U+1018","MYANMAR LETTER BHA"
"နေ",6959,"U+1014, U+1031","MYANMAR LETTER NA, MYANMAR VOWEL SIGN E"
"ယေ",6685,"U+101A, U+1031","MYANMAR LETTER YA, MYANMAR VOWEL SIGN E"
"မျို",6632,"U+1019, U+103B, U+102D, U+102F","MYANMAR LETTER MA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U"
"မျ",6497,"U+1019, U+103B","MYANMAR LETTER MA, MYANMAR CONSONANT SIGN MEDIAL YA"
"လူ",6403,"U+101C, U+1030","MYANMAR LETTER LA, MYANMAR VOWEL SIGN UU"
"ဆ",6266,"U+1006","MYANMAR LETTER CHA"
"ယ",6235,"U+101A","MYANMAR LETTER YA"
"မြို့",5865,"U+1019, U+103C, U+102D, U+102F, U+1037","MYANMAR LETTER MA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U, MYANMAR SIGN DOT BELOW"
"န့်",5822,"U+1014, U+1037, U+103A","MYANMAR LETTER NA, MYANMAR SIGN DOT BELOW, MYANMAR SIGN ASAT"
"တို",5722,"U+1010, U+102D, U+102F","MYANMAR LETTER TA, MYANMAR VOWEL SIGN I, MYANMAR VOWEL SIGN U"
