"Grapheme","Frequency","Codepoint","UnicodeName"
"a",1634,"U+0061","LATIN SMALL LETTER A"
"i",1064,"U+0069","LATIN SMALL LETTER I"
"n",1041,"U+006E","LATIN SMALL LETTER N"
"o",809,"U+006F","LATIN SMALL LETTER O"
"e",716,"U+0065","LATIN SMALL LETTER E"
"t",481,"U+0074","LATIN SMALL LETTER T"
"s",476,"U+0073","LATIN SMALL LETTER S"
"r",459,"U+0072","LATIN SMALL LETTER R"
"d",352,"U+0064","LATIN SMALL LETTER D"
"u",337,"U+0075","LATIN SMALL LETTER U"
"m",315,"U+006D","LATIN SMALL LETTER M"
"l",293,"U+006C","LATIN SMALL LETTER L"
"c",275,"U+0063","LATIN SMALL LETTER C"
"g",246,"U+0067","LATIN SMALL LETTER G"
"h",244,"U+0068","LATIN SMALL LETTER H"
"p",241,"U+0070","LATIN SMALL LETTER P"
"y",142,"U+0079","LATIN SMALL LETTER Y"
"b",114,"U+0062","LATIN SMALL LETTER B"
"k",110,"U+006B","LATIN SMALL LETTER K"
".",96,"U+002E","FULL STOP"
",",88,"U+002C","COMMA"
"f",72,"U+0066","LATIN SMALL LETTER F"
"A",48,"U+0041","LATIN CAPITAL LETTER A"
"T",45,"U+0054","LATIN CAPITAL LETTER T"
"(",23,"U+0028","LEFT PARENTHESIS"
")",23,"U+0029","RIGHT PARENTHESIS"
"v",19,"U+0076","LATIN SMALL LETTER V"
"2",13,"U+0032","DIGIT TWO"
"1",11,"U+0031","DIGIT ONE"
"I",11,"U+0049","LATIN CAPITAL LETTER I"
"D",10,"U+0044","LATIN CAPITAL LETTER D"
"N",8,"U+004E","LATIN CAPITAL LETTER N"
"-",7,"U+002D","HYPHEN-MINUS"
"E",7,"U+0045","LATIN CAPITAL LETTER E"
"U",7,"U+0055","LATIN CAPITAL LETTER U"
";",4,"U+003B","SEMICOLON"
"3",4,"U+0033","DIGIT THREE"
"H",4,"U+0048","LATIN CAPITAL LETTER H"
"O",4,"U+004F","LATIN CAPITAL LETTER O"
"P",4,"U+0050","LATIN CAPITAL LETTER P"
"R",4,"U+0052","LATIN CAPITAL LETTER R"
"'",3,"U+0027","APOSTROPHE"
"0",3,"U+0030","DIGIT ZERO"
"4",3,"U+0034","DIGIT FOUR"
"5",3,"U+0035","DIGIT FIVE"
"6",3,"U+0036","DIGIT SIX"
"7",3,"U+0037","DIGIT SEVEN"
"8",3,"U+0038","DIGIT EIGHT"
"9",3,"U+0039","DIGIT NINE"
"C",3,"U+0043","LATIN CAPITAL LETTER C"
"j",3,"U+006A","LATIN SMALL LETTER J"
"L",3,"U+004C","LATIN CAPITAL LETTER L"
"M",3,"U+004D","LATIN CAPITAL LETTER M"
"q",3,"U+0071","LATIN SMALL LETTER Q"
"S",3,"U+0053","LATIN CAPITAL LETTER S"
"x",2,"U+0078","LATIN SMALL LETTER X"
"’",1,"U+2019","RIGHT SINGLE QUOTATION MARK"
"G",1,"U+0047","LATIN CAPITAL LETTER G"
"K",1,"U+004B","LATIN CAPITAL LETTER K"
"V",1,"U+0056","LATIN CAPITAL LETTER V"
"z",1,"U+007A","LATIN SMALL LETTER Z"
