"Grapheme","Frequency","Codepoint","UnicodeName"
"ы",17725,"U+044B","CYRILLIC SMALL LETTER YERU"
"н",13811,"U+043D","CYRILLIC SMALL LETTER EN"
"т",10082,"U+0442","CYRILLIC SMALL LETTER TE"
"э",9911,"U+044D","CYRILLIC SMALL LETTER E"
"а",8795,"U+0430","CYRILLIC SMALL LETTER A"
"и",6170,"U+0438","CYRILLIC SMALL LETTER I"
"к",6041,"U+043A","CYRILLIC SMALL LETTER KA"
"ԓ",5904,"U+0513","CYRILLIC SMALL LETTER EL WITH HOOK"
"р",5882,"U+0440","CYRILLIC SMALL LETTER ER"
"м",4929,"U+043C","CYRILLIC SMALL LETTER EM"
"г",4921,"U+0433","CYRILLIC SMALL LETTER GHE"
"в",4772,"U+0432","CYRILLIC SMALL LETTER VE"
"ъ",3597,"U+044A","CYRILLIC SMALL LETTER HARD SIGN"
"ӈ",3150,"U+04C8","CYRILLIC SMALL LETTER EN WITH HOOK"
"ӄ",2578,"U+04C4","CYRILLIC SMALL LETTER KA WITH HOOK"
"о",2516,"U+043E","CYRILLIC SMALL LETTER O"
",",2182,"U+002C","COMMA"
"у",2084,"U+0443","CYRILLIC SMALL LETTER U"
"ь",2020,"U+044C","CYRILLIC SMALL LETTER SOFT SIGN"
"ч",1620,"U+0447","CYRILLIC SMALL LETTER CHE"
"е",1463,"U+0435","CYRILLIC SMALL LETTER IE"
".",1343,"U+002E","FULL STOP"
"й",1253,"U+0439","CYRILLIC SMALL LETTER SHORT I"
"с",1122,"U+0441","CYRILLIC SMALL LETTER ES"
"ё",1079,"U+0451","CYRILLIC SMALL LETTER IO"
"п",1068,"U+043F","CYRILLIC SMALL LETTER PE"
"Ы",970,"U+042B","CYRILLIC CAPITAL LETTER YERU"
"'",697,"U+0027","APOSTROPHE"
"я",684,"U+044F","CYRILLIC SMALL LETTER YA"
"И",644,"U+0418","CYRILLIC CAPITAL LETTER I"
"-",483,"U+002D","HYPHEN-MINUS"
":",452,"U+003A","COLON"
"Э",437,"U+042D","CYRILLIC CAPITAL LETTER E"
"«",360,"U+00AB","LEFT-POINTING DOUBLE ANGLE QUOTATION MARK"
"»",360,"U+00BB","RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK"
"Г",357,"U+0413","CYRILLIC CAPITAL LETTER GHE"
"л",240,"U+043B","CYRILLIC SMALL LETTER EL"
"—",236,"U+2014","EM DASH"
"Ӄ",192,"U+04C3","CYRILLIC CAPITAL LETTER KA WITH HOOK"
"ю",188,"U+044E","CYRILLIC SMALL LETTER YU"
"М",178,"U+041C","CYRILLIC CAPITAL LETTER EM"
"!",173,"U+0021","EXCLAMATION MARK"
"?",164,"U+003F","QUESTION MARK"
"Т",152,"U+0422","CYRILLIC CAPITAL LETTER TE"
"А",129,"U+0410","CYRILLIC CAPITAL LETTER A"
"“",126,"U+201C","LEFT DOUBLE QUOTATION MARK"
"„",126,"U+201E","DOUBLE LOW-9 QUOTATION MARK"
"д",110,"U+0434","CYRILLIC SMALL LETTER DE"
"В",93,"U+0412","CYRILLIC CAPITAL LETTER VE"
"К",85,"U+041A","CYRILLIC CAPITAL LETTER KA"
"Р",77,"U+0420","CYRILLIC CAPITAL LETTER ER"
"ф",70,"U+0444","CYRILLIC SMALL LETTER EF"
"П",66,"U+041F","CYRILLIC CAPITAL LETTER PE"
"С",59,"U+0421","CYRILLIC CAPITAL LETTER ES"
"Н",56,"U+041D","CYRILLIC CAPITAL LETTER EN"
"Ӈ",55,"U+04C7","CYRILLIC CAPITAL LETTER EN WITH HOOK"
"О",48,"U+041E","CYRILLIC CAPITAL LETTER O"
"б",43,"U+0431","CYRILLIC SMALL LETTER BE"
"з",40,"U+0437","CYRILLIC SMALL LETTER ZE"
"х",40,"U+0445","CYRILLIC SMALL LETTER HA"
"Е",39,"U+0415","CYRILLIC CAPITAL LETTER IE"
"З",36,"U+0417","CYRILLIC CAPITAL LETTER ZE"
"Ч",35,"U+0427","CYRILLIC CAPITAL LETTER CHE"
"Ԓ",30,"U+0512","CYRILLIC CAPITAL LETTER EL WITH HOOK"
"Ф",16,"U+0424","CYRILLIC CAPITAL LETTER EF"
"Х",16,"U+0425","CYRILLIC CAPITAL LETTER HA"
"Л",15,"U+041B","CYRILLIC CAPITAL LETTER EL"
"Д",14,"U+0414","CYRILLIC CAPITAL LETTER DE"
"(",12,"U+0028","LEFT PARENTHESIS"
")",12,"U+0029","RIGHT PARENTHESIS"
";",11,"U+003B","SEMICOLON"
"Я",8,"U+042F","CYRILLIC CAPITAL LETTER YA"
"‘",5,"U+2018","LEFT SINGLE QUOTATION MARK"
"’",5,"U+2019","RIGHT SINGLE QUOTATION MARK"
"ж",5,"U+0436","CYRILLIC SMALL LETTER ZHE"
"У",5,"U+0423","CYRILLIC CAPITAL LETTER U"
"Й",3,"U+0419","CYRILLIC CAPITAL LETTER SHORT I"
"ц",1,"U+0446","CYRILLIC SMALL LETTER TSE"
"ш",1,"U+0448","CYRILLIC SMALL LETTER SHA"
