"Grapheme","Frequency","Codepoint","UnicodeName"
"a",221514,"U+0061","LATIN SMALL LETTER A"
"n",123949,"U+006E","LATIN SMALL LETTER N"
"e",98239,"U+0065","LATIN SMALL LETTER E"
"i",71282,"U+0069","LATIN SMALL LETTER I"
"m",56399,"U+006D","LATIN SMALL LETTER M"
"u",52360,"U+0075","LATIN SMALL LETTER U"
"w",46357,"U+0077","LATIN SMALL LETTER W"
"p",42404,"U+0070","LATIN SMALL LETTER P"
"g",41757,"U+0067","LATIN SMALL LETTER G"
"o",39312,"U+006F","LATIN SMALL LETTER O"
"t",37761,"U+0074","LATIN SMALL LETTER T"
"d",24556,"U+0064","LATIN SMALL LETTER D"
"r",20328,"U+0072","LATIN SMALL LETTER R"
"s",15887,"U+0073","LATIN SMALL LETTER S"
"k",13183,"U+006B","LATIN SMALL LETTER K"
".",12891,"U+002E","FULL STOP"
"y",12602,"U+0079","LATIN SMALL LETTER Y"
",",11892,"U+002C","COMMA"
"b",11117,"U+0062","LATIN SMALL LETTER B"
"G",6289,"U+0047","LATIN CAPITAL LETTER G"
"v",5624,"U+0076","LATIN SMALL LETTER V"
"A",4984,"U+0041","LATIN CAPITAL LETTER A"
"I",4484,"U+0049","LATIN CAPITAL LETTER I"
"M",2612,"U+004D","LATIN CAPITAL LETTER M"
"“",1888,"U+201C","LEFT DOUBLE QUOTATION MARK"
"”",1888,"U+201D","RIGHT DOUBLE QUOTATION MARK"
"N",1651,"U+004E","LATIN CAPITAL LETTER N"
"D",1606,"U+0044","LATIN CAPITAL LETTER D"
"P",1520,"U+0050","LATIN CAPITAL LETTER P"
"W",1449,"U+0057","LATIN CAPITAL LETTER W"
"l",1376,"U+006C","LATIN SMALL LETTER L"
"K",1364,"U+004B","LATIN CAPITAL LETTER K"
"E",1279,"U+0045","LATIN CAPITAL LETTER E"
"S",893,"U+0053","LATIN CAPITAL LETTER S"
"?",830,"U+003F","QUESTION MARK"
"O",594,"U+004F","LATIN CAPITAL LETTER O"
"B",532,"U+0042","LATIN CAPITAL LETTER B"
"T",499,"U+0054","LATIN CAPITAL LETTER T"
"!",316,"U+0021","EXCLAMATION MARK"
"‘",305,"U+2018","LEFT SINGLE QUOTATION MARK"
"’",305,"U+2019","RIGHT SINGLE QUOTATION MARK"
"0",223,"U+0030","DIGIT ZERO"
"Y",188,"U+0059","LATIN CAPITAL LETTER Y"
"U",159,"U+0055","LATIN CAPITAL LETTER U"
"(",116,"U+0028","LEFT PARENTHESIS"
")",116,"U+0029","RIGHT PARENTHESIS"
"V",109,"U+0056","LATIN CAPITAL LETTER V"
"L",100,"U+004C","LATIN CAPITAL LETTER L"
"R",94,"U+0052","LATIN CAPITAL LETTER R"
"1",49,"U+0031","DIGIT ONE"
"4",37,"U+0034","DIGIT FOUR"
"2",31,"U+0032","DIGIT TWO"
"5",18,"U+0035","DIGIT FIVE"
"3",14,"U+0033","DIGIT THREE"
"6",13,"U+0036","DIGIT SIX"
"'",11,"U+0027","APOSTROPHE"
"7",7,"U+0037","DIGIT SEVEN"
"9",7,"U+0039","DIGIT NINE"
"8",6,"U+0038","DIGIT EIGHT"
"-",3,"U+002D","HYPHEN-MINUS"
"h",3,"U+0068","LATIN SMALL LETTER H"
"J",2,"U+004A","LATIN CAPITAL LETTER J"
"c",1,"U+0063","LATIN SMALL LETTER C"
"C",1,"U+0043","LATIN CAPITAL LETTER C"
