"Grapheme","Frequency","Codepoint","UnicodeName"
"e",2819305,"U+0065","LATIN SMALL LETTER E"
"t",1984603,"U+0074","LATIN SMALL LETTER T"
"a",1727713,"U+0061","LATIN SMALL LETTER A"
"o",1680928,"U+006F","LATIN SMALL LETTER O"
"n",1524796,"U+006E","LATIN SMALL LETTER N"
"i",1508251,"U+0069","LATIN SMALL LETTER I"
"s",1421169,"U+0073","LATIN SMALL LETTER S"
"h",1348005,"U+0068","LATIN SMALL LETTER H"
"r",1335042,"U+0072","LATIN SMALL LETTER R"
"l",912820,"U+006C","LATIN SMALL LETTER L"
"d",908528,"U+0064","LATIN SMALL LETTER D"
"u",640950,"U+0075","LATIN SMALL LETTER U"
"c",570816,"U+0063","LATIN SMALL LETTER C"
"f",522020,"U+0066","LATIN SMALL LETTER F"
"m",520715,"U+006D","LATIN SMALL LETTER M"
"w",453507,"U+0077","LATIN SMALL LETTER W"
"g",440399,"U+0067","LATIN SMALL LETTER G"
"y",394592,"U+0079","LATIN SMALL LETTER Y"
"p",393593,"U+0070","LATIN SMALL LETTER P"
",",375804,"U+002C","COMMA"
"b",313277,"U+0062","LATIN SMALL LETTER B"
".",260195,"U+002E","FULL STOP"
"v",215019,"U+0076","LATIN SMALL LETTER V"
"k",153136,"U+006B","LATIN SMALL LETTER K"
"I",81202,"U+0049","LATIN CAPITAL LETTER I"
"T",71523,"U+0054","LATIN CAPITAL LETTER T"
"""",65737,"U+0022","QUOTATION MARK"
"A",49665,"U+0041","LATIN CAPITAL LETTER A"
"S",45671,"U+0053","LATIN CAPITAL LETTER S"
"'",43259,"U+0027","APOSTROPHE"
"-",42873,"U+002D","HYPHEN-MINUS"
"H",37866,"U+0048","LATIN CAPITAL LETTER H"
"x",36984,"U+0078","LATIN SMALL LETTER X"
"M",33978,"U+004D","LATIN CAPITAL LETTER M"
";",33935,"U+003B","SEMICOLON"
"B",33090,"U+0042","LATIN CAPITAL LETTER B"
"C",29488,"U+0043","LATIN CAPITAL LETTER C"
"—",28809,"U+2014","EM DASH"
"W",27708,"U+0057","LATIN CAPITAL LETTER W"
"P",27500,"U+0050","LATIN CAPITAL LETTER P"
"E",24799,"U+0045","LATIN CAPITAL LETTER E"
"q",24282,"U+0071","LATIN SMALL LETTER Q"
"!",22225,"U+0021","EXCLAMATION MARK"
"j",20695,"U+006A","LATIN SMALL LETTER J"
"“",20378,"U+201C","LEFT DOUBLE QUOTATION MARK"
"’",20363,"U+2019","RIGHT SINGLE QUOTATION MARK"
"G",20362,"U+0047","LATIN CAPITAL LETTER G"
"”",20123,"U+201D","RIGHT DOUBLE QUOTATION MARK"
"?",20099,"U+003F","QUESTION MARK"
"N",19802,"U+004E","LATIN CAPITAL LETTER N"
"R",19625,"U+0052","LATIN CAPITAL LETTER R"
"L",19438,"U+004C","LATIN CAPITAL LETTER L"
"D",19403,"U+0044","LATIN CAPITAL LETTER D"
"1",19324,"U+0031","DIGIT ONE"
"O",19314,"U+004F","LATIN CAPITAL LETTER O"
"F",17663,"U+0046","LATIN CAPITAL LETTER F"
