"Grapheme","Frequency","Codepoint","UnicodeName"
"a",1320,"U+0061","LATIN SMALL LETTER A"
"i",1106,"U+0069","LATIN SMALL LETTER I"
"t",950,"U+0074","LATIN SMALL LETTER T"
"e",927,"U+0065","LATIN SMALL LETTER E"
"n",911,"U+006E","LATIN SMALL LETTER N"
"s",899,"U+0073","LATIN SMALL LETTER S"
"l",608,"U+006C","LATIN SMALL LETTER L"
"k",594,"U+006B","LATIN SMALL LETTER K"
"o",520,"U+006F","LATIN SMALL LETTER O"
"u",483,"U+0075","LATIN SMALL LETTER U"
"ä",462,"U+00E4","LATIN SMALL LETTER A WITH DIAERESIS"
"m",257,"U+006D","LATIN SMALL LETTER M"
"v",226,"U+0076","LATIN SMALL LETTER V"
"j",211,"U+006A","LATIN SMALL LETTER J"
"h",185,"U+0068","LATIN SMALL LETTER H"
"y",180,"U+0079","LATIN SMALL LETTER Y"
"r",174,"U+0072","LATIN SMALL LETTER R"
"p",154,"U+0070","LATIN SMALL LETTER P"
".",133,"U+002E","FULL STOP"
"d",110,"U+0064","LATIN SMALL LETTER D"
",",91,"U+002C","COMMA"
"ö",47,"U+00F6","LATIN SMALL LETTER O WITH DIAERESIS"
"J",34,"U+004A","LATIN CAPITAL LETTER J"
"K",34,"U+004B","LATIN CAPITAL LETTER K"
"I",17,"U+0049","LATIN CAPITAL LETTER I"
"S",16,"U+0053","LATIN CAPITAL LETTER S"
"1",15,"U+0031","DIGIT ONE"
"2",13,"U+0032","DIGIT TWO"
"Y",13,"U+0059","LATIN CAPITAL LETTER Y"
"M",12,"U+004D","LATIN CAPITAL LETTER M"
"L",11,"U+004C","LATIN CAPITAL LETTER L"
"N",11,"U+004E","LATIN CAPITAL LETTER N"
"E",10,"U+0045","LATIN CAPITAL LETTER E"
"A",9,"U+0041","LATIN CAPITAL LETTER A"
"-",8,"U+002D","HYPHEN-MINUS"
"O",8,"U+004F","LATIN CAPITAL LETTER O"
"g",7,"U+0067","LATIN SMALL LETTER G"
"T",7,"U+0054","LATIN CAPITAL LETTER T"
"U",7,"U+0055","LATIN CAPITAL LETTER U"
":",5,"U+003A","COLON"
"4",5,"U+0034","DIGIT FOUR"
"8",5,"U+0038","DIGIT EIGHT"
"H",5,"U+0048","LATIN CAPITAL LETTER H"
"0",4,"U+0030","DIGIT ZERO"
"3",4,"U+0033","DIGIT THREE"
"9",4,"U+0039","DIGIT NINE"
"Ä",4,"U+00C4","LATIN CAPITAL LETTER A WITH DIAERESIS"
";",3,"U+003B","SEMICOLON"
"5",3,"U+0035","DIGIT FIVE"
"6",3,"U+0036","DIGIT SIX"
"7",3,"U+0037","DIGIT SEVEN"
"""",2,"U+0022","QUOTATION MARK"
"V",2,"U+0056","LATIN CAPITAL LETTER V"
"b",1,"U+0062","LATIN SMALL LETTER B"
"D",1,"U+0044","LATIN CAPITAL LETTER D"
"P",1,"U+0050","LATIN CAPITAL LETTER P"
