"Grapheme","Frequency","Codepoint","UnicodeName"
"e",3269208,"U+0065","LATIN SMALL LETTER E"
"s",1750815,"U+0073","LATIN SMALL LETTER S"
"a",1682941,"U+0061","LATIN SMALL LETTER A"
"i",1563594,"U+0069","LATIN SMALL LETTER I"
"n",1532974,"U+006E","LATIN SMALL LETTER N"
"t",1528456,"U+0074","LATIN SMALL LETTER T"
"r",1479950,"U+0072","LATIN SMALL LETTER R"
"u",1395834,"U+0075","LATIN SMALL LETTER U"
"l",1199896,"U+006C","LATIN SMALL LETTER L"
"o",1184210,"U+006F","LATIN SMALL LETTER O"
"d",790764,"U+0064","LATIN SMALL LETTER D"
"c",635134,"U+0063","LATIN SMALL LETTER C"
"m",615963,"U+006D","LATIN SMALL LETTER M"
"p",586995,"U+0070","LATIN SMALL LETTER P"
",",431797,"U+002C","COMMA"
"é",401288,"U+00E9","LATIN SMALL LETTER E WITH ACUTE"
"v",349943,"U+0076","LATIN SMALL LETTER V"
".",296126,"U+002E","FULL STOP"
"'",247622,"U+0027","APOSTROPHE"
"q",243823,"U+0071","LATIN SMALL LETTER Q"
"f",230778,"U+0066","LATIN SMALL LETTER F"
"g",210202,"U+0067","LATIN SMALL LETTER G"
"b",204155,"U+0062","LATIN SMALL LETTER B"
"h",193806,"U+0068","LATIN SMALL LETTER H"
"à",103690,"U+00E0","LATIN SMALL LETTER A WITH GRAVE"
"j",98753,"U+006A","LATIN SMALL LETTER J"
"x",97402,"U+0078","LATIN SMALL LETTER X"
"-",88825,"U+002D","HYPHEN-MINUS"
"è",77121,"U+00E8","LATIN SMALL LETTER E WITH GRAVE"
"y",64347,"U+0079","LATIN SMALL LETTER Y"
"L",57402,"U+004C","LATIN CAPITAL LETTER L"
"M",51632,"U+004D","LATIN CAPITAL LETTER M"
"C",47733,"U+0043","LATIN CAPITAL LETTER C"
";",42491,"U+003B","SEMICOLON"
"ê",42142,"U+00EA","LATIN SMALL LETTER E WITH CIRCUMFLEX"
"—",40213,"U+2014","EM DASH"
"z",40037,"U+007A","LATIN SMALL LETTER Z"
"A",39207,"U+0041","LATIN CAPITAL LETTER A"
"E",39156,"U+0045","LATIN CAPITAL LETTER E"
"1",36560,"U+0031","DIGIT ONE"
"I",36126,"U+0049","LATIN CAPITAL LETTER I"
"P",35407,"U+0050","LATIN CAPITAL LETTER P"
"’",32380,"U+2019","RIGHT SINGLE QUOTATION MARK"
"S",31686,"U+0053","LATIN CAPITAL LETTER S"
"D",31024,"U+0044","LATIN CAPITAL LETTER D"
"!",28067,"U+0021","EXCLAMATION MARK"
"J",24272,"U+004A","LATIN CAPITAL LETTER J"
"R",22589,"U+0052","LATIN CAPITAL LETTER R"
":",22485,"U+003A","COLON"
"T",22351,"U+0054","LATIN CAPITAL LETTER T"
"B",22037,"U+0042","LATIN CAPITAL LETTER B"
"2",21633,"U+0032","DIGIT TWO"
"N",18990,"U+004E","LATIN CAPITAL LETTER N"
"O",18477,"U+004F","LATIN CAPITAL LETTER O"
"V",17917,"U+0056","LATIN CAPITAL LETTER V"
"0",16120,"U+0030","DIGIT ZERO"
"?",16042,"U+003F","QUESTION MARK"
"ç",15235,"U+00E7","LATIN SMALL LETTER C WITH CEDILLA"
"5",14842,"U+0035","DIGIT FIVE"
"3",14721,"U+0033","DIGIT THREE"
"[",14489,"U+005B","LEFT SQUARE BRACKET"
"]",14489,"U+005D","RIGHT SQUARE BRACKET"
"â",14164,"U+00E2","LATIN SMALL LETTER A WITH CIRCUMFLEX"
"4",13551,"U+0034","DIGIT FOUR"
"G",13018,"U+0047","LATIN CAPITAL LETTER G"
"8",12904,"U+0038","DIGIT EIGHT"
"F",12667,"U+0046","LATIN CAPITAL LETTER F"
"7",12146,"U+0037","DIGIT SEVEN"
"6",12144,"U+0036","DIGIT SIX"
"ô",12142,"U+00F4","LATIN SMALL LETTER O WITH CIRCUMFLEX"
"î",12004,"U+00EE","LATIN SMALL LETTER I WITH CIRCUMFLEX"
"9",11185,"U+0039","DIGIT NINE"
"«",10295,"U+00AB","LEFT-POINTING DOUBLE ANGLE QUOTATION MARK"
"û",10012,"U+00FB","LATIN SMALL LETTER U WITH CIRCUMFLEX"
"H",9965,"U+0048","LATIN CAPITAL LETTER H"
"Q",9633,"U+0051","LATIN CAPITAL LETTER Q"
"»",9616,"U+00BB","RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK"
"ù",9376,"U+00F9","LATIN SMALL LETTER U WITH GRAVE"
"U",8887,"U+0055","LATIN CAPITAL LETTER U"
")",8316,"U+0029","RIGHT PARENTHESIS"
"(",8254,"U+0028","LEFT PARENTHESIS"
"/",7678,"U+002F","SOLIDUS"
"\",6784,"U+005C","REVERSE SOLIDUS"
"œ",6709,"U+0153","LATIN SMALL LIGATURE OE"
"k",6041,"U+006B","LATIN SMALL LETTER K"
" ",5303,"U+00A0","NO-BREAK SPACE"
"É",4230,"U+00C9","LATIN CAPITAL LETTER E WITH ACUTE"
"X",3608,"U+0058","LATIN CAPITAL LETTER X"
"w",3152,"U+0077","LATIN SMALL LETTER W"
"…",2883,"U+2026","HORIZONTAL ELLIPSIS"
"W",2847,"U+0057","LATIN CAPITAL LETTER W"
"ï",2745,"U+00EF","LATIN SMALL LETTER I WITH DIAERESIS"
"&",2725,"U+0026","AMPERSAND"
"*",1922,"U+002A","ASTERISK"
"À",1792,"U+00C0","LATIN CAPITAL LETTER A WITH GRAVE"
"K",1481,"U+004B","LATIN CAPITAL LETTER K"
"ë",1053,"U+00EB","LATIN SMALL LETTER E WITH DIAERESIS"
"Z",1006,"U+005A","LATIN CAPITAL LETTER Z"
"""",879,"U+0022","QUOTATION MARK"
"ñ",873,"U+00F1","LATIN SMALL LETTER N WITH TILDE"
"Y",873,"U+0059","LATIN CAPITAL LETTER Y"
"}",665,"U+007D","RIGHT CURLY BRACKET"
"{",658,"U+007B","LEFT CURLY BRACKET"
"æ",632,"U+00E6","LATIN SMALL LETTER AE"
"´",460,"U+00B4","ACUTE ACCENT"
"º",443,"U+00BA","MASCULINE ORDINAL INDICATOR"
"°",405,"U+00B0","DEGREE SIGN"
"ó",396,"U+00F3","LATIN SMALL LETTER O WITH ACUTE"
"Ô",356,"U+00D4","LATIN CAPITAL LETTER O WITH CIRCUMFLEX"
"Ç",349,"U+00C7","LATIN CAPITAL LETTER C WITH CEDILLA"
"·",297,"U+00B7","MIDDLE DOT"
"È",250,"U+00C8","LATIN CAPITAL LETTER E WITH GRAVE"
"=",220,"U+003D","EQUALS SIGN"
"§",217,"U+00A7","SECTION SIGN"
"Ê",165,"U+00CA","LATIN CAPITAL LETTER E WITH CIRCUMFLEX"
"á",152,"U+00E1","LATIN SMALL LETTER A WITH ACUTE"
"í",146,"U+00ED","LATIN SMALL LETTER I WITH ACUTE"
"–",142,"U+2013","EN DASH"
"ã",142,"U+00E3","LATIN SMALL LETTER A WITH TILDE"
"ο",138,"U+03BF","GREEK SMALL LETTER OMICRON"
"ü",134,"U+00FC","LATIN SMALL LETTER U WITH DIAERESIS"
"ν",129,"U+03BD","GREEK SMALL LETTER NU"
"Œ",128,"U+0152","LATIN CAPITAL LIGATURE OE"
"α",119,"U+03B1","GREEK SMALL LETTER ALPHA"
"¶",107,"U+00B6","PILCROW SIGN"
"ι",102,"U+03B9","GREEK SMALL LETTER IOTA"
"ú",101,"U+00FA","LATIN SMALL LETTER U WITH ACUTE"
"ε",94,"U+03B5","GREEK SMALL LETTER EPSILON"
"τ",82,"U+03C4","GREEK SMALL LETTER TAU"
"ρ",80,"U+03C1","GREEK SMALL LETTER RHO"
"ς",79,"U+03C2","GREEK SMALL LETTER FINAL SIGMA"
"%",70,"U+0025","PERCENT SIGN"
"ò",59,"U+00F2","LATIN SMALL LETTER O WITH GRAVE"
"¡",53,"U+00A1","INVERTED EXCLAMATION MARK"
"σ",48,"U+03C3","GREEK SMALL LETTER SIGMA"
"μ",47,"U+03BC","GREEK SMALL LETTER MU"
"κ",45,"U+03BA","GREEK SMALL LETTER KAPPA"
"λ",43,"U+03BB","GREEK SMALL LETTER LAMDA"
"υ",39,"U+03C5","GREEK SMALL LETTER UPSILON"
"π",38,"U+03C0","GREEK SMALL LETTER PI"
"Ë",34,"U+00CB","LATIN CAPITAL LETTER E WITH DIAERESIS"
"✝",32,"U+271D","LATIN CROSS"
"θ",31,"U+03B8","GREEK SMALL LETTER THETA"
"δ",29,"U+03B4","GREEK SMALL LETTER DELTA"
"Æ",28,"U+00C6","LATIN CAPITAL LETTER AE"
"ω",28,"U+03C9","GREEK SMALL LETTER OMEGA"
"φ",27,"U+03C6","GREEK SMALL LETTER PHI"
">",26,"U+003E","GREATER-THAN SIGN"
"_",22,"U+005F","LOW LINE"
"η",21,"U+03B7","GREEK SMALL LETTER ETA"
"|",19,"U+007C","VERTICAL LINE"
"ö",18,"U+00F6","LATIN SMALL LETTER O WITH DIAERESIS"
"Â",17,"U+00C2","LATIN CAPITAL LETTER A WITH CIRCUMFLEX"
"γ",16,"U+03B3","GREEK SMALL LETTER GAMMA"
"χ",16,"U+03C7","GREEK SMALL LETTER CHI"
"ό",14,"U+03CC","GREEK SMALL LETTER OMICRON WITH TONOS"
"+",13,"U+002B","PLUS SIGN"
"Î",12,"U+00CE","LATIN CAPITAL LETTER I WITH CIRCUMFLEX"
"ά",12,"U+03AC","GREEK SMALL LETTER ALPHA WITH TONOS"
"έ",12,"U+03AD","GREEK SMALL LETTER EPSILON WITH TONOS"
"⁂",11,"U+2042","ASTERISM"
"ἀ",11,"U+1F00","GREEK SMALL LETTER ALPHA WITH PSILI"
"ἐ",11,"U+1F10","GREEK SMALL LETTER EPSILON WITH PSILI"
"~",10,"U+007E","TILDE"
"Á",10,"U+00C1","LATIN CAPITAL LETTER A WITH ACUTE"
"ί",10,"U+1F77","GREEK SMALL LETTER IOTA WITH OXIA"
"ί",10,"U+03AF","GREEK SMALL LETTER IOTA WITH TONOS"
"ὶ",10,"U+1F76","GREEK SMALL LETTER IOTA WITH VARIA"
"Τ",10,"U+03A4","GREEK CAPITAL LETTER TAU"
"β",9,"U+03B2","GREEK SMALL LETTER BETA"
"ῆ",9,"U+1FC6","GREEK SMALL LETTER ETA WITH PERISPOMENI"
