"Grapheme","Frequency","Codepoint","UnicodeName"
"e",1348,"U+0065","LATIN SMALL LETTER E"
"t",835,"U+0074","LATIN SMALL LETTER T"
"i",788,"U+0069","LATIN SMALL LETTER I"
"n",750,"U+006E","LATIN SMALL LETTER N"
"s",725,"U+0073","LATIN SMALL LETTER S"
"a",670,"U+0061","LATIN SMALL LETTER A"
"r",626,"U+0072","LATIN SMALL LETTER R"
"o",618,"U+006F","LATIN SMALL LETTER O"
"l",539,"U+006C","LATIN SMALL LETTER L"
"u",496,"U+0075","LATIN SMALL LETTER U"
"d",429,"U+0064","LATIN SMALL LETTER D"
"c",327,"U+0063","LATIN SMALL LETTER C"
"é",258,"U+00E9","LATIN SMALL LETTER E WITH ACUTE"
"p",242,"U+0070","LATIN SMALL LETTER P"
"m",215,"U+006D","LATIN SMALL LETTER M"
",",116,"U+002C","COMMA"
"’",92,"U+2019","RIGHT SINGLE QUOTATION MARK"
"v",90,"U+0076","LATIN SMALL LETTER V"
"g",82,"U+0067","LATIN SMALL LETTER G"
"f",79,"U+0066","LATIN SMALL LETTER F"
"q",79,"U+0071","LATIN SMALL LETTER Q"
"b",76,"U+0062","LATIN SMALL LETTER B"
"à",63,"U+00E0","LATIN SMALL LETTER A WITH GRAVE"
".",61,"U+002E","FULL STOP"
"h",46,"U+0068","LATIN SMALL LETTER H"
"x",44,"U+0078","LATIN SMALL LETTER X"
"A",33,"U+0041","LATIN CAPITAL LETTER A"
"T",27,"U+0054","LATIN CAPITAL LETTER T"
"ê",23,"U+00EA","LATIN SMALL LETTER E WITH CIRCUMFLEX"
"y",20,"U+0079","LATIN SMALL LETTER Y"
"2",13,"U+0032","DIGIT TWO"
"C",13,"U+0043","LATIN CAPITAL LETTER C"
"N",13,"U+004E","LATIN CAPITAL LETTER N"
"1",12,"U+0031","DIGIT ONE"
"D",11,"U+0044","LATIN CAPITAL LETTER D"
"j",11,"U+006A","LATIN SMALL LETTER J"
"L",11,"U+004C","LATIN CAPITAL LETTER L"
"è",10,"U+00E8","LATIN SMALL LETTER E WITH GRAVE"
";",6,"U+003B","SEMICOLON"
"É",5,"U+00C9","LATIN CAPITAL LETTER E WITH ACUTE"
"U",5,"U+0055","LATIN CAPITAL LETTER U"
"3",4,"U+0033","DIGIT THREE"
"ù",4,"U+00F9","LATIN SMALL LETTER U WITH GRAVE"
"‐",3,"U+2010","HYPHEN"
"0",3,"U+0030","DIGIT ZERO"
"4",3,"U+0034","DIGIT FOUR"
"5",3,"U+0035","DIGIT FIVE"
"6",3,"U+0036","DIGIT SIX"
"7",3,"U+0037","DIGIT SEVEN"
"8",3,"U+0038","DIGIT EIGHT"
"9",3,"U+0039","DIGIT NINE"
"â",2,"U+00E2","LATIN SMALL LETTER A WITH CIRCUMFLEX"
"I",2,"U+0049","LATIN CAPITAL LETTER I"
"M",2,"U+004D","LATIN CAPITAL LETTER M"
"ô",2,"U+00F4","LATIN SMALL LETTER O WITH CIRCUMFLEX"
"P",2,"U+0050","LATIN CAPITAL LETTER P"
"E",1,"U+0045","LATIN CAPITAL LETTER E"
"O",1,"U+004F","LATIN CAPITAL LETTER O"
"Q",1,"U+0051","LATIN CAPITAL LETTER Q"
"û",1,"U+00FB","LATIN SMALL LETTER U WITH CIRCUMFLEX"
