"Grapheme","Frequency","Codepoint","UnicodeName"
"e",3990249,"U+0065","LATIN SMALL LETTER E"
"n",2497823,"U+006E","LATIN SMALL LETTER N"
"i",2253540,"U+0069","LATIN SMALL LETTER I"
"r",1706804,"U+0072","LATIN SMALL LETTER R"
"s",1699496,"U+0073","LATIN SMALL LETTER S"
"a",1582874,"U+0061","LATIN SMALL LETTER A"
"t",1573870,"U+0074","LATIN SMALL LETTER T"
"h",1439137,"U+0068","LATIN SMALL LETTER H"
"d",1100767,"U+0064","LATIN SMALL LETTER D"
"c",939935,"U+0063","LATIN SMALL LETTER C"
"u",933741,"U+0075","LATIN SMALL LETTER U"
"l",866686,"U+006C","LATIN SMALL LETTER L"
".",778978,"U+002E","FULL STOP"
"m",668891,"U+006D","LATIN SMALL LETTER M"
"o",617176,"U+006F","LATIN SMALL LETTER O"
"g",587340,"U+0067","LATIN SMALL LETTER G"
"b",452276,"U+0062","LATIN SMALL LETTER B"
",",450510,"U+002C","COMMA"
"w",431140,"U+0077","LATIN SMALL LETTER W"
"f",316583,"U+0066","LATIN SMALL LETTER F"
"k",294192,"U+006B","LATIN SMALL LETTER K"
"S",234724,"U+0053","LATIN CAPITAL LETTER S"
"z",229551,"U+007A","LATIN SMALL LETTER Z"
"D",180258,"U+0044","LATIN CAPITAL LETTER D"
"I",166200,"U+0049","LATIN CAPITAL LETTER I"
"W",159481,"U+0057","LATIN CAPITAL LETTER W"
"v",153981,"U+0076","LATIN SMALL LETTER V"
"?",153538,"U+003F","QUESTION MARK"
"ü",152347,"U+00FC","LATIN SMALL LETTER U WITH DIAERESIS"
"E",128012,"U+0045","LATIN CAPITAL LETTER E"
"A",121187,"U+0041","LATIN CAPITAL LETTER A"
"p",120688,"U+0070","LATIN SMALL LETTER P"
"M",115360,"U+004D","LATIN CAPITAL LETTER M"
"ä",104143,"U+00E4","LATIN SMALL LETTER A WITH DIAERESIS"
"-",103011,"U+002D","HYPHEN-MINUS"
"H",94490,"U+0048","LATIN CAPITAL LETTER H"
"G",89776,"U+0047","LATIN CAPITAL LETTER G"
"ö",82507,"U+00F6","LATIN SMALL LETTER O WITH DIAERESIS"
"B",81703,"U+0042","LATIN CAPITAL LETTER B"
"N",78185,"U+004E","LATIN CAPITAL LETTER N"
"K",77868,"U+004B","LATIN CAPITAL LETTER K"
"T",70040,"U+0054","LATIN CAPITAL LETTER T"
"F",66048,"U+0046","LATIN CAPITAL LETTER F"
"L",65461,"U+004C","LATIN CAPITAL LETTER L"
"J",64747,"U+004A","LATIN CAPITAL LETTER J"
"y",59790,"U+0079","LATIN SMALL LETTER Y"
"!",54739,"U+0021","EXCLAMATION MARK"
"ß",53034,"U+00DF","LATIN SMALL LETTER SHARP S"
"R",52975,"U+0052","LATIN CAPITAL LETTER R"
"U",49430,"U+0055","LATIN CAPITAL LETTER U"
"P",49270,"U+0050","LATIN CAPITAL LETTER P"
"V",47360,"U+0056","LATIN CAPITAL LETTER V"
"j",42683,"U+006A","LATIN SMALL LETTER J"
"O",40577,"U+004F","LATIN CAPITAL LETTER O"
"""",39803,"U+0022","QUOTATION MARK"
"C",32974,"U+0043","LATIN CAPITAL LETTER C"
"Z",31371,"U+005A","LATIN CAPITAL LETTER Z"
"'",17446,"U+0027","APOSTROPHE"
":",17268,"U+003A","COLON"
"0",13981,"U+0030","DIGIT ZERO"
"x",10214,"U+0078","LATIN SMALL LETTER X"
"(",9725,"U+0028","LEFT PARENTHESIS"
")",9690,"U+0029","RIGHT PARENTHESIS"
"1",9041,"U+0031","DIGIT ONE"
"2",6457,"U+0032","DIGIT TWO"
