"Grapheme","Frequency","Codepoint","UnicodeName"
"e",1719,"U+0065","LATIN SMALL LETTER E"
"n",1049,"U+006E","LATIN SMALL LETTER N"
"i",762,"U+0069","LATIN SMALL LETTER I"
"r",738,"U+0072","LATIN SMALL LETTER R"
"t",601,"U+0074","LATIN SMALL LETTER T"
"d",562,"U+0064","LATIN SMALL LETTER D"
"h",489,"U+0068","LATIN SMALL LETTER H"
"s",463,"U+0073","LATIN SMALL LETTER S"
"u",450,"U+0075","LATIN SMALL LETTER U"
"a",448,"U+0061","LATIN SMALL LETTER A"
"l",395,"U+006C","LATIN SMALL LETTER L"
"g",324,"U+0067","LATIN SMALL LETTER G"
"c",320,"U+0063","LATIN SMALL LETTER C"
"f",174,"U+0066","LATIN SMALL LETTER F"
"o",172,"U+006F","LATIN SMALL LETTER O"
"m",133,"U+006D","LATIN SMALL LETTER M"
",",118,"U+002C","COMMA"
"k",117,"U+006B","LATIN SMALL LETTER K"
"z",110,"U+007A","LATIN SMALL LETTER Z"
"b",108,"U+0062","LATIN SMALL LETTER B"
"w",86,"U+0077","LATIN SMALL LETTER W"
"A",78,"U+0041","LATIN CAPITAL LETTER A"
".",63,"U+002E","FULL STOP"
"v",59,"U+0076","LATIN SMALL LETTER V"
"R",58,"U+0052","LATIN CAPITAL LETTER R"
"G",57,"U+0047","LATIN CAPITAL LETTER G"
"ä",55,"U+00E4","LATIN SMALL LETTER A WITH DIAERESIS"
"ü",52,"U+00FC","LATIN SMALL LETTER U WITH DIAERESIS"
"S",40,"U+0053","LATIN CAPITAL LETTER S"
"F",38,"U+0046","LATIN CAPITAL LETTER F"
"ö",34,"U+00F6","LATIN SMALL LETTER O WITH DIAERESIS"
"E",33,"U+0045","LATIN CAPITAL LETTER E"
"M",31,"U+004D","LATIN CAPITAL LETTER M"
"J",29,"U+004A","LATIN CAPITAL LETTER J"
"p",29,"U+0070","LATIN SMALL LETTER P"
"V",26,"U+0056","LATIN CAPITAL LETTER V"
"B",24,"U+0042","LATIN CAPITAL LETTER B"
"ß",24,"U+00DF","LATIN SMALL LETTER SHARP S"
"W",23,"U+0057","LATIN CAPITAL LETTER W"
"N",19,"U+004E","LATIN CAPITAL LETTER N"
"1",17,"U+0031","DIGIT ONE"
"L",16,"U+004C","LATIN CAPITAL LETTER L"
"2",15,"U+0032","DIGIT TWO"
"D",13,"U+0044","LATIN CAPITAL LETTER D"
"H",13,"U+0048","LATIN CAPITAL LETTER H"
"U",12,"U+0055","LATIN CAPITAL LETTER U"
"P",11,"U+0050","LATIN CAPITAL LETTER P"
"K",9,"U+004B","LATIN CAPITAL LETTER K"
"Z",9,"U+005A","LATIN CAPITAL LETTER Z"
"I",8,"U+0049","LATIN CAPITAL LETTER I"
"j",6,"U+006A","LATIN SMALL LETTER J"
"T",5,"U+0054","LATIN CAPITAL LETTER T"
"-",4,"U+002D","HYPHEN-MINUS"
";",4,"U+003B","SEMICOLON"
"0",4,"U+0030","DIGIT ZERO"
"3",4,"U+0033","DIGIT THREE"
"4",4,"U+0034","DIGIT FOUR"
"7",4,"U+0037","DIGIT SEVEN"
"8",4,"U+0038","DIGIT EIGHT"
"9",4,"U+0039","DIGIT NINE"
"O",4,"U+004F","LATIN CAPITAL LETTER O"
"5",3,"U+0035","DIGIT FIVE"
"6",3,"U+0036","DIGIT SIX"
"Ü",2,"U+00DC","LATIN CAPITAL LETTER U WITH DIAERESIS"
"y",2,"U+0079","LATIN SMALL LETTER Y"
"(",1,"U+0028","LEFT PARENTHESIS"
")",1,"U+0029","RIGHT PARENTHESIS"
"Ä",1,"U+00C4","LATIN CAPITAL LETTER A WITH DIAERESIS"
"C",1,"U+0043","LATIN CAPITAL LETTER C"
"x",1,"U+0078","LATIN SMALL LETTER X"
