"Grapheme","Frequency","Codepoint","UnicodeName"
"α",2355575,"U+03B1","GREEK SMALL LETTER ALPHA"
"ο",1916213,"U+03BF","GREEK SMALL LETTER OMICRON"
"ν",1915975,"U+03BD","GREEK SMALL LETTER NU"
"τ",1877525,"U+03C4","GREEK SMALL LETTER TAU"
"ε",1638417,"U+03B5","GREEK SMALL LETTER EPSILON"
"ι",1524029,"U+03B9","GREEK SMALL LETTER IOTA"
"ρ",957945,"U+03C1","GREEK SMALL LETTER RHO"
"ς",938166,"U+03C2","GREEK SMALL LETTER FINAL SIGMA"
"κ",847643,"U+03BA","GREEK SMALL LETTER KAPPA"
"σ",845260,"U+03C3","GREEK SMALL LETTER SIGMA"
"π",822876,"U+03C0","GREEK SMALL LETTER PI"
"υ",803487,"U+03C5","GREEK SMALL LETTER UPSILON"
"μ",745782,"U+03BC","GREEK SMALL LETTER MU"
"η",733837,"U+03B7","GREEK SMALL LETTER ETA"
"λ",713175,"U+03BB","GREEK SMALL LETTER LAMDA"
"ί",604048,"U+03AF","GREEK SMALL LETTER IOTA WITH TONOS"
"ά",597426,"U+03AC","GREEK SMALL LETTER ALPHA WITH TONOS"
"ό",517695,"U+03CC","GREEK SMALL LETTER OMICRON WITH TONOS"
"έ",442073,"U+03AD","GREEK SMALL LETTER EPSILON WITH TONOS"
"δ",416686,"U+03B4","GREEK SMALL LETTER DELTA"
"ω",414919,"U+03C9","GREEK SMALL LETTER OMEGA"
",",399474,"U+002C","COMMA"
"γ",347372,"U+03B3","GREEK SMALL LETTER GAMMA"
"ύ",321046,"U+03CD","GREEK SMALL LETTER UPSILON WITH TONOS"
"ή",309931,"U+03AE","GREEK SMALL LETTER ETA WITH TONOS"
"θ",298263,"U+03B8","GREEK SMALL LETTER THETA"
".",283180,"U+002E","FULL STOP"
"χ",256646,"U+03C7","GREEK SMALL LETTER CHI"
"φ",212066,"U+03C6","GREEK SMALL LETTER PHI"
"ώ",205001,"U+03CE","GREEK SMALL LETTER OMEGA WITH TONOS"
"β",153409,"U+03B2","GREEK SMALL LETTER BETA"
"'",106358,"U+0027","APOSTROPHE"
"ξ",100776,"U+03BE","GREEK SMALL LETTER XI"
"ζ",86168,"U+03B6","GREEK SMALL LETTER ZETA"
"Α",74200,"U+0391","GREEK CAPITAL LETTER ALPHA"
"Κ",61466,"U+039A","GREEK CAPITAL LETTER KAPPA"
"Ε",52337,"U+0395","GREEK CAPITAL LETTER EPSILON"
"Τ",50351,"U+03A4","GREEK CAPITAL LETTER TAU"
"Σ",43847,"U+03A3","GREEK CAPITAL LETTER SIGMA"
"Ο",42183,"U+039F","GREEK CAPITAL LETTER OMICRON"
"Π",40281,"U+03A0","GREEK CAPITAL LETTER PI"
"Μ",40015,"U+039C","GREEK CAPITAL LETTER MU"
"ψ",38858,"U+03C8","GREEK SMALL LETTER PSI"
"—",35245,"U+2014","EM DASH"
"·",33545,"U+00B7","MIDDLE DOT"
"Δ",30030,"U+0394","GREEK CAPITAL LETTER DELTA"
";",29398,"U+003B","SEMICOLON"
"!",25117,"U+0021","EXCLAMATION MARK"
"Η",21563,"U+0397","GREEK CAPITAL LETTER ETA"
