"Grapheme","Frequency","Codepoint","UnicodeName"
"a",124465,"U+0061","LATIN SMALL LETTER A"
"i",95607,"U+0069","LATIN SMALL LETTER I"
"u",71071,"U+0075","LATIN SMALL LETTER U"
"n",57535,"U+006E","LATIN SMALL LETTER N"
"t",54795,"U+0074","LATIN SMALL LETTER T"
"s",53848,"U+0073","LATIN SMALL LETTER S"
"l",44703,"U+006C","LATIN SMALL LETTER L"
"r",35921,"U+0072","LATIN SMALL LETTER R"
"m",25475,"U+006D","LATIN SMALL LETTER M"
"q",24506,"U+0071","LATIN SMALL LETTER Q"
"g",21155,"U+0067","LATIN SMALL LETTER G"
"k",20023,"U+006B","LATIN SMALL LETTER K"
"e",18242,"U+0065","LATIN SMALL LETTER E"
"p",18177,"U+0070","LATIN SMALL LETTER P"
"o",15463,"U+006F","LATIN SMALL LETTER O"
".",5751,"U+002E","FULL STOP"
",",4941,"U+002C","COMMA"
"v",4301,"U+0076","LATIN SMALL LETTER V"
"f",4034,"U+0066","LATIN SMALL LETTER F"
"j",3000,"U+006A","LATIN SMALL LETTER J"
"""",2809,"U+0022","QUOTATION MARK"
":",2033,"U+003A","COLON"
"T",2026,"U+0054","LATIN CAPITAL LETTER T"
"A",1706,"U+0041","LATIN CAPITAL LETTER A"
"J",1585,"U+004A","LATIN CAPITAL LETTER J"
"I",1460,"U+0049","LATIN CAPITAL LETTER I"
"G",1353,"U+0047","LATIN CAPITAL LETTER G"
"N",1104,"U+004E","LATIN CAPITAL LETTER N"
"K",880,"U+004B","LATIN CAPITAL LETTER K"
"S",785,"U+0053","LATIN CAPITAL LETTER S"
"-",748,"U+002D","HYPHEN-MINUS"
";",699,"U+003B","SEMICOLON"
"?",697,"U+003F","QUESTION MARK"
"P",661,"U+0050","LATIN CAPITAL LETTER P"
"U",597,"U+0055","LATIN CAPITAL LETTER U"
"!",566,"U+0021","EXCLAMATION MARK"
"E",445,"U+0045","LATIN CAPITAL LETTER E"
"Q",420,"U+0051","LATIN CAPITAL LETTER Q"
"M",419,"U+004D","LATIN CAPITAL LETTER M"
"d",350,"U+0064","LATIN SMALL LETTER D"
"b",309,"U+0062","LATIN SMALL LETTER B"
"h",274,"U+0068","LATIN SMALL LETTER H"
"O",240,"U+004F","LATIN CAPITAL LETTER O"
"æ",178,"U+00E6","LATIN SMALL LETTER AE"
"y",168,"U+0079","LATIN SMALL LETTER Y"
"0",160,"U+0030","DIGIT ZERO"
"D",121,"U+0044","LATIN CAPITAL LETTER D"
"B",105,"U+0042","LATIN CAPITAL LETTER B"
"F",83,"U+0046","LATIN CAPITAL LETTER F"
"z",69,"U+007A","LATIN SMALL LETTER Z"
"H",60,"U+0048","LATIN CAPITAL LETTER H"
"L",44,"U+004C","LATIN CAPITAL LETTER L"
"4",41,"U+0034","DIGIT FOUR"
"R",41,"U+0052","LATIN CAPITAL LETTER R"
"1",35,"U+0031","DIGIT ONE"
"Z",35,"U+005A","LATIN CAPITAL LETTER Z"
"ø",23,"U+00F8","LATIN SMALL LETTER O WITH STROKE"
"C",21,"U+0043","LATIN CAPITAL LETTER C"
"2",15,"U+0032","DIGIT TWO"
"3",14,"U+0033","DIGIT THREE"
"5",13,"U+0035","DIGIT FIVE"
"6",11,"U+0036","DIGIT SIX"
"'",10,"U+0027","APOSTROPHE"
"V",10,"U+0056","LATIN CAPITAL LETTER V"
"x",9,"U+0078","LATIN SMALL LETTER X"
"9",8,"U+0039","DIGIT NINE"
"7",5,"U+0037","DIGIT SEVEN"
"á",4,"U+00E1","LATIN SMALL LETTER A WITH ACUTE"
"í",4,"U+00ED","LATIN SMALL LETTER I WITH ACUTE"
"8",2,"U+0038","DIGIT EIGHT"
"c",2,"U+0063","LATIN SMALL LETTER C"
