"Grapheme","Frequency","Codepoint","UnicodeName"
"a",98600,"U+0061","LATIN SMALL LETTER A"
"e",94115,"U+0065","LATIN SMALL LETTER E"
"o",52563,"U+006F","LATIN SMALL LETTER O"
"u",46870,"U+0075","LATIN SMALL LETTER U"
"p",45934,"U+0070","LATIN SMALL LETTER P"
"h",43482,"U+0068","LATIN SMALL LETTER H"
"i",42894,"U+0069","LATIN SMALL LETTER I"
"r",38009,"U+0072","LATIN SMALL LETTER R"
"v",27237,"U+0076","LATIN SMALL LETTER V"
"m",26953,"U+006D","LATIN SMALL LETTER M"
"k",23595,"U+006B","LATIN SMALL LETTER K"
"'",19778,"U+0027","APOSTROPHE"
"n",19464,"U+006E","LATIN SMALL LETTER N"
"t",18801,"U+0074","LATIN SMALL LETTER T"
"y",15068,"U+0079","LATIN SMALL LETTER Y"
"g",14951,"U+0067","LATIN SMALL LETTER G"
"é",14357,"U+00E9","LATIN SMALL LETTER E WITH ACUTE"
",",12959,"U+002C","COMMA"
"j",12129,"U+006A","LATIN SMALL LETTER J"
"s",11781,"U+0073","LATIN SMALL LETTER S"
"ã",11666,"U+00E3","LATIN SMALL LETTER A WITH TILDE"
"á",11447,"U+00E1","LATIN SMALL LETTER A WITH ACUTE"
"b",11076,"U+0062","LATIN SMALL LETTER B"
"c",10730,"U+0063","LATIN SMALL LETTER C"
".",10460,"U+002E","FULL STOP"
"d",10092,"U+0064","LATIN SMALL LETTER D"
"ñ",7768,"U+00F1","LATIN SMALL LETTER N WITH TILDE"
"ẽ",6027,"U+1EBD","LATIN SMALL LETTER E WITH TILDE"
"ó",4124,"U+00F3","LATIN SMALL LETTER O WITH ACUTE"
"ú",3914,"U+00FA","LATIN SMALL LETTER U WITH ACUTE"
"ĩ",3531,"U+0129","LATIN SMALL LETTER I WITH TILDE"
"í",3439,"U+00ED","LATIN SMALL LETTER I WITH ACUTE"
"T",2988,"U+0054","LATIN CAPITAL LETTER T"
"J",2840,"U+004A","LATIN CAPITAL LETTER J"
"H",2503,"U+0048","LATIN CAPITAL LETTER H"
"P",2337,"U+0050","LATIN CAPITAL LETTER P"
":",2258,"U+003A","COLON"
"ý",2188,"U+00FD","LATIN SMALL LETTER Y WITH ACUTE"
"õ",2039,"U+00F5","LATIN SMALL LETTER O WITH TILDE"
"U",1988,"U+0055","LATIN CAPITAL LETTER U"
"l",1749,"U+006C","LATIN SMALL LETTER L"
"O",1551,"U+004F","LATIN CAPITAL LETTER O"
"ỹ",1405,"U+1EF9","LATIN SMALL LETTER Y WITH TILDE"
"-",1358,"U+002D","HYPHEN-MINUS"
"A",1306,"U+0041","LATIN CAPITAL LETTER A"
"C",1167,"U+0043","LATIN CAPITAL LETTER C"
"M",1045,"U+004D","LATIN CAPITAL LETTER M"
"Ñ",970,"U+00D1","LATIN CAPITAL LETTER N WITH TILDE"
"?",824,"U+003F","QUESTION MARK"
"E",694,"U+0045","LATIN CAPITAL LETTER E"
"”",666,"U+201D","RIGHT DOUBLE QUOTATION MARK"
"“",664,"U+201C","LEFT DOUBLE QUOTATION MARK"
"N",664,"U+004E","LATIN CAPITAL LETTER N"
"ũ",655,"U+0169","LATIN SMALL LETTER U WITH TILDE"
"—",636,"U+2014","EM DASH"
"I",552,"U+0049","LATIN CAPITAL LETTER I"
"R",542,"U+0052","LATIN CAPITAL LETTER R"
"K",514,"U+004B","LATIN CAPITAL LETTER K"
"S",509,"U+0053","LATIN CAPITAL LETTER S"
"0",304,"U+0030","DIGIT ZERO"
"!",268,"U+0021","EXCLAMATION MARK"
"f",227,"U+0066","LATIN SMALL LETTER F"
"‘",208,"U+2018","LEFT SINGLE QUOTATION MARK"
"’",185,"U+2019","RIGHT SINGLE QUOTATION MARK"
"1",159,"U+0031","DIGIT ONE"
"B",155,"U+0042","LATIN CAPITAL LETTER B"
"G",141,"U+0047","LATIN CAPITAL LETTER G"
";",127,"U+003B","SEMICOLON"
"D",105,"U+0044","LATIN CAPITAL LETTER D"
"2",104,"U+0032","DIGIT TWO"
"F",104,"U+0046","LATIN CAPITAL LETTER F"
"7",103,"U+0037","DIGIT SEVEN"
"z",84,"U+007A","LATIN SMALL LETTER Z"
"L",78,"U+004C","LATIN CAPITAL LETTER L"
"q",75,"U+0071","LATIN SMALL LETTER Q"
"5",65,"U+0035","DIGIT FIVE"
"Y",63,"U+0059","LATIN CAPITAL LETTER Y"
"Á",55,"U+00C1","LATIN CAPITAL LETTER A WITH ACUTE"
"4",48,"U+0034","DIGIT FOUR"
"Z",46,"U+005A","LATIN CAPITAL LETTER Z"
"6",31,"U+0036","DIGIT SIX"
"(",25,"U+0028","LEFT PARENTHESIS"
")",25,"U+0029","RIGHT PARENTHESIS"
"É",21,"U+00C9","LATIN CAPITAL LETTER E WITH ACUTE"
"3",19,"U+0033","DIGIT THREE"
"8",18,"U+0038","DIGIT EIGHT"
"x",13,"U+0078","LATIN SMALL LETTER X"
"9",12,"U+0039","DIGIT NINE"
"V",10,"U+0056","LATIN CAPITAL LETTER V"
"Ó",3,"U+00D3","LATIN CAPITAL LETTER O WITH ACUTE"
"Q",3,"U+0051","LATIN CAPITAL LETTER Q"
"Ỹ",2,"U+1EF8","LATIN CAPITAL LETTER Y WITH TILDE"
"…",1,"U+2026","HORIZONTAL ELLIPSIS"
"Ã",1,"U+00C3","LATIN CAPITAL LETTER A WITH TILDE"
