"Grapheme","Frequency","Codepoint","UnicodeName"
"e",940,"U+0065","LATIN SMALL LETTER E"
"a",929,"U+0061","LATIN SMALL LETTER A"
"o",639,"U+006F","LATIN SMALL LETTER O"
"i",467,"U+0069","LATIN SMALL LETTER I"
"r",460,"U+0072","LATIN SMALL LETTER R"
"h",359,"U+0068","LATIN SMALL LETTER H"
"p",331,"U+0070","LATIN SMALL LETTER P"
"u",320,"U+0075","LATIN SMALL LETTER U"
"t",319,"U+0074","LATIN SMALL LETTER T"
"v",294,"U+0076","LATIN SMALL LETTER V"
"m",214,"U+006D","LATIN SMALL LETTER M"
"c",199,"U+0063","LATIN SMALL LETTER C"
"k",197,"U+006B","LATIN SMALL LETTER K"
"n",191,"U+006E","LATIN SMALL LETTER N"
"y",182,"U+0079","LATIN SMALL LETTER Y"
"g",174,"U+0067","LATIN SMALL LETTER G"
"d",173,"U+0064","LATIN SMALL LETTER D"
"ʼ",119,"U+02BC","MODIFIER LETTER APOSTROPHE"
",",117,"U+002C","COMMA"
"ã",113,"U+00E3","LATIN SMALL LETTER A WITH TILDE"
"é",113,"U+00E9","LATIN SMALL LETTER E WITH ACUTE"
".",100,"U+002E","FULL STOP"
"j",100,"U+006A","LATIN SMALL LETTER J"
"b",94,"U+0062","LATIN SMALL LETTER B"
"ó",90,"U+00F3","LATIN SMALL LETTER O WITH ACUTE"
"l",84,"U+006C","LATIN SMALL LETTER L"
"ñ",84,"U+00F1","LATIN SMALL LETTER N WITH TILDE"
"s",79,"U+0073","LATIN SMALL LETTER S"
"á",78,"U+00E1","LATIN SMALL LETTER A WITH ACUTE"
"A",46,"U+0041","LATIN CAPITAL LETTER A"
"M",38,"U+004D","LATIN CAPITAL LETTER M"
"ú",21,"U+00FA","LATIN SMALL LETTER U WITH ACUTE"
"ĩ",20,"U+0129","LATIN SMALL LETTER I WITH TILDE"
"ẽ",19,"U+1EBD","LATIN SMALL LETTER E WITH TILDE"
"1",14,"U+0031","DIGIT ONE"
"2",13,"U+0032","DIGIT TWO"
"õ",12,"U+00F5","LATIN SMALL LETTER O WITH TILDE"
";",10,"U+003B","SEMICOLON"
"K",9,"U+004B","LATIN CAPITAL LETTER K"
"O",8,"U+004F","LATIN CAPITAL LETTER O"
"U",8,"U+0055","LATIN CAPITAL LETTER U"
"E",7,"U+0045","LATIN CAPITAL LETTER E"
"í",7,"U+00ED","LATIN SMALL LETTER I WITH ACUTE"
"N",7,"U+004E","LATIN CAPITAL LETTER N"
"P",7,"U+0050","LATIN CAPITAL LETTER P"
"D",6,"U+0044","LATIN CAPITAL LETTER D"
"f",6,"U+0066","LATIN SMALL LETTER F"
"ũ",5,"U+0169","LATIN SMALL LETTER U WITH TILDE"
"3",4,"U+0033","DIGIT THREE"
"H",4,"U+0048","LATIN CAPITAL LETTER H"
"Y",4,"U+0059","LATIN CAPITAL LETTER Y"
"z",4,"U+007A","LATIN SMALL LETTER Z"
"0",3,"U+0030","DIGIT ZERO"
"4",3,"U+0034","DIGIT FOUR"
"5",3,"U+0035","DIGIT FIVE"
"6",3,"U+0036","DIGIT SIX"
"7",3,"U+0037","DIGIT SEVEN"
"8",3,"U+0038","DIGIT EIGHT"
"9",3,"U+0039","DIGIT NINE"
"R",3,"U+0052","LATIN CAPITAL LETTER R"
"V",3,"U+0056","LATIN CAPITAL LETTER V"
"-",2,"U+002D","HYPHEN-MINUS"
":",2,"U+003A","COLON"
"S",2,"U+0053","LATIN CAPITAL LETTER S"
"(",1,"U+0028","LEFT PARENTHESIS"
")",1,"U+0029","RIGHT PARENTHESIS"
"[",1,"U+005B","LEFT SQUARE BRACKET"
"]",1,"U+005D","RIGHT SQUARE BRACKET"
"C",1,"U+0043","LATIN CAPITAL LETTER C"
"è",1,"U+00E8","LATIN SMALL LETTER E WITH GRAVE"
"F",1,"U+0046","LATIN CAPITAL LETTER F"
"I",1,"U+0049","LATIN CAPITAL LETTER I"
"Ĩ",1,"U+0128","LATIN CAPITAL LETTER I WITH TILDE"
"L",1,"U+004C","LATIN CAPITAL LETTER L"
"T",1,"U+0054","LATIN CAPITAL LETTER T"
