"Grapheme","Frequency","Codepoint","UnicodeName"
"a",187248,"U+0061","LATIN SMALL LETTER A"
"n",57075,"U+006E","LATIN SMALL LETTER N"
"i",56386,"U+0069","LATIN SMALL LETTER I"
"u",48488,"U+0075","LATIN SMALL LETTER U"
"k",39895,"U+006B","LATIN SMALL LETTER K"
"s",33574,"U+0073","LATIN SMALL LETTER S"
"m",28073,"U+006D","LATIN SMALL LETTER M"
"y",25240,"U+0079","LATIN SMALL LETTER Y"
"d",23835,"U+0064","LATIN SMALL LETTER D"
"r",23733,"U+0072","LATIN SMALL LETTER R"
",",20824,"U+002C","COMMA"
"e",19669,"U+0065","LATIN SMALL LETTER E"
"t",17011,"U+0074","LATIN SMALL LETTER T"
"b",16718,"U+0062","LATIN SMALL LETTER B"
"w",15910,"U+0077","LATIN SMALL LETTER W"
"h",14683,"U+0068","LATIN SMALL LETTER H"
"o",11716,"U+006F","LATIN SMALL LETTER O"
"l",10956,"U+006C","LATIN SMALL LETTER L"
"g",10595,"U+0067","LATIN SMALL LETTER G"
"c",8209,"U+0063","LATIN SMALL LETTER C"
".",8169,"U+002E","FULL STOP"
"z",6077,"U+007A","LATIN SMALL LETTER Z"
"f",5720,"U+0066","LATIN SMALL LETTER F"
"ɗ",4462,"U+0257","LATIN SMALL LETTER D WITH HOOK"
"j",4331,"U+006A","LATIN SMALL LETTER J"
"A",4272,"U+0041","LATIN CAPITAL LETTER A"
"ƙ",4056,"U+0199","LATIN SMALL LETTER K WITH HOOK"
"'",3664,"U+0027","APOSTROPHE"
"S",2785,"U+0053","LATIN CAPITAL LETTER S"
"Y",2399,"U+0059","LATIN CAPITAL LETTER Y"
"“",1972,"U+201C","LEFT DOUBLE QUOTATION MARK"
"”",1883,"U+201D","RIGHT DOUBLE QUOTATION MARK"
"D",1680,"U+0044","LATIN CAPITAL LETTER D"
"K",1525,"U+004B","LATIN CAPITAL LETTER K"
"M",1364,"U+004D","LATIN CAPITAL LETTER M"
"B",1206,"U+0042","LATIN CAPITAL LETTER B"
"U",1095,"U+0055","LATIN CAPITAL LETTER U"
"ɓ",1040,"U+0253","LATIN SMALL LETTER B WITH HOOK"
"?",1029,"U+003F","QUESTION MARK"
"I",895,"U+0049","LATIN CAPITAL LETTER I"
"T",874,"U+0054","LATIN CAPITAL LETTER T"
"ā",819,"U+0101","LATIN SMALL LETTER A WITH MACRON"
"W",637,"U+0057","LATIN CAPITAL LETTER W"
"H",581,"U+0048","LATIN CAPITAL LETTER H"
"!",490,"U+0021","EXCLAMATION MARK"
"N",478,"U+004E","LATIN CAPITAL LETTER N"
"G",405,"U+0047","LATIN CAPITAL LETTER G"
"R",405,"U+0052","LATIN CAPITAL LETTER R"
"‘",372,"U+2018","LEFT SINGLE QUOTATION MARK"
"’",365,"U+2019","RIGHT SINGLE QUOTATION MARK"
"Ɗ",301,"U+018A","LATIN CAPITAL LETTER D WITH HOOK"
"ă",270,"U+0103","LATIN SMALL LETTER A WITH BREVE"
"Z",245,"U+005A","LATIN CAPITAL LETTER Z"
"F",221,"U+0046","LATIN CAPITAL LETTER F"
"L",211,"U+004C","LATIN CAPITAL LETTER L"
"Ƙ",89,"U+0198","LATIN CAPITAL LETTER K WITH HOOK"
"-",85,"U+002D","HYPHEN-MINUS"
"(",51,"U+0028","LEFT PARENTHESIS"
")",51,"U+0029","RIGHT PARENTHESIS"
"J",40,"U+004A","LATIN CAPITAL LETTER J"
"C",32,"U+0043","LATIN CAPITAL LETTER C"
"E",21,"U+0045","LATIN CAPITAL LETTER E"
"[",17,"U+005B","LEFT SQUARE BRACKET"
"]",17,"U+005D","RIGHT SQUARE BRACKET"
"0",10,"U+0030","DIGIT ZERO"
"4",10,"U+0034","DIGIT FOUR"
"O",9,"U+004F","LATIN CAPITAL LETTER O"
"1",4,"U+0031","DIGIT ONE"
";",3,"U+003B","SEMICOLON"
"Ɓ",2,"U+0181","LATIN CAPITAL LETTER B WITH HOOK"
":",1,"U+003A","COLON"
