"Grapheme","Frequency","Codepoint","UnicodeName"
"a",6426,"U+0061","LATIN SMALL LETTER A"
"n",2136,"U+006E","LATIN SMALL LETTER N"
"i",2014,"U+0069","LATIN SMALL LETTER I"
"k",1396,"U+006B","LATIN SMALL LETTER K"
"d",1144,"U+0064","LATIN SMALL LETTER D"
"u",1028,"U+0075","LATIN SMALL LETTER U"
"s",890,"U+0073","LATIN SMALL LETTER S"
"m",886,"U+006D","LATIN SMALL LETTER M"
"y",808,"U+0079","LATIN SMALL LETTER Y"
"t",650,"U+0074","LATIN SMALL LETTER T"
"r",614,"U+0072","LATIN SMALL LETTER R"
"w",602,"U+0077","LATIN SMALL LETTER W"
"o",558,"U+006F","LATIN SMALL LETTER O"
"h",510,"U+0068","LATIN SMALL LETTER H"
"b",480,"U+0062","LATIN SMALL LETTER B"
"e",434,"U+0065","LATIN SMALL LETTER E"
"c",336,"U+0063","LATIN SMALL LETTER C"
"l",272,"U+006C","LATIN SMALL LETTER L"
",",262,"U+002C","COMMA"
"ƙ",208,"U+0199","LATIN SMALL LETTER K WITH HOOK"
"g",200,"U+0067","LATIN SMALL LETTER G"
"z",170,"U+007A","LATIN SMALL LETTER Z"
"ɗ",164,"U+0257","LATIN SMALL LETTER D WITH HOOK"
"f",150,"U+0066","LATIN SMALL LETTER F"
".",132,"U+002E","FULL STOP"
"j",118,"U+006A","LATIN SMALL LETTER J"
"'",106,"U+0027","APOSTROPHE"
"M",80,"U+004D","LATIN CAPITAL LETTER M"
"(",62,"U+0028","LEFT PARENTHESIS"
")",62,"U+0029","RIGHT PARENTHESIS"
"K",56,"U+004B","LATIN CAPITAL LETTER K"
"-",45,"U+002D","HYPHEN-MINUS"
"‐",45,"U+2010","HYPHEN"
"‘",44,"U+2018","LEFT SINGLE QUOTATION MARK"
"ƴ",44,"U+01B4","LATIN SMALL LETTER Y WITH HOOK"
"1",28,"U+0031","DIGIT ONE"
"2",26,"U+0032","DIGIT TWO"
"B",26,"U+0042","LATIN CAPITAL LETTER B"
"D",22,"U+0044","LATIN CAPITAL LETTER D"
"G",20,"U+0047","LATIN CAPITAL LETTER G"
"ɓ",16,"U+0253","LATIN SMALL LETTER B WITH HOOK"
"Ɗ",16,"U+018A","LATIN CAPITAL LETTER D WITH HOOK"
":",12,"U+003A","COLON"
"Y",10,"U+0059","LATIN CAPITAL LETTER Y"
"3",8,"U+0033","DIGIT THREE"
"4",8,"U+0034","DIGIT FOUR"
"8",8,"U+0038","DIGIT EIGHT"
"9",8,"U+0039","DIGIT NINE"
";",6,"U+003B","SEMICOLON"
"0",6,"U+0030","DIGIT ZERO"
"5",6,"U+0035","DIGIT FIVE"
"6",6,"U+0036","DIGIT SIX"
"7",6,"U+0037","DIGIT SEVEN"
"A",6,"U+0041","LATIN CAPITAL LETTER A"
"H",6,"U+0048","LATIN CAPITAL LETTER H"
"S",6,"U+0053","LATIN CAPITAL LETTER S"
"’",4,"U+2019","RIGHT SINGLE QUOTATION MARK"
"I",4,"U+0049","LATIN CAPITAL LETTER I"
"T",4,"U+0054","LATIN CAPITAL LETTER T"
"J",2,"U+004A","LATIN CAPITAL LETTER J"
"Ƴ",2,"U+01B3","LATIN CAPITAL LETTER Y WITH HOOK"
