"Grapheme","Frequency","Codepoint","UnicodeName"
"ו",49267,"U+05D5","HEBREW LETTER VAV"
"י",48397,"U+05D9","HEBREW LETTER YOD"
"ה",42170,"U+05D4","HEBREW LETTER HE"
"ל",32381,"U+05DC","HEBREW LETTER LAMED"
"א",31698,"U+05D0","HEBREW LETTER ALEF"
"ר",25503,"U+05E8","HEBREW LETTER RESH"
"ב",23979,"U+05D1","HEBREW LETTER BET"
"ת",23492,"U+05EA","HEBREW LETTER TAV"
"מ",22841,"U+05DE","HEBREW LETTER MEM"
"ש",20649,"U+05E9","HEBREW LETTER SHIN"
"ע",16744,"U+05E2","HEBREW LETTER AYIN"
"נ",14988,"U+05E0","HEBREW LETTER NUN"
"כ",14318,"U+05DB","HEBREW LETTER KAF"
"ם",13667,"U+05DD","HEBREW LETTER FINAL MEM"
"ד",12460,"U+05D3","HEBREW LETTER DALET"
"ח",11676,"U+05D7","HEBREW LETTER HET"
"פ",8213,"U+05E4","HEBREW LETTER PE"
".",8207,"U+002E","FULL STOP"
"ק",8139,"U+05E7","HEBREW LETTER QOF"
"ן",6997,"U+05DF","HEBREW LETTER FINAL NUN"
",",6795,"U+002C","COMMA"
"צ",5531,"U+05E6","HEBREW LETTER TSADI"
"ז",5511,"U+05D6","HEBREW LETTER ZAYIN"
"ג",5275,"U+05D2","HEBREW LETTER GIMEL"
"""",4646,"U+0022","QUOTATION MARK"
"ס",4515,"U+05E1","HEBREW LETTER SAMEKH"
"ט",4014,"U+05D8","HEBREW LETTER TET"
"ך",3200,"U+05DA","HEBREW LETTER FINAL KAF"
"ף",1239,"U+05E3","HEBREW LETTER FINAL PE"
"!",1220,"U+0021","EXCLAMATION MARK"
"ץ",1152,"U+05E5","HEBREW LETTER FINAL TSADI"
"׳",1036,"U+05F3","HEBREW PUNCTUATION GERESH"
"—",1016,"U+2014","EM DASH"
"?",831,"U+003F","QUESTION MARK"
"״",709,"U+05F4","HEBREW PUNCTUATION GERSHAYIM"
";",562,"U+003B","SEMICOLON"
"-",482,"U+002D","HYPHEN-MINUS"
":",354,"U+003A","COLON"
"…",258,"U+2026","HORIZONTAL ELLIPSIS"
"e",222,"U+0065","LATIN SMALL LETTER E"
"'",197,"U+0027","APOSTROPHE"
"a",127,"U+0061","LATIN SMALL LETTER A"
"n",124,"U+006E","LATIN SMALL LETTER N"
"r",124,"U+0072","LATIN SMALL LETTER R"
" ",118,"U+00A0","NO-BREAK SPACE"
"„",117,"U+201E","DOUBLE LOW-9 QUOTATION MARK"
"[",112,"U+005B","LEFT SQUARE BRACKET"
"]",112,"U+005D","RIGHT SQUARE BRACKET"
")",102,"U+0029","RIGHT PARENTHESIS"
"t",99,"U+0074","LATIN SMALL LETTER T"
"׃",93,"U+05C3","HEBREW PUNCTUATION SOF PASUQ"
"i",93,"U+0069","LATIN SMALL LETTER I"
"(",83,"U+0028","LEFT PARENTHESIS"
"l",83,"U+006C","LATIN SMALL LETTER L"
"1",82,"U+0031","DIGIT ONE"
"h",81,"U+0068","LATIN SMALL LETTER H"
"”",76,"U+201D","RIGHT DOUBLE QUOTATION MARK"
"וּ",74,"U+05D5, U+05BC","HEBREW LETTER VAV, HEBREW POINT DAGESH OR MAPIQ"
"s",72,"U+0073","LATIN SMALL LETTER S"
"d",64,"U+0064","LATIN SMALL LETTER D"
"o",64,"U+006F","LATIN SMALL LETTER O"
