"Grapheme","Frequency","Codepoint","UnicodeName"
"י",2157817,"U+05D9","HEBREW LETTER YOD"
"ו",1875829,"U+05D5","HEBREW LETTER VAV"
"ה",1785730,"U+05D4","HEBREW LETTER HE"
"א",1605348,"U+05D0","HEBREW LETTER ALEF"
"ל",1463967,"U+05DC","HEBREW LETTER LAMED"
"ת",1157724,"U+05EA","HEBREW LETTER TAV"
"ר",937717,"U+05E8","HEBREW LETTER RESH"
"ש",907526,"U+05E9","HEBREW LETTER SHIN"
"מ",890216,"U+05DE","HEBREW LETTER MEM"
".",845240,"U+002E","FULL STOP"
"ב",838861,"U+05D1","HEBREW LETTER BET"
"נ",711207,"U+05E0","HEBREW LETTER NUN"
"ע",533016,"U+05E2","HEBREW LETTER AYIN"
"כ",515584,"U+05DB","HEBREW LETTER KAF"
"ד",497302,"U+05D3","HEBREW LETTER DALET"
"ם",490369,"U+05DD","HEBREW LETTER FINAL MEM"
"ח",456452,"U+05D7","HEBREW LETTER HET"
",",377232,"U+002C","COMMA"
"ק",375083,"U+05E7","HEBREW LETTER QOF"
"ז",350009,"U+05D6","HEBREW LETTER ZAYIN"
"פ",289713,"U+05E4","HEBREW LETTER PE"
"ס",283453,"U+05E1","HEBREW LETTER SAMEKH"
"ן",262324,"U+05DF","HEBREW LETTER FINAL NUN"
"ג",230330,"U+05D2","HEBREW LETTER GIMEL"
"צ",226217,"U+05E6","HEBREW LETTER TSADI"
"ט",221191,"U+05D8","HEBREW LETTER TET"
"ך",207330,"U+05DA","HEBREW LETTER FINAL KAF"
"?",175906,"U+003F","QUESTION MARK"
"-",50819,"U+002D","HYPHEN-MINUS"
"""",49351,"U+0022","QUOTATION MARK"
"!",41283,"U+0021","EXCLAMATION MARK"
"ף",40605,"U+05E3","HEBREW LETTER FINAL PE"
"'",35603,"U+0027","APOSTROPHE"
"‫",22627,"U+202B","RIGHT-TO-LEFT EMBEDDING"
"ץ",17937,"U+05E5","HEBREW LETTER FINAL TSADI"
"0",16955,"U+0030","DIGIT ZERO"
"o",13046,"U+006F","LATIN SMALL LETTER O"
":",11955,"U+003A","COLON"
"e",11185,"U+0065","LATIN SMALL LETTER E"
"a",10215,"U+0061","LATIN SMALL LETTER A"
"r",10090,"U+0072","LATIN SMALL LETTER R"
"n",9131,"U+006E","LATIN SMALL LETTER N"
"l",8859,"U+006C","LATIN SMALL LETTER L"
"1",8315,"U+0031","DIGIT ONE"
"♪",8184,"U+266A","EIGHTH NOTE"
"f",8062,"U+0066","LATIN SMALL LETTER F"
"t",7274,"U+0074","LATIN SMALL LETTER T"
"i",7169,"U+0069","LATIN SMALL LETTER I"
"2",7074,"U+0032","DIGIT TWO"
"(",6409,"U+0028","LEFT PARENTHESIS"
")",6380,"U+0029","RIGHT PARENTHESIS"
"s",6073,"U+0073","LATIN SMALL LETTER S"
"[",5812,"U+005B","LEFT SQUARE BRACKET"
"]",5775,"U+005D","RIGHT SQUARE BRACKET"
"c",5462,"U+0063","LATIN SMALL LETTER C"
"u",5174,"U+0075","LATIN SMALL LETTER U"
"m",4463,"U+006D","LATIN SMALL LETTER M"
"h",3723,"U+0068","LATIN SMALL LETTER H"
"5",3595,"U+0035","DIGIT FIVE"
"d",3178,"U+0064","LATIN SMALL LETTER D"
"A",3098,"U+0041","LATIN CAPITAL LETTER A"
"3",3061,"U+0033","DIGIT THREE"
"4",3025,"U+0034","DIGIT FOUR"
"S",2792,"U+0053","LATIN CAPITAL LETTER S"
"8",2775,"U+0038","DIGIT EIGHT"
"F",2774,"U+0046","LATIN CAPITAL LETTER F"
"9",2756,"U+0039","DIGIT NINE"
"C",2593,"U+0043","LATIN CAPITAL LETTER C"
"6",2407,"U+0036","DIGIT SIX"
"#",2396,"U+0023","NUMBER SIGN"
"E",2269,"U+0045","LATIN CAPITAL LETTER E"
"g",2252,"U+0067","LATIN SMALL LETTER G"
"=",2207,"U+003D","EQUALS SIGN"
"I",2081,"U+0049","LATIN CAPITAL LETTER I"
"N",1982,"U+004E","LATIN CAPITAL LETTER N"
";",1974,"U+003B","SEMICOLON"
"p",1968,"U+0070","LATIN SMALL LETTER P"
"D",1967,"U+0044","LATIN CAPITAL LETTER D"
"7",1924,"U+0037","DIGIT SEVEN"
"M",1869,"U+004D","LATIN CAPITAL LETTER M"
"k",1867,"U+006B","LATIN SMALL LETTER K"
"y",1847,"U+0079","LATIN SMALL LETTER Y"
"T",1776,"U+0054","LATIN CAPITAL LETTER T"
"b",1766,"U+0062","LATIN SMALL LETTER B"
"כֵּ",1603,"U+05DB, U+05BC, U+05B5","HEBREW LETTER KAF, HEBREW POINT DAGESH OR MAPIQ, HEBREW POINT TSERE"
"L",1600,"U+004C","LATIN CAPITAL LETTER L"
"O",1591,"U+004F","LATIN CAPITAL LETTER O"
"G",1569,"U+0047","LATIN CAPITAL LETTER G"
"R",1560,"U+0052","LATIN CAPITAL LETTER R"
"וֹ",1554,"U+05D5, U+05B9","HEBREW LETTER VAV, HEBREW POINT HOLAM"
"\",1515,"U+005C","REVERSE SOLIDUS"
"B",1429,"U+0042","LATIN CAPITAL LETTER B"
"‏",1364,"U+200F","RIGHT-TO-LEFT MARK"
"P",1305,"U+0050","LATIN CAPITAL LETTER P"
"H",1203,"U+0048","LATIN CAPITAL LETTER H"
"v",1193,"U+0076","LATIN SMALL LETTER V"
"w",1162,"U+0077","LATIN SMALL LETTER W"
"_",1114,"U+005F","LOW LINE"
"וּ",837,"U+05D5, U+05BC","HEBREW LETTER VAV, HEBREW POINT DAGESH OR MAPIQ"
"W",765,"U+0057","LATIN CAPITAL LETTER W"
"+",705,"U+002B","PLUS SIGN"
"J",653,"U+004A","LATIN CAPITAL LETTER J"
"U",641,"U+0055","LATIN CAPITAL LETTER U"
"K",555,"U+004B","LATIN CAPITAL LETTER K"
"V",473,"U+0056","LATIN CAPITAL LETTER V"
"‬",462,"U+202C","POP DIRECTIONAL FORMATTING"
"z",462,"U+007A","LATIN SMALL LETTER Z"
"Y",456,"U+0059","LATIN CAPITAL LETTER Y"
"x",404,"U+0078","LATIN SMALL LETTER X"
"לְ",388,"U+05DC, U+05B0","HEBREW LETTER LAMED, HEBREW POINT SHEVA"
"$",368,"U+0024","DOLLAR SIGN"
"עַ",353,"U+05E2, U+05B7","HEBREW LETTER AYIN, HEBREW POINT PATAH"
"נִ",316,"U+05E0, U+05B4","HEBREW LETTER NUN, HEBREW POINT HIRIQ"
"j",304,"U+006A","LATIN SMALL LETTER J"
"שׁ",270,"U+05E9, U+05C1","HEBREW LETTER SHIN, HEBREW POINT SHIN DOT"
"חֲ",263,"U+05D7, U+05B2","HEBREW LETTER HET, HEBREW POINT HATAF PATAH"
"לִ",263,"U+05DC, U+05B4","HEBREW LETTER LAMED, HEBREW POINT HIRIQ"
"מָ",262,"U+05DE, U+05B8","HEBREW LETTER MEM, HEBREW POINT QAMATS"
"%",255,"U+0025","PERCENT SIGN"
