"Grapheme","Frequency","Codepoint","UnicodeName"
"a",786354,"U+0061","LATIN SMALL LETTER A"
"e",418342,"U+0065","LATIN SMALL LETTER E"
"h",273641,"U+0068","LATIN SMALL LETTER H"
"n",231170,"U+006E","LATIN SMALL LETTER N"
"k",199062,"U+006B","LATIN SMALL LETTER K"
"r",198795,"U+0072","LATIN SMALL LETTER R"
"र",180371,"U+0930","DEVANAGARI LETTER RA"
"o",163967,"U+006F","LATIN SMALL LETTER O"
"t",153374,"U+0074","LATIN SMALL LETTER T"
"s",148630,"U+0073","LATIN SMALL LETTER S"
"i",144420,"U+0069","LATIN SMALL LETTER I"
"u",137387,"U+0075","LATIN SMALL LETTER U"
",",122530,"U+002C","COMMA"
"m",94510,"U+006D","LATIN SMALL LETTER M"
"क",89571,"U+0915","DEVANAGARI LETTER KA"
"d",87186,"U+0064","LATIN SMALL LETTER D"
"y",78949,"U+0079","LATIN SMALL LETTER Y"
".",78578,"U+002E","FULL STOP"
"न",76615,"U+0928","DEVANAGARI LETTER NA"
"स",73449,"U+0938","DEVANAGARI LETTER SA"
"p",71517,"U+0070","LATIN SMALL LETTER P"
"प",68952,"U+092A","DEVANAGARI LETTER PA"
"b",67409,"U+0062","LATIN SMALL LETTER B"
"l",63620,"U+006C","LATIN SMALL LETTER L"
"ह",62311,"U+0939","DEVANAGARI LETTER HA"
"v",58340,"U+0076","LATIN SMALL LETTER V"
"के",56657,"U+0915, U+0947","DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN E"
"j",50228,"U+006A","LATIN SMALL LETTER J"
"ने",49626,"U+0928, U+0947","DEVANAGARI LETTER NA, DEVANAGARI VOWEL SIGN E"
"म",49222,"U+092E","DEVANAGARI LETTER MA"
"g",46727,"U+0067","LATIN SMALL LETTER G"
"उ",44839,"U+0909","DEVANAGARI LETTER U"
"औ",43949,"U+0914","DEVANAGARI LETTER AU"
"त",42467,"U+0924","DEVANAGARI LETTER TA"
"य",42365,"U+092F","DEVANAGARI LETTER YA"
"ब",41534,"U+092C","DEVANAGARI LETTER BA"
"या",40110,"U+092F, U+093E","DEVANAGARI LETTER YA, DEVANAGARI VOWEL SIGN AA"
"है",39852,"U+0939, U+0948","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN AI"
"।",39372,"U+0964","DEVANAGARI DANDA"
"ए",38799,"U+090F","DEVANAGARI LETTER E"
"से",36889,"U+0938, U+0947","DEVANAGARI LETTER SA, DEVANAGARI VOWEL SIGN E"
"अ",35467,"U+0905","DEVANAGARI LETTER A"
"ल",35206,"U+0932","DEVANAGARI LETTER LA"
"व",34847,"U+0935","DEVANAGARI LETTER VA"
