"Grapheme","Frequency","Codepoint","UnicodeName"
"र",379,"U+0930","DEVANAGARI LETTER RA"
"अ",174,"U+0905","DEVANAGARI LETTER A"
"स",174,"U+0938","DEVANAGARI LETTER SA"
"का",169,"U+0915, U+093E","DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN AA"
"क",146,"U+0915","DEVANAGARI LETTER KA"
"त",145,"U+0924","DEVANAGARI LETTER TA"
"य",139,"U+092F","DEVANAGARI LETTER YA"
"न",125,"U+0928","DEVANAGARI LETTER NA"
"प्",117,"U+092A, U+094D","DEVANAGARI LETTER PA, DEVANAGARI SIGN VIRAMA"
"के",108,"U+0915, U+0947","DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN E"
"व",104,"U+0935","DEVANAGARI LETTER VA"
"ति",90,"U+0924, U+093F","DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN I"
"या",90,"U+092F, U+093E","DEVANAGARI LETTER YA, DEVANAGARI VOWEL SIGN AA"
"प",89,"U+092A","DEVANAGARI LETTER PA"
"औ",87,"U+0914","DEVANAGARI LETTER AU"
"त्",87,"U+0924, U+094D","DEVANAGARI LETTER TA, DEVANAGARI SIGN VIRAMA"
"क्",86,"U+0915, U+094D","DEVANAGARI LETTER KA, DEVANAGARI SIGN VIRAMA"
",",83,"U+002C","COMMA"
"रा",83,"U+0930, U+093E","DEVANAGARI LETTER RA, DEVANAGARI VOWEL SIGN AA"
"।",74,"U+0964","DEVANAGARI DANDA"
"को",74,"U+0915, U+094B","DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN O"
"मा",74,"U+092E, U+093E","DEVANAGARI LETTER MA, DEVANAGARI VOWEL SIGN AA"
"न्",73,"U+0928, U+094D","DEVANAGARI LETTER NA, DEVANAGARI SIGN VIRAMA"
"स्",71,"U+0938, U+094D","DEVANAGARI LETTER SA, DEVANAGARI SIGN VIRAMA"
"कि",69,"U+0915, U+093F","DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN I"
"म",66,"U+092E","DEVANAGARI LETTER MA"
"धि",63,"U+0927, U+093F","DEVANAGARI LETTER DHA, DEVANAGARI VOWEL SIGN I"
"ने",62,"U+0928, U+0947","DEVANAGARI LETTER NA, DEVANAGARI VOWEL SIGN E"
"र्",62,"U+0930, U+094D","DEVANAGARI LETTER RA, DEVANAGARI SIGN VIRAMA"
"द",61,"U+0926","DEVANAGARI LETTER DA"
"है",60,"U+0939, U+0948","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN AI"
"की",59,"U+0915, U+0940","DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN II"
"ता",55,"U+0924, U+093E","DEVANAGARI LETTER TA, DEVANAGARI VOWEL SIGN AA"
"उ",54,"U+0909","DEVANAGARI LETTER U"
"वा",50,"U+0935, U+093E","DEVANAGARI LETTER VA, DEVANAGARI VOWEL SIGN AA"
"से",49,"U+0938, U+0947","DEVANAGARI LETTER SA, DEVANAGARI VOWEL SIGN E"
"व्",48,"U+0935, U+094D","DEVANAGARI LETTER VA, DEVANAGARI SIGN VIRAMA"
"ह",48,"U+0939","DEVANAGARI LETTER HA"
"ए",47,"U+090F","DEVANAGARI LETTER E"
"वि",45,"U+0935, U+093F","DEVANAGARI LETTER VA, DEVANAGARI VOWEL SIGN I"
"सी",44,"U+0938, U+0940","DEVANAGARI LETTER SA, DEVANAGARI VOWEL SIGN II"
"ना",43,"U+0928, U+093E","DEVANAGARI LETTER NA, DEVANAGARI VOWEL SIGN AA"
"में",43,"U+092E, U+0947, U+0902","DEVANAGARI LETTER MA, DEVANAGARI VOWEL SIGN E, DEVANAGARI SIGN ANUSVARA"
"च्",41,"U+091A, U+094D","DEVANAGARI LETTER CA, DEVANAGARI SIGN VIRAMA"
"नु",39,"U+0928, U+0941","DEVANAGARI LETTER NA, DEVANAGARI VOWEL SIGN U"
"ये",39,"U+092F, U+0947","DEVANAGARI LETTER YA, DEVANAGARI VOWEL SIGN E"
"द्",37,"U+0926, U+094D","DEVANAGARI LETTER DA, DEVANAGARI SIGN VIRAMA"
"हो",37,"U+0939, U+094B","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN O"
"जा",36,"U+091C, U+093E","DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN AA"
"आ",35,"U+0906","DEVANAGARI LETTER AA"
"नि",34,"U+0928, U+093F","DEVANAGARI LETTER NA, DEVANAGARI VOWEL SIGN I"
"भी",34,"U+092D, U+0940","DEVANAGARI LETTER BHA, DEVANAGARI VOWEL SIGN II"
"सा",34,"U+0938, U+093E","DEVANAGARI LETTER SA, DEVANAGARI VOWEL SIGN AA"
"इ",33,"U+0907","DEVANAGARI LETTER I"
"ब",33,"U+092C","DEVANAGARI LETTER BA"
"रों",33,"U+0930, U+094B, U+0902","DEVANAGARI LETTER RA, DEVANAGARI VOWEL SIGN O, DEVANAGARI SIGN ANUSVARA"
"ग",32,"U+0917","DEVANAGARI LETTER GA"
"ज",32,"U+091C","DEVANAGARI LETTER JA"
"छे",31,"U+091B, U+0947","DEVANAGARI LETTER CHA, DEVANAGARI VOWEL SIGN E"
".",30,"U+002E","FULL STOP"
"री",30,"U+0930, U+0940","DEVANAGARI LETTER RA, DEVANAGARI VOWEL SIGN II"
"गा",29,"U+0917, U+093E","DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN AA"
"दे",28,"U+0926, U+0947","DEVANAGARI LETTER DA, DEVANAGARI VOWEL SIGN E"
"ष्",28,"U+0937, U+094D","DEVANAGARI LETTER SSA, DEVANAGARI SIGN VIRAMA"
"ध",27,"U+0927","DEVANAGARI LETTER DHA"
"था",26,"U+0925, U+093E","DEVANAGARI LETTER THA, DEVANAGARI VOWEL SIGN AA"
"ण",25,"U+0923","DEVANAGARI LETTER NNA"
"भा",24,"U+092D, U+093E","DEVANAGARI LETTER BHA, DEVANAGARI VOWEL SIGN AA"
"ष",24,"U+0937","DEVANAGARI LETTER SSA"
"षा",23,"U+0937, U+093E","DEVANAGARI LETTER SSA, DEVANAGARI VOWEL SIGN AA"
"रि",22,"U+0930, U+093F","DEVANAGARI LETTER RA, DEVANAGARI VOWEL SIGN I"
"श्",22,"U+0936, U+094D","DEVANAGARI LETTER SHA, DEVANAGARI SIGN VIRAMA"
"जि",21,"U+091C, U+093F","DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN I"
"ट्",21,"U+091F, U+094D","DEVANAGARI LETTER TTA, DEVANAGARI SIGN VIRAMA"
"ल",20,"U+0932","DEVANAGARI LETTER LA"
"लि",20,"U+0932, U+093F","DEVANAGARI LETTER LA, DEVANAGARI VOWEL SIGN I"
"-",19,"U+002D","HYPHEN-MINUS"
"म्",19,"U+092E, U+094D","DEVANAGARI LETTER MA, DEVANAGARI SIGN VIRAMA"
"सं",19,"U+0938, U+0902","DEVANAGARI LETTER SA, DEVANAGARI SIGN ANUSVARA"
"ले",17,"U+0932, U+0947","DEVANAGARI LETTER LA, DEVANAGARI VOWEL SIGN E"
"श",17,"U+0936","DEVANAGARI LETTER SHA"
"ऐ",16,"U+0910","DEVANAGARI LETTER AI"
"ओं",16,"U+0913, U+0902","DEVANAGARI LETTER O, DEVANAGARI SIGN ANUSVARA"
"चा",16,"U+091A, U+093E","DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN AA"
"यों",16,"U+092F, U+094B, U+0902","DEVANAGARI LETTER YA, DEVANAGARI VOWEL SIGN O, DEVANAGARI SIGN ANUSVARA"
"१",15,"U+0967","DEVANAGARI DIGIT ONE"
"धा",15,"U+0927, U+093E","DEVANAGARI LETTER DHA, DEVANAGARI VOWEL SIGN AA"
"पा",15,"U+092A, U+093E","DEVANAGARI LETTER PA, DEVANAGARI VOWEL SIGN AA"
"रू",15,"U+0930, U+0942","DEVANAGARI LETTER RA, DEVANAGARI VOWEL SIGN UU"
"हि",15,"U+0939, U+093F","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN I"
"२",13,"U+0968","DEVANAGARI DIGIT TWO"
"घो",13,"U+0918, U+094B","DEVANAGARI LETTER GHA, DEVANAGARI VOWEL SIGN O"
"णा",13,"U+0923, U+093E","DEVANAGARI LETTER NNA, DEVANAGARI VOWEL SIGN AA"
"पू",13,"U+092A, U+0942","DEVANAGARI LETTER PA, DEVANAGARI VOWEL SIGN UU"
"ई",12,"U+0908","DEVANAGARI LETTER II"
"कृ",12,"U+0915, U+0943","DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN VOCALIC R"
"दि",12,"U+0926, U+093F","DEVANAGARI LETTER DA, DEVANAGARI VOWEL SIGN I"
"नी",12,"U+0928, U+0940","DEVANAGARI LETTER NA, DEVANAGARI VOWEL SIGN II"
"चि",11,"U+091A, U+093F","DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN I"
"दी",11,"U+0926, U+0940","DEVANAGARI LETTER DA, DEVANAGARI VOWEL SIGN II"
"मि",11,"U+092E, U+093F","DEVANAGARI LETTER MA, DEVANAGARI VOWEL SIGN I"
"शि",11,"U+0936, U+093F","DEVANAGARI LETTER SHA, DEVANAGARI VOWEL SIGN I"
"च",10,"U+091A","DEVANAGARI LETTER CA"
"ज़",10,"U+095B","DEVANAGARI LETTER ZA"
"जी",10,"U+091C, U+0940","DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN II"
"जो",10,"U+091C, U+094B","DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN O"
"दा",10,"U+0926, U+093E","DEVANAGARI LETTER DA, DEVANAGARI VOWEL SIGN AA"
"शों",10,"U+0936, U+094B, U+0902","DEVANAGARI LETTER SHA, DEVANAGARI VOWEL SIGN O, DEVANAGARI SIGN ANUSVARA"
"सु",10,"U+0938, U+0941","DEVANAGARI LETTER SA, DEVANAGARI VOWEL SIGN U"
"गी",9,"U+0917, U+0940","DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN II"
"नू",9,"U+0928, U+0942","DEVANAGARI LETTER NA, DEVANAGARI VOWEL SIGN UU"
"बु",9,"U+092C, U+0941","DEVANAGARI LETTER BA, DEVANAGARI VOWEL SIGN U"
"रु",9,"U+0930, U+0941","DEVANAGARI LETTER RA, DEVANAGARI VOWEL SIGN U"
"क़",8,"U+0958","DEVANAGARI LETTER QA"
"चूं",8,"U+091A, U+0942, U+0902","DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN UU, DEVANAGARI SIGN ANUSVARA"
"यो",8,"U+092F, U+094B","DEVANAGARI LETTER YA, DEVANAGARI VOWEL SIGN O"
"वी",8,"U+0935, U+0940","DEVANAGARI LETTER VA, DEVANAGARI VOWEL SIGN II"
"क़ा",7,"U+0958, U+093E","DEVANAGARI LETTER QA, DEVANAGARI VOWEL SIGN AA"
"ज्",7,"U+091C, U+094D","DEVANAGARI LETTER JA, DEVANAGARI SIGN VIRAMA"
"ड",7,"U+0921","DEVANAGARI LETTER DDA"
"थ",7,"U+0925","DEVANAGARI LETTER THA"
"दू",7,"U+0926, U+0942","DEVANAGARI LETTER DA, DEVANAGARI VOWEL SIGN UU"
"यु",7,"U+092F, U+0941","DEVANAGARI LETTER YA, DEVANAGARI VOWEL SIGN U"
"ला",7,"U+0932, U+093E","DEVANAGARI LETTER LA, DEVANAGARI VOWEL SIGN AA"
"षि",7,"U+0937, U+093F","DEVANAGARI LETTER SSA, DEVANAGARI VOWEL SIGN I"
"हा",7,"U+0939, U+093E","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN AA"
"एं",6,"U+090F, U+0902","DEVANAGARI LETTER E, DEVANAGARI SIGN ANUSVARA"
"ग्",6,"U+0917, U+094D","DEVANAGARI LETTER GA, DEVANAGARI SIGN VIRAMA"
"ज़ा",6,"U+095B, U+093E","DEVANAGARI LETTER ZA, DEVANAGARI VOWEL SIGN AA"
"थि",6,"U+0925, U+093F","DEVANAGARI LETTER THA, DEVANAGARI VOWEL SIGN I"
"बा",6,"U+092C, U+093E","DEVANAGARI LETTER BA, DEVANAGARI VOWEL SIGN AA"
"भे",6,"U+092D, U+0947","DEVANAGARI LETTER BHA, DEVANAGARI VOWEL SIGN E"
"भौ",6,"U+092D, U+094C","DEVANAGARI LETTER BHA, DEVANAGARI VOWEL SIGN AU"
"ली",6,"U+0932, U+0940","DEVANAGARI LETTER LA, DEVANAGARI VOWEL SIGN II"
"ल्",6,"U+0932, U+094D","DEVANAGARI LETTER LA, DEVANAGARI SIGN VIRAMA"
"वं",6,"U+0935, U+0902","DEVANAGARI LETTER VA, DEVANAGARI SIGN ANUSVARA"
"शा",6,"U+0936, U+093E","DEVANAGARI LETTER SHA, DEVANAGARI VOWEL SIGN AA"
"सि",6,"U+0938, U+093F","DEVANAGARI LETTER SA, DEVANAGARI VOWEL SIGN I"
"ही",6,"U+0939, U+0940","DEVANAGARI LETTER HA, DEVANAGARI VOWEL SIGN II"
"—",5,"U+2014","EM DASH"
"ख",5,"U+0916","DEVANAGARI LETTER KHA"
"गे",5,"U+0917, U+0947","DEVANAGARI LETTER GA, DEVANAGARI VOWEL SIGN E"
"चु",5,"U+091A, U+0941","DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN U"
