"Grapheme","Frequency","Codepoint","UnicodeName"
"a",297,"U+0061","LATIN SMALL LETTER A"
"n",140,"U+006E","LATIN SMALL LETTER N"
"i",128,"U+0069","LATIN SMALL LETTER I"
"e",109,"U+0065","LATIN SMALL LETTER E"
"õ",79,"U+00F5","LATIN SMALL LETTER O WITH TILDE"
"f",78,"U+0066","LATIN SMALL LETTER F"
".",74,"U+002E","FULL STOP"
"l",66,"U+006C","LATIN SMALL LETTER L"
"u",66,"U+0075","LATIN SMALL LETTER U"
"m",64,"U+006D","LATIN SMALL LETTER M"
"b",63,"U+0062","LATIN SMALL LETTER B"
"h",62,"U+0068","LATIN SMALL LETTER H"
"g",56,"U+0067","LATIN SMALL LETTER G"
"s",55,"U+0073","LATIN SMALL LETTER S"
"p",36,"U+0070","LATIN SMALL LETTER P"
"d",33,"U+0064","LATIN SMALL LETTER D"
"è",32,"U+00E8","LATIN SMALL LETTER E WITH GRAVE"
"k",32,"U+006B","LATIN SMALL LETTER K"
"t",31,"U+0074","LATIN SMALL LETTER T"
",",28,"U+002C","COMMA"
"ë",27,"U+00EB","LATIN SMALL LETTER E WITH DIAERESIS"
"o",26,"U+006F","LATIN SMALL LETTER O"
"ò",11,"U+00F2","LATIN SMALL LETTER O WITH GRAVE"
"!",5,"U+0021","EXCLAMATION MARK"
"-",1,"U+002D","HYPHEN-MINUS"
