"Grapheme","Frequency","Codepoint","UnicodeName"
"の",56393,"U+306E","HIRAGANA LETTER NO"
"た",49554,"U+305F","HIRAGANA LETTER TA"
"い",49472,"U+3044","HIRAGANA LETTER I"
"し",42107,"U+3057","HIRAGANA LETTER SI"
"、",41818,"U+3001","IDEOGRAPHIC COMMA"
"に",38954,"U+306B","HIRAGANA LETTER NI"
"な",38795,"U+306A","HIRAGANA LETTER NA"
"。",37479,"U+3002","IDEOGRAPHIC FULL STOP"
"は",37466,"U+306F","HIRAGANA LETTER HA"
"て",36789,"U+3066","HIRAGANA LETTER TE"
"と",36427,"U+3068","HIRAGANA LETTER TO"
"か",33610,"U+304B","HIRAGANA LETTER KA"
"を",30406,"U+3092","HIRAGANA LETTER WO"
"が",27339,"U+304C","HIRAGANA LETTER GA"
"う",27122,"U+3046","HIRAGANA LETTER U"
"る",26222,"U+308B","HIRAGANA LETTER RU"
"ら",22415,"U+3089","HIRAGANA LETTER RA"
"で",22147,"U+3067","HIRAGANA LETTER DE"
"ん",20974,"U+3093","HIRAGANA LETTER N"
"も",20842,"U+3082","HIRAGANA LETTER MO"
"つ",20304,"U+3064","HIRAGANA LETTER TU"
"っ",19494,"U+3063","HIRAGANA LETTER SMALL TU"
"れ",18236,"U+308C","HIRAGANA LETTER RE"
"く",17888,"U+304F","HIRAGANA LETTER KU"
"こ",17462,"U+3053","HIRAGANA LETTER KO"
"ま",16952,"U+307E","HIRAGANA LETTER MA"
"だ",16883,"U+3060","HIRAGANA LETTER DA"
"り",15633,"U+308A","HIRAGANA LETTER RI"
"あ",15562,"U+3042","HIRAGANA LETTER A"
"す",14163,"U+3059","HIRAGANA LETTER SU"
"き",13930,"U+304D","HIRAGANA LETTER KI"
"そ",11994,"U+305D","HIRAGANA LETTER SO"
"さ",11762,"U+3055","HIRAGANA LETTER SA"
"や",11306,"U+3084","HIRAGANA LETTER YA"
"《",11305,"U+300A","LEFT DOUBLE ANGLE BRACKET"
"》",11304,"U+300B","RIGHT DOUBLE ANGLE BRACKET"
"よ",10256,"U+3088","HIRAGANA LETTER YO"
"「",9760,"U+300C","LEFT CORNER BRACKET"
"」",9750,"U+300D","RIGHT CORNER BRACKET"
"け",8975,"U+3051","HIRAGANA LETTER KE"
"わ",8818,"U+308F","HIRAGANA LETTER WA"
"ン",7994,"U+30F3","KATAKANA LETTER N"
"ー",7982,"U+30FC","KATAKANA-HIRAGANA PROLONGED SOUND MARK"
"お",7888,"U+304A","HIRAGANA LETTER O"
"ち",7680,"U+3061","HIRAGANA LETTER TI"
"彼",7159,"U+5F7C","CJK UNIFIED IDEOGRAPH-5F7C"
"せ",6666,"U+305B","HIRAGANA LETTER SE"
"ス",6521,"U+30B9","KATAKANA LETTER SU"
"人",6496,"U+4EBA","CJK UNIFIED IDEOGRAPH-4EBA"
"ど",6108,"U+3069","HIRAGANA LETTER DO"
"え",6047,"U+3048","HIRAGANA LETTER E"
"め",5816,"U+3081","HIRAGANA LETTER ME"
"み",5648,"U+307F","HIRAGANA LETTER MI"
"じ",5183,"U+3058","HIRAGANA LETTER ZI"
"ろ",5171,"U+308D","HIRAGANA LETTER RO"
"へ",5062,"U+3078","HIRAGANA LETTER HE"
"一",5004,"U+4E00","CJK UNIFIED IDEOGRAPH-4E00"
"ば",4820,"U+3070","HIRAGANA LETTER BA"
"ひ",4652,"U+3072","HIRAGANA LETTER HI"
"ふ",4468,"U+3075","HIRAGANA LETTER HU"
"見",4444,"U+898B","CJK UNIFIED IDEOGRAPH-898B"
"女",4300,"U+5973","CJK UNIFIED IDEOGRAPH-5973"
"分",3910,"U+5206","CJK UNIFIED IDEOGRAPH-5206"
"出",3896,"U+51FA","CJK UNIFIED IDEOGRAPH-51FA"
"―",3889,"U+2015","HORIZONTAL BAR"
"思",3628,"U+601D","CJK UNIFIED IDEOGRAPH-601D"
"ほ",3575,"U+307B","HIRAGANA LETTER HO"
"・",3564,"U+30FB","KATAKANA MIDDLE DOT"
"ね",3502,"U+306D","HIRAGANA LETTER NE"
"何",3205,"U+4F55","CJK UNIFIED IDEOGRAPH-4F55"
"ル",3049,"U+30EB","KATAKANA LETTER RU"
"言",3034,"U+8A00","CJK UNIFIED IDEOGRAPH-8A00"
"イ",3014,"U+30A4","KATAKANA LETTER I"
"ト",2979,"U+30C8","KATAKANA LETTER TO"
"事",2975,"U+4E8B","CJK UNIFIED IDEOGRAPH-4E8B"
"ラ",2941,"U+30E9","KATAKANA LETTER RA"
"手",2899,"U+624B","CJK UNIFIED IDEOGRAPH-624B"
"ド",2897,"U+30C9","KATAKANA LETTER DO"
"自",2885,"U+81EA","CJK UNIFIED IDEOGRAPH-81EA"
"ゐ",2760,"U+3090","HIRAGANA LETTER WI"
"リ",2645,"U+30EA","KATAKANA LETTER RI"
"ミ",2630,"U+30DF","KATAKANA LETTER MI"
"大",2585,"U+5927","CJK UNIFIED IDEOGRAPH-5927"
"ず",2508,"U+305A","HIRAGANA LETTER ZU"
"間",2480,"U+9593","CJK UNIFIED IDEOGRAPH-9593"
"云",2461,"U+4E91","CJK UNIFIED IDEOGRAPH-4E91"
"む",2388,"U+3080","HIRAGANA LETTER MU"
"ア",2385,"U+30A2","KATAKANA LETTER A"
"時",2385,"U+6642","CJK UNIFIED IDEOGRAPH-6642"
"行",2372,"U+884C","CJK UNIFIED IDEOGRAPH-884C"
"日",2310,"U+65E5","CJK UNIFIED IDEOGRAPH-65E5"
"上",2272,"U+4E0A","CJK UNIFIED IDEOGRAPH-4E0A"
