"Grapheme","Frequency","Codepoint","UnicodeName"
"い",299075,"U+3044","HIRAGANA LETTER I"
"の",272623,"U+306E","HIRAGANA LETTER NO"
"た",248850,"U+305F","HIRAGANA LETTER TA"
"な",245541,"U+306A","HIRAGANA LETTER NA"
"て",224280,"U+3066","HIRAGANA LETTER TE"
"は",212940,"U+306F","HIRAGANA LETTER HA"
"る",185018,"U+308B","HIRAGANA LETTER RU"
"に",184322,"U+306B","HIRAGANA LETTER NI"
"し",183182,"U+3057","HIRAGANA LETTER SI"
"っ",171573,"U+3063","HIRAGANA LETTER SMALL TU"
"だ",171305,"U+3060","HIRAGANA LETTER DA"
"か",167048,"U+304B","HIRAGANA LETTER KA"
"を",162144,"U+3092","HIRAGANA LETTER WO"
"が",146074,"U+304C","HIRAGANA LETTER GA"
"で",140025,"U+3067","HIRAGANA LETTER DE"
"と",128779,"U+3068","HIRAGANA LETTER TO"
"ー",122251,"U+30FC","KATAKANA-HIRAGANA PROLONGED SOUND MARK"
"う",121755,"U+3046","HIRAGANA LETTER U"
"？",121081,"U+FF1F","FULLWIDTH QUESTION MARK"
"れ",118744,"U+308C","HIRAGANA LETTER RE"
".",110099,"U+002E","FULL STOP"
"こ",108275,"U+3053","HIRAGANA LETTER KO"
"ん",103612,"U+3093","HIRAGANA LETTER N"
"ら",103590,"U+3089","HIRAGANA LETTER RA"
"す",97768,"U+3059","HIRAGANA LETTER SU"
"あ",96665,"U+3042","HIRAGANA LETTER A"
"も",95821,"U+3082","HIRAGANA LETTER MO"
"ま",82214,"U+307E","HIRAGANA LETTER MA"
"よ",77672,"U+3088","HIRAGANA LETTER YO"
"そ",77000,"U+305D","HIRAGANA LETTER SO"
"　",76437,"U+3000","IDEOGRAPHIC SPACE"
"ン",74291,"U+30F3","KATAKANA LETTER N"
"く",69263,"U+304F","HIRAGANA LETTER KU"
"り",58444,"U+308A","HIRAGANA LETTER RI"
"け",53328,"U+3051","HIRAGANA LETTER KE"
"さ",51032,"U+3055","HIRAGANA LETTER SA"
"わ",49176,"U+308F","HIRAGANA LETTER WA"
"ス",48470,"U+30B9","KATAKANA LETTER SU"
"え",48202,"U+3048","HIRAGANA LETTER E"
"き",46161,"U+304D","HIRAGANA LETTER KI"
"ど",44180,"U+3069","HIRAGANA LETTER DO"
"、",42808,"U+3001","IDEOGRAPHIC COMMA"
"！",41796,"U+FF01","FULLWIDTH EXCLAMATION MARK"
"お",40546,"U+304A","HIRAGANA LETTER O"
"私",40377,"U+79C1","CJK UNIFIED IDEOGRAPH-79C1"
"イ",40157,"U+30A4","KATAKANA LETTER I"
"彼",37638,"U+5F7C","CJK UNIFIED IDEOGRAPH-5F7C"
"ル",37509,"U+30EB","KATAKANA LETTER RU"
"何",35165,"U+4F55","CJK UNIFIED IDEOGRAPH-4F55"
"つ",34952,"U+3064","HIRAGANA LETTER TU"
"ち",34951,"U+3061","HIRAGANA LETTER TI"
"人",34862,"U+4EBA","CJK UNIFIED IDEOGRAPH-4EBA"
"ッ",33992,"U+30C3","KATAKANA LETTER SMALL TU"
"ト",33983,"U+30C8","KATAKANA LETTER TO"
"や",33129,"U+3084","HIRAGANA LETTER YA"
"ろ",33022,"U+308D","HIRAGANA LETTER RO"
"リ",32765,"U+30EA","KATAKANA LETTER RI"
"ク",32459,"U+30AF","KATAKANA LETTER KU"
