"Grapheme","Frequency","Codepoint","UnicodeName"
"a",305508,"U+0061","LATIN SMALL LETTER A"
"e",110986,"U+0065","LATIN SMALL LETTER E"
"i",105594,"U+0069","LATIN SMALL LETTER I"
"p",86220,"U+0070","LATIN SMALL LETTER P"
"o",78876,"U+006F","LATIN SMALL LETTER O"
"n",78760,"U+006E","LATIN SMALL LETTER N"
"r",71547,"U+0072","LATIN SMALL LETTER R"
"m",71463,"U+006D","LATIN SMALL LETTER M"
"u",68609,"U+0075","LATIN SMALL LETTER U"
"l",35626,"U+006C","LATIN SMALL LETTER L"
"s",29357,"U+0073","LATIN SMALL LETTER S"
"d",27413,"U+0064","LATIN SMALL LETTER D"
"g",26803,"U+0067","LATIN SMALL LETTER G"
"-",23443,"U+002D","HYPHEN-MINUS"
".",19258,"U+002E","FULL STOP"
"k",19079,"U+006B","LATIN SMALL LETTER K"
"t",16370,"U+0074","LATIN SMALL LETTER T"
"G",16162,"U+0047","LATIN CAPITAL LETTER G"
"b",15375,"U+0062","LATIN SMALL LETTER B"
"y",12953,"U+0079","LATIN SMALL LETTER Y"
"w",7914,"U+0077","LATIN SMALL LETTER W"
"N",4336,"U+004E","LATIN CAPITAL LETTER N"
"A",3552,"U+0041","LATIN CAPITAL LETTER A"
":",2677,"U+003A","COLON"
"Y",2569,"U+0059","LATIN CAPITAL LETTER Y"
"S",1575,"U+0053","LATIN CAPITAL LETTER S"
"P",1513,"U+0050","LATIN CAPITAL LETTER P"
"M",1407,"U+004D","LATIN CAPITAL LETTER M"
",",1244,"U+002C","COMMA"
"J",1177,"U+004A","LATIN CAPITAL LETTER J"
"K",983,"U+004B","LATIN CAPITAL LETTER K"
"?",912,"U+003F","QUESTION MARK"
"O",891,"U+004F","LATIN CAPITAL LETTER O"
"D",679,"U+0044","LATIN CAPITAL LETTER D"
"E",555,"U+0045","LATIN CAPITAL LETTER E"
"R",456,"U+0052","LATIN CAPITAL LETTER R"
"H",425,"U+0048","LATIN CAPITAL LETTER H"
"0",379,"U+0030","DIGIT ZERO"
"v",303,"U+0076","LATIN SMALL LETTER V"
"h",293,"U+0068","LATIN SMALL LETTER H"
"B",251,"U+0042","LATIN CAPITAL LETTER B"
"I",246,"U+0049","LATIN CAPITAL LETTER I"
"T",213,"U+0054","LATIN CAPITAL LETTER T"
"F",212,"U+0046","LATIN CAPITAL LETTER F"
"1",169,"U+0031","DIGIT ONE"
"W",165,"U+0057","LATIN CAPITAL LETTER W"
"L",148,"U+004C","LATIN CAPITAL LETTER L"
"2",124,"U+0032","DIGIT TWO"
"7",116,"U+0037","DIGIT SEVEN"
"f",116,"U+0066","LATIN SMALL LETTER F"
"4",66,"U+0034","DIGIT FOUR"
"j",40,"U+006A","LATIN SMALL LETTER J"
"5",28,"U+0035","DIGIT FIVE"
"8",27,"U+0038","DIGIT EIGHT"
"3",24,"U+0033","DIGIT THREE"
"6",22,"U+0036","DIGIT SIX"
"(",19,"U+0028","LEFT PARENTHESIS"
")",19,"U+0029","RIGHT PARENTHESIS"
"9",15,"U+0039","DIGIT NINE"
"U",11,"U+0055","LATIN CAPITAL LETTER U"
"à",10,"U+00E0","LATIN SMALL LETTER A WITH GRAVE"
"!",7,"U+0021","EXCLAMATION MARK"
";",2,"U+003B","SEMICOLON"
"*",1,"U+002A","ASTERISK"
