"Grapheme","Frequency","Codepoint","UnicodeName"
"의",100,"U+C758","HANGUL SYLLABLE YI"
"한",96,"U+D55C","HANGUL SYLLABLE HAN"
"에",90,"U+C5D0","HANGUL SYLLABLE E"
"하",86,"U+D558","HANGUL SYLLABLE HA"
"다",74,"U+B2E4","HANGUL SYLLABLE DA"
"가",71,"U+AC00","HANGUL SYLLABLE GA"
",",70,"U+002C","COMMA"
"이",70,"U+C774","HANGUL SYLLABLE I"
"권",68,"U+AD8C","HANGUL SYLLABLE GWEON"
"는",67,"U+B294","HANGUL SYLLABLE NEUN"
"리",67,"U+B9AC","HANGUL SYLLABLE RI"
"를",66,"U+B97C","HANGUL SYLLABLE REUL"
"사",66,"U+C0AC","HANGUL SYLLABLE SA"
"자",66,"U+C790","HANGUL SYLLABLE JA"
".",65,"U+002E","FULL STOP"
"을",63,"U+C744","HANGUL SYLLABLE EUL"
"적",63,"U+C801","HANGUL SYLLABLE JEOG"
"제",50,"U+C81C","HANGUL SYLLABLE JE"
"은",49,"U+C740","HANGUL SYLLABLE EUN"
"유",46,"U+C720","HANGUL SYLLABLE YU"
"인",46,"U+C778","HANGUL SYLLABLE IN"
"모",45,"U+BAA8","HANGUL SYLLABLE MO"
"든",44,"U+B4E0","HANGUL SYLLABLE DEUN"
"진",44,"U+C9C4","HANGUL SYLLABLE JIN"
"로",40,"U+B85C","HANGUL SYLLABLE RO"
"여",40,"U+C5EC","HANGUL SYLLABLE YEO"
"국",39,"U+AD6D","HANGUL SYLLABLE GUG"
"람",38,"U+B78C","HANGUL SYLLABLE RAM"
"과",35,"U+ACFC","HANGUL SYLLABLE GWA"
"어",34,"U+C5B4","HANGUL SYLLABLE EO"
"조",34,"U+C870","HANGUL SYLLABLE JO"
"으",32,"U+C73C","HANGUL SYLLABLE EU"
"정",32,"U+C815","HANGUL SYLLABLE JEONG"
"서",31,"U+C11C","HANGUL SYLLABLE SEO"
"또",30,"U+B610","HANGUL SYLLABLE DDO"
"동",28,"U+B3D9","HANGUL SYLLABLE DONG"
"고",27,"U+ACE0","HANGUL SYLLABLE GO"
"대",26,"U+B300","HANGUL SYLLABLE DAE"
"보",26,"U+BCF4","HANGUL SYLLABLE BO"
"신",26,"U+C2E0","HANGUL SYLLABLE SIN"
"기",25,"U+AE30","HANGUL SYLLABLE GI"
"도",24,"U+B3C4","HANGUL SYLLABLE DO"
"와",24,"U+C640","HANGUL SYLLABLE WA"
"지",24,"U+C9C0","HANGUL SYLLABLE JI"
"받",23,"U+BC1B","HANGUL SYLLABLE BAD"
"위",21,"U+C704","HANGUL SYLLABLE WI"
"며",20,"U+BA70","HANGUL SYLLABLE MYEO"
"아",20,"U+C544","HANGUL SYLLABLE A"
"그",19,"U+ADF8","HANGUL SYLLABLE GEU"
"공",17,"U+ACF5","HANGUL SYLLABLE GONG"
"부",17,"U+BD80","HANGUL SYLLABLE BU"
"선",17,"U+C120","HANGUL SYLLABLE SEON"
"회",17,"U+D68C","HANGUL SYLLABLE HOE"
"교",16,"U+AD50","HANGUL SYLLABLE GYO"
"니",16,"U+B2C8","HANGUL SYLLABLE NI"
"수",16,"U+C218","HANGUL SYLLABLE SU"
"할",16,"U+D560","HANGUL SYLLABLE HAL"
"되",15,"U+B418","HANGUL SYLLABLE DOE"
"등",15,"U+B4F1","HANGUL SYLLABLE DEUNG"
"법",15,"U+BC95","HANGUL SYLLABLE BEOB"
"있",15,"U+C788","HANGUL SYLLABLE ISS"
"간",14,"U+AC04","HANGUL SYLLABLE GAN"
"구",14,"U+AD6C","HANGUL SYLLABLE GU"
"전",14,"U+C804","HANGUL SYLLABLE JEON"
"호",14,"U+D638","HANGUL SYLLABLE HO"
"1",13,"U+0031","DIGIT ONE"
"2",13,"U+0032","DIGIT TWO"
"거",13,"U+AC70","HANGUL SYLLABLE GEO"
"나",13,"U+B098","HANGUL SYLLABLE NA"
"된",13,"U+B41C","HANGUL SYLLABLE DOEN"
"노",12,"U+B178","HANGUL SYLLABLE NO"
"및",12,"U+BC0F","HANGUL SYLLABLE MIC"
"누",11,"U+B204","HANGUL SYLLABLE NU"
"성",11,"U+C131","HANGUL SYLLABLE SEONG"
"우",11,"U+C6B0","HANGUL SYLLABLE U"
"종",11,"U+C885","HANGUL SYLLABLE JONG"
"통",11,"U+D1B5","HANGUL SYLLABLE TONG"
"행",11,"U+D589","HANGUL SYLLABLE HAENG"
"계",10,"U+ACC4","HANGUL SYLLABLE GYE"
"떠",10,"U+B5A0","HANGUL SYLLABLE DDEO"
"러",10,"U+B7EC","HANGUL SYLLABLE REO"
"언",10,"U+C5B8","HANGUL SYLLABLE EON"
"없",10,"U+C5C6","HANGUL SYLLABLE EOBS"
"장",10,"U+C7A5","HANGUL SYLLABLE JANG"
"존",10,"U+C874","HANGUL SYLLABLE JON"
"합",10,"U+D569","HANGUL SYLLABLE HAB"
"경",9,"U+ACBD","HANGUL SYLLABLE GYEONG"
"느",9,"U+B290","HANGUL SYLLABLE NEU"
"무",9,"U+BB34","HANGUL SYLLABLE MU"
"상",9,"U+C0C1","HANGUL SYLLABLE SANG"
"생",9,"U+C0DD","HANGUL SYLLABLE SAENG"
"육",9,"U+C721","HANGUL SYLLABLE YUG"
"해",9,"U+D574","HANGUL SYLLABLE HAE"
"게",8,"U+AC8C","HANGUL SYLLABLE GE"
"들",8,"U+B4E4","HANGUL SYLLABLE DEUL"
"비",8,"U+BE44","HANGUL SYLLABLE BI"
"야",8,"U+C57C","HANGUL SYLLABLE YA"
"연",8,"U+C5F0","HANGUL SYLLABLE YEON"
"예",8,"U+C608","HANGUL SYLLABLE YE"
"원",8,"U+C6D0","HANGUL SYLLABLE WEON"
"치",8,"U+CE58","HANGUL SYLLABLE CI"
"포",8,"U+D3EC","HANGUL SYLLABLE PO"
"결",7,"U+ACB0","HANGUL SYLLABLE GYEOL"
"관",7,"U+AD00","HANGUL SYLLABLE GWAN"
"단",7,"U+B2E8","HANGUL SYLLABLE DAN"
"당",7,"U+B2F9","HANGUL SYLLABLE DANG"
"라",7,"U+B77C","HANGUL SYLLABLE RA"
"력",7,"U+B825","HANGUL SYLLABLE RYEOG"
"별",7,"U+BCC4","HANGUL SYLLABLE BYEOL"
"실",7,"U+C2E4","HANGUL SYLLABLE SIL"
"요",7,"U+C694","HANGUL SYLLABLE YO"
"일",7,"U+C77C","HANGUL SYLLABLE IL"
"차",7,"U+CC28","HANGUL SYLLABLE CA"
"평",7,"U+D3C9","HANGUL SYLLABLE PYEONG"
"형",7,"U+D615","HANGUL SYLLABLE HYEONG"
"것",6,"U+AC83","HANGUL SYLLABLE GEOS"
"격",6,"U+ACA9","HANGUL SYLLABLE GYEOG"
"록",6,"U+B85D","HANGUL SYLLABLE ROG"
"른",6,"U+B978","HANGUL SYLLABLE REUN"
"발",6,"U+BC1C","HANGUL SYLLABLE BAL"
"시",6,"U+C2DC","HANGUL SYLLABLE SI"
"완",6,"U+C644","HANGUL SYLLABLE WAN"
"재",6,"U+C7AC","HANGUL SYLLABLE JAE"
"죄",6,"U+C8C4","HANGUL SYLLABLE JOE"
"주",6,"U+C8FC","HANGUL SYLLABLE JU"
"중",6,"U+C911","HANGUL SYLLABLE JUNG"
"증",6,"U+C99D","HANGUL SYLLABLE JEUNG"
"질",6,"U+C9C8","HANGUL SYLLABLE JIL"
"초",6,"U+CD08","HANGUL SYLLABLE CO"
"표",6,"U+D45C","HANGUL SYLLABLE PYO"
"필",6,"U+D544","HANGUL SYLLABLE PIL"
"함",6,"U+D568","HANGUL SYLLABLE HAM"
"화",6,"U+D654","HANGUL SYLLABLE HWA"
"활",6,"U+D65C","HANGUL SYLLABLE HWAL"
"개",5,"U+AC1C","HANGUL SYLLABLE GAE"
"따",5,"U+B530","HANGUL SYLLABLE DDA"
"만",5,"U+B9CC","HANGUL SYLLABLE MAN"
"명",5,"U+BA85","HANGUL SYLLABLE MYEONG"
"목",5,"U+BAA9","HANGUL SYLLABLE MOG"
"문",5,"U+BB38","HANGUL SYLLABLE MUN"
"민",5,"U+BBFC","HANGUL SYLLABLE MIN"
