"Grapheme","Frequency","Codepoint","UnicodeName"
"a",30,"U+0061","LATIN SMALL LETTER A"
"′",25,"U+2032","PRIME"
"n",24,"U+006E","LATIN SMALL LETTER N"
"s",23,"U+0073","LATIN SMALL LETTER S"
"ˑ",22,"U+02D1","MODIFIER LETTER HALF TRIANGULAR COLON"
"e",17,"U+0065","LATIN SMALL LETTER E"
"t",16,"U+0074","LATIN SMALL LETTER T"
"k",15,"U+006B","LATIN SMALL LETTER K"
"ɩ",12,"U+0269","LATIN SMALL LETTER IOTA"
".",11,"U+002E","FULL STOP"
"u",10,"U+0075","LATIN SMALL LETTER U"
"x̣",9,"U+0078, U+0323","LATIN SMALL LETTER X, COMBINING DOT BELOW"
"!",8,"U+0021","EXCLAMATION MARK"
"ₐ",7,"U+2090","LATIN SUBSCRIPT SMALL LETTER A"
"ᵢ",6,"U+1D62","LATIN SUBSCRIPT SMALL LETTER I"
"ł",6,"U+0142","LATIN SMALL LETTER L WITH STROKE"
"q",6,"U+0071","LATIN SMALL LETTER Q"
"h",5,"U+0068","LATIN SMALL LETTER H"
"ʼ",5,"U+02BC","MODIFIER LETTER APOSTROPHE"
"m",4,"U+006D","LATIN SMALL LETTER M"
"o",4,"U+006F","LATIN SMALL LETTER O"
"y",3,"U+0079","LATIN SMALL LETTER Y"
"ʽ",2,"U+02BD","MODIFIER LETTER REVERSED COMMA"
"p",2,"U+0070","LATIN SMALL LETTER P"
"ʋ",2,"U+028B","LATIN SMALL LETTER V WITH HOOK"
"w",2,"U+0077","LATIN SMALL LETTER W"
"ₑ",1,"U+2091","LATIN SUBSCRIPT SMALL LETTER E"
"T",1,"U+0054","LATIN CAPITAL LETTER T"
