"Grapheme","Frequency","Codepoint","UnicodeName"
"o",96679,"U+006F","LATIN SMALL LETTER O"
"e",68463,"U+0065","LATIN SMALL LETTER E"
"a",68439,"U+0061","LATIN SMALL LETTER A"
"i",56941,"U+0069","LATIN SMALL LETTER I"
"n",48249,"U+006E","LATIN SMALL LETTER N"
"k",37189,"U+006B","LATIN SMALL LETTER K"
"m",32060,"U+006D","LATIN SMALL LETTER M"
"t",26617,"U+0074","LATIN SMALL LETTER T"
"r",21728,"U+0072","LATIN SMALL LETTER R"
"w",21244,"U+0077","LATIN SMALL LETTER W"
"u",21126,"U+0075","LATIN SMALL LETTER U"
"d",18742,"U+0064","LATIN SMALL LETTER D"
"y",18635,"U+0079","LATIN SMALL LETTER Y"
"b",17312,"U+0062","LATIN SMALL LETTER B"
",",17057,"U+002C","COMMA"
"c",16867,"U+0063","LATIN SMALL LETTER C"
"ŋ",16442,"U+014B","LATIN SMALL LETTER ENG"
"l",15314,"U+006C","LATIN SMALL LETTER L"
"g",10879,"U+0067","LATIN SMALL LETTER G"
"p",10832,"U+0070","LATIN SMALL LETTER P"
".",7719,"U+002E","FULL STOP"
"j",3910,"U+006A","LATIN SMALL LETTER J"
"O",3153,"U+004F","LATIN CAPITAL LETTER O"
"K",2474,"U+004B","LATIN CAPITAL LETTER K"
"A",2020,"U+0041","LATIN CAPITAL LETTER A"
"“",2018,"U+201C","LEFT DOUBLE QUOTATION MARK"
"”",1836,"U+201D","RIGHT DOUBLE QUOTATION MARK"
";",1625,"U+003B","SEMICOLON"
"Y",1614,"U+0059","LATIN CAPITAL LETTER Y"
"P",1599,"U+0050","LATIN CAPITAL LETTER P"
"E",1283,"U+0045","LATIN CAPITAL LETTER E"
"-",1180,"U+002D","HYPHEN-MINUS"
"?",1052,"U+003F","QUESTION MARK"
"C",967,"U+0043","LATIN CAPITAL LETTER C"
"M",945,"U+004D","LATIN CAPITAL LETTER M"
"R",848,"U+0052","LATIN CAPITAL LETTER R"
"I",758,"U+0049","LATIN CAPITAL LETTER I"
"G",741,"U+0047","LATIN CAPITAL LETTER G"
"W",739,"U+0057","LATIN CAPITAL LETTER W"
"D",731,"U+0044","LATIN CAPITAL LETTER D"
"J",677,"U+004A","LATIN CAPITAL LETTER J"
"L",406,"U+004C","LATIN CAPITAL LETTER L"
"‘",383,"U+2018","LEFT SINGLE QUOTATION MARK"
"’",381,"U+2019","RIGHT SINGLE QUOTATION MARK"
"T",366,"U+0054","LATIN CAPITAL LETTER T"
"B",276,"U+0042","LATIN CAPITAL LETTER B"
"N",273,"U+004E","LATIN CAPITAL LETTER N"
"!",259,"U+0021","EXCLAMATION MARK"
"Ŋ",211,"U+014A","LATIN CAPITAL LETTER ENG"
":",105,"U+003A","COLON"
"f",34,"U+0066","LATIN SMALL LETTER F"
"v",33,"U+0076","LATIN SMALL LETTER V"
"(",31,"U+0028","LEFT PARENTHESIS"
")",31,"U+0029","RIGHT PARENTHESIS"
"[",26,"U+005B","LEFT SQUARE BRACKET"
"]",26,"U+005D","RIGHT SQUARE BRACKET"
"F",23,"U+0046","LATIN CAPITAL LETTER F"
"s",17,"U+0073","LATIN SMALL LETTER S"
"U",5,"U+0055","LATIN CAPITAL LETTER U"
"S",4,"U+0053","LATIN CAPITAL LETTER S"
