"Grapheme","Frequency","Codepoint","UnicodeName"
"a",178,"U+0061","LATIN SMALL LETTER A"
"i",163,"U+0069","LATIN SMALL LETTER I"
"ˑ",135,"U+02D1","MODIFIER LETTER HALF TRIANGULAR COLON"
"ʔ",118,"U+0294","LATIN LETTER GLOTTAL STOP"
"u",88,"U+0075","LATIN SMALL LETTER U"
"t",62,"U+0074","LATIN SMALL LETTER T"
"s",60,"U+0073","LATIN SMALL LETTER S"
"ƛ",55,"U+019B","LATIN SMALL LETTER LAMBDA WITH STROKE"
".",47,"U+002E","FULL STOP"
"d",43,"U+0064","LATIN SMALL LETTER D"
"q",43,"U+0071","LATIN SMALL LETTER Q"
"k",40,"U+006B","LATIN SMALL LETTER K"
"w",34,"U+0077","LATIN SMALL LETTER W"
"y",34,"U+0079","LATIN SMALL LETTER Y"
"š",30,"U+0161","LATIN SMALL LETTER S WITH CARON"
"b",27,"U+0062","LATIN SMALL LETTER B"
"e",27,"U+0065","LATIN SMALL LETTER E"
"x̌",27,"U+0078, U+030C","LATIN SMALL LETTER X, COMBINING CARON"
"ł",22,"U+0142","LATIN SMALL LETTER L WITH STROKE"
"c",18,"U+0063","LATIN SMALL LETTER C"
"h",18,"U+0068","LATIN SMALL LETTER H"
"ƛ̓",17,"U+019B, U+0313","LATIN SMALL LETTER LAMBDA WITH STROKE, COMBINING COMMA ABOVE"
"—",13,"U+2014","EM DASH"
"ʷ",13,"U+02B7","MODIFIER LETTER SMALL W"
"k̓",11,"U+006B, U+0313","LATIN SMALL LETTER K, COMBINING COMMA ABOVE"
"č",10,"U+010D","LATIN SMALL LETTER C WITH CARON"
",",8,"U+002C","COMMA"
"p",7,"U+0070","LATIN SMALL LETTER P"
"c̓",6,"U+0063, U+0313","LATIN SMALL LETTER C, COMBINING COMMA ABOVE"
"l",5,"U+006C","LATIN SMALL LETTER L"
"o",5,"U+006F","LATIN SMALL LETTER O"
"!",4,"U+0021","EXCLAMATION MARK"
"q̓",3,"U+0071, U+0313","LATIN SMALL LETTER Q, COMBINING COMMA ABOVE"
"č̓",2,"U+010D, U+0313","LATIN SMALL LETTER C WITH CARON, COMBINING COMMA ABOVE"
"t̓",2,"U+0074, U+0313","LATIN SMALL LETTER T, COMBINING COMMA ABOVE"
"G",1,"U+0047","LATIN CAPITAL LETTER G"
"m",1,"U+006D","LATIN SMALL LETTER M"
"T",1,"U+0054","LATIN CAPITAL LETTER T"
