"Grapheme","Frequency","Codepoint","UnicodeName"
"a",29,"U+0061","LATIN SMALL LETTER A"
"i",27,"U+0069","LATIN SMALL LETTER I"
"ˑ",26,"U+02D1","MODIFIER LETTER HALF TRIANGULAR COLON"
"ʔ",22,"U+0294","LATIN LETTER GLOTTAL STOP"
"u",20,"U+0075","LATIN SMALL LETTER U"
"y",14,"U+0079","LATIN SMALL LETTER Y"
"k",13,"U+006B","LATIN SMALL LETTER K"
"s",11,"U+0073","LATIN SMALL LETTER S"
"q",7,"U+0071","LATIN SMALL LETTER Q"
"x̌",7,"U+0078, U+030C","LATIN SMALL LETTER X, COMBINING CARON"
"š",6,"U+0161","LATIN SMALL LETTER S WITH CARON"
"t",6,"U+0074","LATIN SMALL LETTER T"
"ʷ",6,"U+02B7","MODIFIER LETTER SMALL W"
"e",5,"U+0065","LATIN SMALL LETTER E"
",",4,"U+002C","COMMA"
"d",4,"U+0064","LATIN SMALL LETTER D"
"h",4,"U+0068","LATIN SMALL LETTER H"
"ł",4,"U+0142","LATIN SMALL LETTER L WITH STROKE"
".",3,"U+002E","FULL STOP"
"c",3,"U+0063","LATIN SMALL LETTER C"
"l",3,"U+006C","LATIN SMALL LETTER L"
"b",2,"U+0062","LATIN SMALL LETTER B"
"č",2,"U+010D","LATIN SMALL LETTER C WITH CARON"
"ƛ",2,"U+019B","LATIN SMALL LETTER LAMBDA WITH STROKE"
"c̓",1,"U+0063, U+0313","LATIN SMALL LETTER C, COMBINING COMMA ABOVE"
"ƛ̓",1,"U+019B, U+0313","LATIN SMALL LETTER LAMBDA WITH STROKE, COMBINING COMMA ABOVE"
"p",1,"U+0070","LATIN SMALL LETTER P"
