"Grapheme","Frequency","Codepoint","UnicodeName"
"a",788776,"U+0061","LATIN SMALL LETTER A"
"n",486743,"U+006E","LATIN SMALL LETTER N"
"i",297637,"U+0069","LATIN SMALL LETTER I"
"o",278518,"U+006F","LATIN SMALL LETTER O"
"y",275016,"U+0079","LATIN SMALL LETTER Y"
"r",172852,"U+0072","LATIN SMALL LETTER R"
"t",156897,"U+0074","LATIN SMALL LETTER T"
"m",133510,"U+006D","LATIN SMALL LETTER M"
"e",124258,"U+0065","LATIN SMALL LETTER E"
"h",121728,"U+0068","LATIN SMALL LETTER H"
"s",82669,"U+0073","LATIN SMALL LETTER S"
"k",81111,"U+006B","LATIN SMALL LETTER K"
"d",65268,"U+0064","LATIN SMALL LETTER D"
"’",65205,"U+2019","RIGHT SINGLE QUOTATION MARK"
"l",65039,"U+006C","LATIN SMALL LETTER L"
"z",63778,"U+007A","LATIN SMALL LETTER Z"
",",59958,"U+002C","COMMA"
"f",57798,"U+0066","LATIN SMALL LETTER F"
"v",49943,"U+0076","LATIN SMALL LETTER V"
"b",28988,"U+0062","LATIN SMALL LETTER B"
"p",28306,"U+0070","LATIN SMALL LETTER P"
".",28045,"U+002E","FULL STOP"
"-",21971,"U+002D","HYPHEN-MINUS"
"A",18125,"U+0041","LATIN CAPITAL LETTER A"
"O",14487,"U+004F","LATIN CAPITAL LETTER O"
"M",13093,"U+004D","LATIN CAPITAL LETTER M"
"T",12130,"U+0054","LATIN CAPITAL LETTER T"
"j",11598,"U+006A","LATIN SMALL LETTER J"
"g",10192,"U+0067","LATIN SMALL LETTER G"
"I",9960,"U+0049","LATIN CAPITAL LETTER I"
";",9833,"U+003B","SEMICOLON"
"ô",9204,"U+00F4","LATIN SMALL LETTER O WITH CIRCUMFLEX"
":",9054,"U+003A","COLON"
"N",7951,"U+004E","LATIN CAPITAL LETTER N"
"à",7856,"U+00E0","LATIN SMALL LETTER A WITH GRAVE"
"P",7579,"U+0050","LATIN CAPITAL LETTER P"
"J",6849,"U+004A","LATIN CAPITAL LETTER J"
"«",5687,"U+00AB","LEFT-POINTING DOUBLE ANGLE QUOTATION MARK"
"»",5580,"U+00BB","RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK"
"D",4640,"U+0044","LATIN CAPITAL LETTER D"
"S",4557,"U+0053","LATIN CAPITAL LETTER S"
"F",4493,"U+0046","LATIN CAPITAL LETTER F"
"H",3883,"U+0048","LATIN CAPITAL LETTER H"
"E",3556,"U+0045","LATIN CAPITAL LETTER E"
"K",3545,"U+004B","LATIN CAPITAL LETTER K"
"R",2971,"U+0052","LATIN CAPITAL LETTER R"
"?",2964,"U+003F","QUESTION MARK"
"!",2148,"U+0021","EXCLAMATION MARK"
"B",1913,"U+0042","LATIN CAPITAL LETTER B"
"L",1430,"U+004C","LATIN CAPITAL LETTER L"
"0",1128,"U+0030","DIGIT ZERO"
"Z",980,"U+005A","LATIN CAPITAL LETTER Z"
"G",973,"U+0047","LATIN CAPITAL LETTER G"
"ỳ",909,"U+1EF3","LATIN SMALL LETTER Y WITH GRAVE"
"ì",817,"U+00EC","LATIN SMALL LETTER I WITH GRAVE"
"ò",584,"U+00F2","LATIN SMALL LETTER O WITH GRAVE"
"V",575,"U+0056","LATIN CAPITAL LETTER V"
"1",495,"U+0031","DIGIT ONE"
"‹",476,"U+2039","SINGLE LEFT-POINTING ANGLE QUOTATION MARK"
"›",475,"U+203A","SINGLE RIGHT-POINTING ANGLE QUOTATION MARK"
"2",456,"U+0032","DIGIT TWO"
"5",223,"U+0035","DIGIT FIVE"
"3",211,"U+0033","DIGIT THREE"
"4",198,"U+0034","DIGIT FOUR"
"î",148,"U+00EE","LATIN SMALL LETTER I WITH CIRCUMFLEX"
"7",136,"U+0037","DIGIT SEVEN"
"6",133,"U+0036","DIGIT SIX"
"8",86,"U+0038","DIGIT EIGHT"
"ï",60,"U+00EF","LATIN SMALL LETTER I WITH DIAERESIS"
"(",52,"U+0028","LEFT PARENTHESIS"
")",52,"U+0029","RIGHT PARENTHESIS"
"9",38,"U+0039","DIGIT NINE"
"Y",10,"U+0059","LATIN CAPITAL LETTER Y"
"è",9,"U+00E8","LATIN SMALL LETTER E WITH GRAVE"
"é",6,"U+00E9","LATIN SMALL LETTER E WITH ACUTE"
"—",2,"U+2014","EM DASH"
"u",2,"U+0075","LATIN SMALL LETTER U"
"[",1,"U+005B","LEFT SQUARE BRACKET"
"]",1,"U+005D","RIGHT SQUARE BRACKET"
"*",1,"U+002A","ASTERISK"
"=",1,"U+003D","EQUALS SIGN"
"â",1,"U+00E2","LATIN SMALL LETTER A WITH CIRCUMFLEX"
"c",1,"U+0063","LATIN SMALL LETTER C"
"C",1,"U+0043","LATIN CAPITAL LETTER C"
