"Grapheme","Frequency","Codepoint","UnicodeName"
"，",581465,"U+FF0C","FULLWIDTH COMMA"
"。",239618,"U+3002","IDEOGRAPHIC FULL STOP"
"不",108334,"U+4E0D","CJK UNIFIED IDEOGRAPH-4E0D"
"一",86779,"U+4E00","CJK UNIFIED IDEOGRAPH-4E00"
"：",85734,"U+FF1A","FULLWIDTH COLON"
"人",84487,"U+4EBA","CJK UNIFIED IDEOGRAPH-4EBA"
"了",83366,"U+4E86","CJK UNIFIED IDEOGRAPH-4E86"
"道",68979,"U+9053","CJK UNIFIED IDEOGRAPH-9053"
"」",66377,"U+300D","RIGHT CORNER BRACKET"
"「",66329,"U+300C","LEFT CORNER BRACKET"
"是",59782,"U+662F","CJK UNIFIED IDEOGRAPH-662F"
"來",59234,"U+4F86","CJK UNIFIED IDEOGRAPH-4F86"
"的",55337,"U+7684","CJK UNIFIED IDEOGRAPH-7684"
"之",53470,"U+4E4B","CJK UNIFIED IDEOGRAPH-4E4B"
"有",49845,"U+6709","CJK UNIFIED IDEOGRAPH-6709"
"說",47647,"U+8AAA","CJK UNIFIED IDEOGRAPH-8AAA"
"他",42655,"U+4ED6","CJK UNIFIED IDEOGRAPH-4ED6"
"大",39428,"U+5927","CJK UNIFIED IDEOGRAPH-5927"
"我",38240,"U+6211","CJK UNIFIED IDEOGRAPH-6211"
"在",37098,"U+5728","CJK UNIFIED IDEOGRAPH-5728"
"子",37074,"U+5B50","CJK UNIFIED IDEOGRAPH-5B50"
"去",37065,"U+53BB","CJK UNIFIED IDEOGRAPH-53BB"
"上",35516,"U+4E0A","CJK UNIFIED IDEOGRAPH-4E0A"
"也",35156,"U+4E5F","CJK UNIFIED IDEOGRAPH-4E5F"
"得",34802,"U+5F97","CJK UNIFIED IDEOGRAPH-5F97"
"見",34785,"U+898B","CJK UNIFIED IDEOGRAPH-898B"
"這",33696,"U+9019","CJK UNIFIED IDEOGRAPH-9019"
"你",33141,"U+4F60","CJK UNIFIED IDEOGRAPH-4F60"
"下",32566,"U+4E0B","CJK UNIFIED IDEOGRAPH-4E0B"
"？",32034,"U+FF1F","FULLWIDTH QUESTION MARK"
"個",30929,"U+500B","CJK UNIFIED IDEOGRAPH-500B"
"、",29883,"U+3001","IDEOGRAPHIC COMMA"
"此",28865,"U+6B64","CJK UNIFIED IDEOGRAPH-6B64"
"為",28521,"U+70BA","CJK UNIFIED IDEOGRAPH-70BA"
"以",26612,"U+4EE5","CJK UNIFIED IDEOGRAPH-4EE5"
"到",26324,"U+5230","CJK UNIFIED IDEOGRAPH-5230"
"又",26283,"U+53C8","CJK UNIFIED IDEOGRAPH-53C8"
"將",25742,"U+5C07","CJK UNIFIED IDEOGRAPH-5C07"
"天",25552,"U+5929","CJK UNIFIED IDEOGRAPH-5929"
"小",25544,"U+5C0F","CJK UNIFIED IDEOGRAPH-5C0F"
"那",25526,"U+90A3","CJK UNIFIED IDEOGRAPH-90A3"
"家",25350,"U+5BB6","CJK UNIFIED IDEOGRAPH-5BB6"
"公",24863,"U+516C","CJK UNIFIED IDEOGRAPH-516C"
"出",24826,"U+51FA","CJK UNIFIED IDEOGRAPH-51FA"
"日",24298,"U+65E5","CJK UNIFIED IDEOGRAPH-65E5"
