"Grapheme","Frequency","Codepoint","UnicodeName"
"的",292,"U+7684","CJK UNIFIED IDEOGRAPH-7684"
"人",206,"U+4EBA","CJK UNIFIED IDEOGRAPH-4EBA"
"和",158,"U+548C","CJK UNIFIED IDEOGRAPH-548C"
"有",135,"U+6709","CJK UNIFIED IDEOGRAPH-6709"
"。",121,"U+3002","IDEOGRAPHIC FULL STOP"
"，",81,"U+FF0C","FULLWIDTH COMMA"
",",79,"U+002C","COMMA"
"、",77,"U+3001","IDEOGRAPHIC COMMA"
"利",70,"U+5229","CJK UNIFIED IDEOGRAPH-5229"
"由",70,"U+7531","CJK UNIFIED IDEOGRAPH-7531"
"权",69,"U+6743","CJK UNIFIED IDEOGRAPH-6743"
"權",67,"U+6B0A","CJK UNIFIED IDEOGRAPH-6B0A"
"第",62,"U+7B2C","CJK UNIFIED IDEOGRAPH-7B2C"
"自",62,"U+81EA","CJK UNIFIED IDEOGRAPH-81EA"
"任",61,"U+4EFB","CJK UNIFIED IDEOGRAPH-4EFB"
"受",61,"U+53D7","CJK UNIFIED IDEOGRAPH-53D7"
"不",59,"U+4E0D","CJK UNIFIED IDEOGRAPH-4E0D"
"或",56,"U+6216","CJK UNIFIED IDEOGRAPH-6216"
"在",55,"U+5728","CJK UNIFIED IDEOGRAPH-5728"
"何",53,"U+4F55","CJK UNIFIED IDEOGRAPH-4F55"
"一",46,"U+4E00","CJK UNIFIED IDEOGRAPH-4E00"
"享",46,"U+4EAB","CJK UNIFIED IDEOGRAPH-4EAB"
"他",46,"U+4ED6","CJK UNIFIED IDEOGRAPH-4ED6"
"十",46,"U+5341","CJK UNIFIED IDEOGRAPH-5341"
"以",45,"U+4EE5","CJK UNIFIED IDEOGRAPH-4EE5"
"国",42,"U+56FD","CJK UNIFIED IDEOGRAPH-56FD"
"得",41,"U+5F97","CJK UNIFIED IDEOGRAPH-5F97"
"國",37,"U+570B","CJK UNIFIED IDEOGRAPH-570B"
"行",37,"U+884C","CJK UNIFIED IDEOGRAPH-884C"
"家",36,"U+5BB6","CJK UNIFIED IDEOGRAPH-5BB6"
"本",36,"U+672C","CJK UNIFIED IDEOGRAPH-672C"
"教",35,"U+6559","CJK UNIFIED IDEOGRAPH-6559"
"社",34,"U+793E","CJK UNIFIED IDEOGRAPH-793E"
"所",33,"U+6240","CJK UNIFIED IDEOGRAPH-6240"
"条",33,"U+6761","CJK UNIFIED IDEOGRAPH-6761"
"條",33,"U+689D","CJK UNIFIED IDEOGRAPH-689D"
"合",31,"U+5408","CJK UNIFIED IDEOGRAPH-5408"
"平",30,"U+5E73","CJK UNIFIED IDEOGRAPH-5E73"
"二",28,"U+4E8C","CJK UNIFIED IDEOGRAPH-4E8C"
"保",28,"U+4FDD","CJK UNIFIED IDEOGRAPH-4FDD"
"其",28,"U+5176","CJK UNIFIED IDEOGRAPH-5176"
"法",28,"U+6CD5","CJK UNIFIED IDEOGRAPH-6CD5"
"生",28,"U+751F","CJK UNIFIED IDEOGRAPH-751F"
"会",26,"U+4F1A","CJK UNIFIED IDEOGRAPH-4F1A"
"等",26,"U+7B49","CJK UNIFIED IDEOGRAPH-7B49"
"言",25,"U+8A00","CJK UNIFIED IDEOGRAPH-8A00"
"各",23,"U+5404","CJK UNIFIED IDEOGRAPH-5404"
"宣",23,"U+5BA3","CJK UNIFIED IDEOGRAPH-5BA3"
"會",23,"U+6703","CJK UNIFIED IDEOGRAPH-6703"
"而",23,"U+800C","CJK UNIFIED IDEOGRAPH-800C"
"作",22,"U+4F5C","CJK UNIFIED IDEOGRAPH-4F5C"
"并",21,"U+5E76","CJK UNIFIED IDEOGRAPH-5E76"
"为",20,"U+4E3A","CJK UNIFIED IDEOGRAPH-4E3A"
"並",19,"U+4E26","CJK UNIFIED IDEOGRAPH-4E26"
"為",19,"U+70BA","CJK UNIFIED IDEOGRAPH-70BA"
"育",19,"U+80B2","CJK UNIFIED IDEOGRAPH-80B2"
"律",18,"U+5F8B","CJK UNIFIED IDEOGRAPH-5F8B"
"对",17,"U+5BF9","CJK UNIFIED IDEOGRAPH-5BF9"
"尊",17,"U+5C0A","CJK UNIFIED IDEOGRAPH-5C0A"
"對",17,"U+5C0D","CJK UNIFIED IDEOGRAPH-5C0D"
"应",17,"U+5E94","CJK UNIFIED IDEOGRAPH-5E94"
"意",17,"U+610F","CJK UNIFIED IDEOGRAPH-610F"
"應",17,"U+61C9","CJK UNIFIED IDEOGRAPH-61C9"
"通",17,"U+901A","CJK UNIFIED IDEOGRAPH-901A"
"于",16,"U+4E8E","CJK UNIFIED IDEOGRAPH-4E8E"
"使",16,"U+4F7F","CJK UNIFIED IDEOGRAPH-4F7F"
"公",16,"U+516C","CJK UNIFIED IDEOGRAPH-516C"
"基",16,"U+57FA","CJK UNIFIED IDEOGRAPH-57FA"
"宗",16,"U+5B97","CJK UNIFIED IDEOGRAPH-5B97"
"性",16,"U+6027","CJK UNIFIED IDEOGRAPH-6027"
"要",16,"U+8981","CJK UNIFIED IDEOGRAPH-8981"
"分",15,"U+5206","CJK UNIFIED IDEOGRAPH-5206"
"加",15,"U+52A0","CJK UNIFIED IDEOGRAPH-52A0"
"同",15,"U+540C","CJK UNIFIED IDEOGRAPH-540C"
"於",15,"U+65BC","CJK UNIFIED IDEOGRAPH-65BC"
"刑",14,"U+5211","CJK UNIFIED IDEOGRAPH-5211"
"及",14,"U+53CA","CJK UNIFIED IDEOGRAPH-53CA"
"婚",14,"U+5A5A","CJK UNIFIED IDEOGRAPH-5A5A"
"定",14,"U+5B9A","CJK UNIFIED IDEOGRAPH-5B9A"
"普",14,"U+666E","CJK UNIFIED IDEOGRAPH-666E"
"正",14,"U+6B63","CJK UNIFIED IDEOGRAPH-6B63"
"民",14,"U+6C11","CJK UNIFIED IDEOGRAPH-6C11"
"活",14,"U+6D3B","CJK UNIFIED IDEOGRAPH-6D3B"
"重",14,"U+91CD","CJK UNIFIED IDEOGRAPH-91CD"
"制",13,"U+5236","CJK UNIFIED IDEOGRAPH-5236"
"种",13,"U+79CD","CJK UNIFIED IDEOGRAPH-79CD"
"種",13,"U+7A2E","CJK UNIFIED IDEOGRAPH-7A2E"
"这",13,"U+8FD9","CJK UNIFIED IDEOGRAPH-8FD9"
"个",12,"U+4E2A","CJK UNIFIED IDEOGRAPH-4E2A"
"中",12,"U+4E2D","CJK UNIFIED IDEOGRAPH-4E2D"
"促",12,"U+4FC3","CJK UNIFIED IDEOGRAPH-4FC3"
"個",12,"U+500B","CJK UNIFIED IDEOGRAPH-500B"
"免",12,"U+514D","CJK UNIFIED IDEOGRAPH-514D"
"工",12,"U+5DE5","CJK UNIFIED IDEOGRAPH-5DE5"
"庭",12,"U+5EAD","CJK UNIFIED IDEOGRAPH-5EAD"
"成",12,"U+6210","CJK UNIFIED IDEOGRAPH-6210"
"此",12,"U+6B64","CJK UNIFIED IDEOGRAPH-6B64"
"罪",12,"U+7F6A","CJK UNIFIED IDEOGRAPH-7F6A"
"进",12,"U+8FDB","CJK UNIFIED IDEOGRAPH-8FDB"
"這",12,"U+9019","CJK UNIFIED IDEOGRAPH-9019"
"進",12,"U+9032","CJK UNIFIED IDEOGRAPH-9032"
"遍",12,"U+904D","CJK UNIFIED IDEOGRAPH-904D"
"展",11,"U+5C55","CJK UNIFIED IDEOGRAPH-5C55"
"护",11,"U+62A4","CJK UNIFIED IDEOGRAPH-62A4"
"政",11,"U+653F","CJK UNIFIED IDEOGRAPH-653F"
"治",11,"U+6CBB","CJK UNIFIED IDEOGRAPH-6CBB"
"界",11,"U+754C","CJK UNIFIED IDEOGRAPH-754C"
"護",11,"U+8B77","CJK UNIFIED IDEOGRAPH-8B77"
"下",10,"U+4E0B","CJK UNIFIED IDEOGRAPH-4E0B"
"予",10,"U+4E88","CJK UNIFIED IDEOGRAPH-4E88"
"信",10,"U+4FE1","CJK UNIFIED IDEOGRAPH-4FE1"
"切",10,"U+5207","CJK UNIFIED IDEOGRAPH-5207"
"力",10,"U+529B","CJK UNIFIED IDEOGRAPH-529B"
"包",10,"U+5305","CJK UNIFIED IDEOGRAPH-5305"
"大",10,"U+5927","CJK UNIFIED IDEOGRAPH-5927"
"已",10,"U+5DF2","CJK UNIFIED IDEOGRAPH-5DF2"
"序",10,"U+5E8F","CJK UNIFIED IDEOGRAPH-5E8F"
"必",10,"U+5FC5","CJK UNIFIED IDEOGRAPH-5FC5"
"括",10,"U+62EC","CJK UNIFIED IDEOGRAPH-62EC"
"方",10,"U+65B9","CJK UNIFIED IDEOGRAPH-65B9"
"格",10,"U+683C","CJK UNIFIED IDEOGRAPH-683C"
"籍",10,"U+7C4D","CJK UNIFIED IDEOGRAPH-7C4D"
"能",10,"U+80FD","CJK UNIFIED IDEOGRAPH-80FD"
"被",10,"U+88AB","CJK UNIFIED IDEOGRAPH-88AB"
"解",10,"U+89E3","CJK UNIFIED IDEOGRAPH-89E3"
"世",9,"U+4E16","CJK UNIFIED IDEOGRAPH-4E16"
"情",9,"U+60C5","CJK UNIFIED IDEOGRAPH-60C5"
"文",9,"U+6587","CJK UNIFIED IDEOGRAPH-6587"
"是",9,"U+662F","CJK UNIFIED IDEOGRAPH-662F"
"限",9,"U+9650","CJK UNIFIED IDEOGRAPH-9650"
