"Grapheme","Frequency","Codepoint","UnicodeName"
"a",28395,"U+0061","LATIN SMALL LETTER A"
"n",14238,"U+006E","LATIN SMALL LETTER N"
"r",12759,"U+0072","LATIN SMALL LETTER R"
"u",12381,"U+0075","LATIN SMALL LETTER U"
"i",9585,"U+0069","LATIN SMALL LETTER I"
"k",8370,"U+006B","LATIN SMALL LETTER K"
"p",6324,"U+0070","LATIN SMALL LETTER P"
"t",5940,"U+0074","LATIN SMALL LETTER T"
"y",5557,"U+0079","LATIN SMALL LETTER Y"
"l",5257,"U+006C","LATIN SMALL LETTER L"
"g",5155,"U+0067","LATIN SMALL LETTER G"
"w",4891,"U+0077","LATIN SMALL LETTER W"
"m",3948,"U+006D","LATIN SMALL LETTER M"
"j",2405,"U+006A","LATIN SMALL LETTER J"
"e",1632,"U+0065","LATIN SMALL LETTER E"
".",1353,"U+002E","FULL STOP"
"s",1147,"U+0073","LATIN SMALL LETTER S"
"J",702,"U+004A","LATIN CAPITAL LETTER J"
",",677,"U+002C","COMMA"
"o",601,"U+006F","LATIN SMALL LETTER O"
"M",505,"U+004D","LATIN CAPITAL LETTER M"
"K",480,"U+004B","LATIN CAPITAL LETTER K"
"d",386,"U+0064","LATIN SMALL LETTER D"
"L",376,"U+004C","LATIN CAPITAL LETTER L"
"“",335,"U+201C","LEFT DOUBLE QUOTATION MARK"
"”",331,"U+201D","RIGHT DOUBLE QUOTATION MARK"
"G",326,"U+0047","LATIN CAPITAL LETTER G"
"N",270,"U+004E","LATIN CAPITAL LETTER N"
"!",149,"U+0021","EXCLAMATION MARK"
"h",131,"U+0068","LATIN SMALL LETTER H"
"P",131,"U+0050","LATIN CAPITAL LETTER P"
"W",131,"U+0057","LATIN CAPITAL LETTER W"
"?",112,"U+003F","QUESTION MARK"
"A",84,"U+0041","LATIN CAPITAL LETTER A"
"Y",75,"U+0059","LATIN CAPITAL LETTER Y"
"T",66,"U+0054","LATIN CAPITAL LETTER T"
"‘",48,"U+2018","LEFT SINGLE QUOTATION MARK"
"’",47,"U+2019","RIGHT SINGLE QUOTATION MARK"
"-",43,"U+002D","HYPHEN-MINUS"
"S",37,"U+0053","LATIN CAPITAL LETTER S"
"I",29,"U+0049","LATIN CAPITAL LETTER I"
"v",28,"U+0076","LATIN SMALL LETTER V"
"H",26,"U+0048","LATIN CAPITAL LETTER H"
"0",22,"U+0030","DIGIT ZERO"
":",19,"U+003A","COLON"
"b",19,"U+0062","LATIN SMALL LETTER B"
"E",18,"U+0045","LATIN CAPITAL LETTER E"
"R",17,"U+0052","LATIN CAPITAL LETTER R"
"B",16,"U+0042","LATIN CAPITAL LETTER B"
"1",15,"U+0031","DIGIT ONE"
"D",15,"U+0044","LATIN CAPITAL LETTER D"
"c",14,"U+0063","LATIN SMALL LETTER C"
"2",12,"U+0032","DIGIT TWO"
"C",12,"U+0043","LATIN CAPITAL LETTER C"
"(",10,"U+0028","LEFT PARENTHESIS"
")",10,"U+0029","RIGHT PARENTHESIS"
"z",8,"U+007A","LATIN SMALL LETTER Z"
"x",6,"U+0078","LATIN SMALL LETTER X"
"O",5,"U+004F","LATIN CAPITAL LETTER O"
"Z",4,"U+005A","LATIN CAPITAL LETTER Z"
"4",3,"U+0034","DIGIT FOUR"
"5",3,"U+0035","DIGIT FIVE"
"3",2,"U+0033","DIGIT THREE"
"6",1,"U+0036","DIGIT SIX"
"f",1,"U+0066","LATIN SMALL LETTER F"
"ꞌ",1,"U+A78C","LATIN SMALL LETTER SALTILLO"
