"Grapheme","Frequency","Codepoint","UnicodeName"
"a",213910,"U+0061","LATIN SMALL LETTER A"
"i",116518,"U+0069","LATIN SMALL LETTER I"
"n",72177,"U+006E","LATIN SMALL LETTER N"
"e",62518,"U+0065","LATIN SMALL LETTER E"
"u",55699,"U+0075","LATIN SMALL LETTER U"
"t",51753,"U+0074","LATIN SMALL LETTER T"
"s",38795,"U+0073","LATIN SMALL LETTER S"
"h",35980,"U+0068","LATIN SMALL LETTER H"
"o",35877,"U+006F","LATIN SMALL LETTER O"
"r",34170,"U+0072","LATIN SMALL LETTER R"
"m",32880,"U+006D","LATIN SMALL LETTER M"
"d",31736,"U+0064","LATIN SMALL LETTER D"
"k",28085,"U+006B","LATIN SMALL LETTER K"
"b",25035,"U+0062","LATIN SMALL LETTER B"
"l",18485,"U+006C","LATIN SMALL LETTER L"
"y",18269,"U+0079","LATIN SMALL LETTER Y"
"f",17860,"U+0066","LATIN SMALL LETTER F"
",",16556,"U+002C","COMMA"
"g",15133,"U+0067","LATIN SMALL LETTER G"
"j",13648,"U+006A","LATIN SMALL LETTER J"
"w",8474,"U+0077","LATIN SMALL LETTER W"
".",7456,"U+002E","FULL STOP"
"c",6621,"U+0063","LATIN SMALL LETTER C"
"q",6080,"U+0071","LATIN SMALL LETTER Q"
"Y",2896,"U+0059","LATIN CAPITAL LETTER Y"
";",2815,"U+003B","SEMICOLON"
"'",2709,"U+0027","APOSTROPHE"
"A",2371,"U+0041","LATIN CAPITAL LETTER A"
"R",2232,"U+0052","LATIN CAPITAL LETTER R"
"“",2175,"U+201C","LEFT DOUBLE QUOTATION MARK"
"”",2060,"U+201D","RIGHT DOUBLE QUOTATION MARK"
"!",1881,"U+0021","EXCLAMATION MARK"
"I",1820,"U+0049","LATIN CAPITAL LETTER I"
"K",1523,"U+004B","LATIN CAPITAL LETTER K"
"x",1256,"U+0078","LATIN SMALL LETTER X"
"G",1180,"U+0047","LATIN CAPITAL LETTER G"
"N",1137,"U+004E","LATIN CAPITAL LETTER N"
"?",1048,"U+003F","QUESTION MARK"
"H",959,"U+0048","LATIN CAPITAL LETTER H"
"M",957,"U+004D","LATIN CAPITAL LETTER M"
"W",896,"U+0057","LATIN CAPITAL LETTER W"
"B",702,"U+0042","LATIN CAPITAL LETTER B"
"S",689,"U+0053","LATIN CAPITAL LETTER S"
"E",580,"U+0045","LATIN CAPITAL LETTER E"
"P",547,"U+0050","LATIN CAPITAL LETTER P"
"p",538,"U+0070","LATIN SMALL LETTER P"
"D",533,"U+0044","LATIN CAPITAL LETTER D"
"Q",532,"U+0051","LATIN CAPITAL LETTER Q"
"z",484,"U+007A","LATIN SMALL LETTER Z"
"’",424,"U+2019","RIGHT SINGLE QUOTATION MARK"
"‘",423,"U+2018","LEFT SINGLE QUOTATION MARK"
"-",340,"U+002D","HYPHEN-MINUS"
"F",306,"U+0046","LATIN CAPITAL LETTER F"
"T",206,"U+0054","LATIN CAPITAL LETTER T"
"J",185,"U+004A","LATIN CAPITAL LETTER J"
"L",158,"U+004C","LATIN CAPITAL LETTER L"
"O",134,"U+004F","LATIN CAPITAL LETTER O"
"U",109,"U+0055","LATIN CAPITAL LETTER U"
"X",100,"U+0058","LATIN CAPITAL LETTER X"
"Z",87,"U+005A","LATIN CAPITAL LETTER Z"
"[",43,"U+005B","LEFT SQUARE BRACKET"
"]",42,"U+005D","RIGHT SQUARE BRACKET"
"C",36,"U+0043","LATIN CAPITAL LETTER C"
":",10,"U+003A","COLON"
"(",2,"U+0028","LEFT PARENTHESIS"
")",2,"U+0029","RIGHT PARENTHESIS"
