"Grapheme","Frequency","Codepoint","UnicodeName"
"a",268027,"U+0061","LATIN SMALL LETTER A"
"i",121120,"U+0069","LATIN SMALL LETTER I"
"c",103545,"U+0063","LATIN SMALL LETTER C"
"u",98972,"U+0075","LATIN SMALL LETTER U"
"n",91082,"U+006E","LATIN SMALL LETTER N"
"h",86641,"U+0068","LATIN SMALL LETTER H"
"s",60785,"U+0073","LATIN SMALL LETTER S"
"p",49638,"U+0070","LATIN SMALL LETTER P"
"t",41121,"U+0074","LATIN SMALL LETTER T"
"m",40475,"U+006D","LATIN SMALL LETTER M"
"r",39372,"U+0072","LATIN SMALL LETTER R"
"j",36107,"U+006A","LATIN SMALL LETTER J"
"l",35471,"U+006C","LATIN SMALL LETTER L"
",",23977,"U+002C","COMMA"
"g",17532,"U+0067","LATIN SMALL LETTER G"
".",14940,"U+002E","FULL STOP"
"d",10261,"U+0064","LATIN SMALL LETTER D"
"e",9240,"U+0065","LATIN SMALL LETTER E"
"o",9012,"U+006F","LATIN SMALL LETTER O"
"y",8550,"U+0079","LATIN SMALL LETTER Y"
"ñ",5862,"U+00F1","LATIN SMALL LETTER N WITH TILDE"
"C",5597,"U+0043","LATIN CAPITAL LETTER C"
"q",4292,"U+0071","LATIN SMALL LETTER Q"
"b",4042,"U+0062","LATIN SMALL LETTER B"
"S",3916,"U+0053","LATIN CAPITAL LETTER S"
"J",3801,"U+004A","LATIN CAPITAL LETTER J"
"D",3312,"U+0044","LATIN CAPITAL LETTER D"
"v",2759,"U+0076","LATIN SMALL LETTER V"
":",2750,"U+003A","COLON"
"A",2736,"U+0041","LATIN CAPITAL LETTER A"
"—",2721,"U+2014","EM DASH"
"P",2490,"U+0050","LATIN CAPITAL LETTER P"
"T",2039,"U+0054","LATIN CAPITAL LETTER T"
"Ñ",1119,"U+00D1","LATIN CAPITAL LETTER N WITH TILDE"
"f",1076,"U+0066","LATIN SMALL LETTER F"
"¿",1053,"U+00BF","INVERTED QUESTION MARK"
"?",1052,"U+003F","QUESTION MARK"
"z",1011,"U+007A","LATIN SMALL LETTER Z"
"M",889,"U+004D","LATIN CAPITAL LETTER M"
"I",687,"U+0049","LATIN CAPITAL LETTER I"
"N",684,"U+004E","LATIN CAPITAL LETTER N"
"“",566,"U+201C","LEFT DOUBLE QUOTATION MARK"
"”",566,"U+201D","RIGHT DOUBLE QUOTATION MARK"
"E",554,"U+0045","LATIN CAPITAL LETTER E"
"‘",475,"U+2018","LEFT SINGLE QUOTATION MARK"
"’",474,"U+2019","RIGHT SINGLE QUOTATION MARK"
"ú",459,"U+00FA","LATIN SMALL LETTER U WITH ACUTE"
"H",435,"U+0048","LATIN CAPITAL LETTER H"
"R",314,"U+0052","LATIN CAPITAL LETTER R"
"í",312,"U+00ED","LATIN SMALL LETTER I WITH ACUTE"
"Q",292,"U+0051","LATIN CAPITAL LETTER Q"
"L",208,"U+004C","LATIN CAPITAL LETTER L"
"á",202,"U+00E1","LATIN SMALL LETTER A WITH ACUTE"
"ó",196,"U+00F3","LATIN SMALL LETTER O WITH ACUTE"
"B",188,"U+0042","LATIN CAPITAL LETTER B"
"G",186,"U+0047","LATIN CAPITAL LETTER G"
"¡",178,"U+00A1","INVERTED EXCLAMATION MARK"
"!",177,"U+0021","EXCLAMATION MARK"
"é",155,"U+00E9","LATIN SMALL LETTER E WITH ACUTE"
"F",134,"U+0046","LATIN CAPITAL LETTER F"
"Y",127,"U+0059","LATIN CAPITAL LETTER Y"
"U",102,"U+0055","LATIN CAPITAL LETTER U"
"(",58,"U+0028","LEFT PARENTHESIS"
")",58,"U+0029","RIGHT PARENTHESIS"
"Z",51,"U+005A","LATIN CAPITAL LETTER Z"
"V",37,"U+0056","LATIN CAPITAL LETTER V"
"O",35,"U+004F","LATIN CAPITAL LETTER O"
"'",19,"U+0027","APOSTROPHE"
"x",15,"U+0078","LATIN SMALL LETTER X"
"k",9,"U+006B","LATIN SMALL LETTER K"
"Ú",4,"U+00DA","LATIN CAPITAL LETTER U WITH ACUTE"
"Á",1,"U+00C1","LATIN CAPITAL LETTER A WITH ACUTE"
