"Grapheme","Frequency","Codepoint","UnicodeName"
"a",155712,"U+0061","LATIN SMALL LETTER A"
"i",89721,"U+0069","LATIN SMALL LETTER I"
"e",88931,"U+0065","LATIN SMALL LETTER E"
"n",82841,"U+006E","LATIN SMALL LETTER N"
"o",70223,"U+006F","LATIN SMALL LETTER O"
"t",53775,"U+0074","LATIN SMALL LETTER T"
"l",38646,"U+006C","LATIN SMALL LETTER L"
"g",33772,"U+0067","LATIN SMALL LETTER G"
"s",32415,"U+0073","LATIN SMALL LETTER S"
"k",29416,"U+006B","LATIN SMALL LETTER K"
"b",26581,"U+0062","LATIN SMALL LETTER B"
"m",21792,"U+006D","LATIN SMALL LETTER M"
"y",21226,"U+0079","LATIN SMALL LETTER Y"
"u",20526,"U+0075","LATIN SMALL LETTER U"
"z",15922,"U+007A","LATIN SMALL LETTER Z"
"d",15891,"U+0064","LATIN SMALL LETTER D"
"p",15414,"U+0070","LATIN SMALL LETTER P"
"r",15393,"U+0072","LATIN SMALL LETTER R"
",",14864,"U+002C","COMMA"
".",9802,"U+002E","FULL STOP"
"ë",6781,"U+00EB","LATIN SMALL LETTER E WITH DIAERESIS"
"N",4984,"U+004E","LATIN CAPITAL LETTER N"
"w",4777,"U+0077","LATIN SMALL LETTER W"
"f",4470,"U+0066","LATIN SMALL LETTER F"
"h",4019,"U+0068","LATIN SMALL LETTER H"
"A",3462,"U+0041","LATIN CAPITAL LETTER A"
"M",3085,"U+004D","LATIN CAPITAL LETTER M"
":",2957,"U+003A","COLON"
"J",2417,"U+004A","LATIN CAPITAL LETTER J"
"â",2163,"U+00E2","LATIN SMALL LETTER A WITH CIRCUMFLEX"
"é",2128,"U+00E9","LATIN SMALL LETTER E WITH ACUTE"
"“",2100,"U+201C","LEFT DOUBLE QUOTATION MARK"
"T",2040,"U+0054","LATIN CAPITAL LETTER T"
"-",2004,"U+002D","HYPHEN-MINUS"
"”",1982,"U+201D","RIGHT DOUBLE QUOTATION MARK"
";",1609,"U+003B","SEMICOLON"
"!",1310,"U+0021","EXCLAMATION MARK"
"K",1202,"U+004B","LATIN CAPITAL LETTER K"
"S",1176,"U+0053","LATIN CAPITAL LETTER S"
"ö",1164,"U+00F6","LATIN SMALL LETTER O WITH DIAERESIS"
"G",1093,"U+0047","LATIN CAPITAL LETTER G"
"L",1081,"U+004C","LATIN CAPITAL LETTER L"
"B",1074,"U+0042","LATIN CAPITAL LETTER B"
"?",1058,"U+003F","QUESTION MARK"
"v",747,"U+0076","LATIN SMALL LETTER V"
"P",690,"U+0050","LATIN CAPITAL LETTER P"
"C",675,"U+0043","LATIN CAPITAL LETTER C"
"Z",616,"U+005A","LATIN CAPITAL LETTER Z"
"Y",612,"U+0059","LATIN CAPITAL LETTER Y"
"E",547,"U+0045","LATIN CAPITAL LETTER E"
"F",448,"U+0046","LATIN CAPITAL LETTER F"
"’",443,"U+2019","RIGHT SINGLE QUOTATION MARK"
"‘",440,"U+2018","LEFT SINGLE QUOTATION MARK"
"ê",209,"U+00EA","LATIN SMALL LETTER E WITH CIRCUMFLEX"
"I",187,"U+0049","LATIN CAPITAL LETTER I"
"W",175,"U+0057","LATIN CAPITAL LETTER W"
"ï",149,"U+00EF","LATIN SMALL LETTER I WITH DIAERESIS"
"D",147,"U+0044","LATIN CAPITAL LETTER D"
"V",147,"U+0056","LATIN CAPITAL LETTER V"
"c",138,"U+0063","LATIN SMALL LETTER C"
"H",111,"U+0048","LATIN CAPITAL LETTER H"
"R",95,"U+0052","LATIN CAPITAL LETTER R"
"É",83,"U+00C9","LATIN CAPITAL LETTER E WITH ACUTE"
"—",71,"U+2014","EM DASH"
"O",64,"U+004F","LATIN CAPITAL LETTER O"
"ô",63,"U+00F4","LATIN SMALL LETTER O WITH CIRCUMFLEX"
"q",41,"U+0071","LATIN SMALL LETTER Q"
"[",27,"U+005B","LEFT SQUARE BRACKET"
"]",27,"U+005D","RIGHT SQUARE BRACKET"
"x",18,"U+0078","LATIN SMALL LETTER X"
"U",11,"U+0055","LATIN CAPITAL LETTER U"
"Ê",7,"U+00CA","LATIN CAPITAL LETTER E WITH CIRCUMFLEX"
"(",6,"U+0028","LEFT PARENTHESIS"
")",6,"U+0029","RIGHT PARENTHESIS"
"Â",6,"U+00C2","LATIN CAPITAL LETTER A WITH CIRCUMFLEX"
"è",6,"U+00E8","LATIN SMALL LETTER E WITH GRAVE"
"j",4,"U+006A","LATIN SMALL LETTER J"
"î",2,"U+00EE","LATIN SMALL LETTER I WITH CIRCUMFLEX"
