"Grapheme","Frequency","Codepoint","UnicodeName"
"n",914,"U+006E","LATIN SMALL LETTER N"
"a",844,"U+0061","LATIN SMALL LETTER A"
"î",572,"U+00EE","LATIN SMALL LETTER I WITH CIRCUMFLEX"
"t",537,"U+0074","LATIN SMALL LETTER T"
"g",514,"U+0067","LATIN SMALL LETTER G"
"l",322,"U+006C","LATIN SMALL LETTER L"
"o",306,"U+006F","LATIN SMALL LETTER O"
"ö",303,"U+00F6","LATIN SMALL LETTER O WITH DIAERESIS"
"b",287,"U+0062","LATIN SMALL LETTER B"
"â",259,"U+00E2","LATIN SMALL LETTER A WITH CIRCUMFLEX"
"k",258,"U+006B","LATIN SMALL LETTER K"
"ê",232,"U+00EA","LATIN SMALL LETTER E WITH CIRCUMFLEX"
"e",231,"U+0065","LATIN SMALL LETTER E"
"ë",211,"U+00EB","LATIN SMALL LETTER E WITH DIAERESIS"
"r",208,"U+0072","LATIN SMALL LETTER R"
"d",188,"U+0064","LATIN SMALL LETTER D"
"s",187,"U+0073","LATIN SMALL LETTER S"
"ä",161,"U+00E4","LATIN SMALL LETTER A WITH DIAERESIS"
"i",155,"U+0069","LATIN SMALL LETTER I"
"m",148,"U+006D","LATIN SMALL LETTER M"
"ô",148,"U+00F4","LATIN SMALL LETTER O WITH CIRCUMFLEX"
"p",122,"U+0070","LATIN SMALL LETTER P"
"ï",120,"U+00EF","LATIN SMALL LETTER I WITH DIAERESIS"
"û",106,"U+00FB","LATIN SMALL LETTER U WITH CIRCUMFLEX"
"z",100,"U+007A","LATIN SMALL LETTER Z"
"u",94,"U+0075","LATIN SMALL LETTER U"
"w",84,"U+0077","LATIN SMALL LETTER W"
"y",80,"U+0079","LATIN SMALL LETTER Y"
",",79,"U+002C","COMMA"
".",75,"U+002E","FULL STOP"
"ü",72,"U+00FC","LATIN SMALL LETTER U WITH DIAERESIS"
"A",40,"U+0041","LATIN CAPITAL LETTER A"
"S",33,"U+0053","LATIN CAPITAL LETTER S"
"f",26,"U+0066","LATIN SMALL LETTER F"
"Z",21,"U+005A","LATIN CAPITAL LETTER Z"
"h",19,"U+0068","LATIN SMALL LETTER H"
"N",16,"U+004E","LATIN CAPITAL LETTER N"
"1",13,"U+0031","DIGIT ONE"
"2",13,"U+0032","DIGIT TWO"
"v",10,"U+0076","LATIN SMALL LETTER V"
"T",8,"U+0054","LATIN CAPITAL LETTER T"
"-",7,"U+002D","HYPHEN-MINUS"
"K",6,"U+004B","LATIN CAPITAL LETTER K"
"Ö",6,"U+00D6","LATIN CAPITAL LETTER O WITH DIAERESIS"
"D",5,"U+0044","LATIN CAPITAL LETTER D"
"L",5,"U+004C","LATIN CAPITAL LETTER L"
"3",4,"U+0033","DIGIT THREE"
"P",4,"U+0050","LATIN CAPITAL LETTER P"
"0",3,"U+0030","DIGIT ZERO"
"4",3,"U+0034","DIGIT FOUR"
"5",3,"U+0035","DIGIT FIVE"
"6",3,"U+0036","DIGIT SIX"
"7",3,"U+0037","DIGIT SEVEN"
"8",3,"U+0038","DIGIT EIGHT"
"9",3,"U+0039","DIGIT NINE"
";",2,"U+003B","SEMICOLON"
"Ä",2,"U+00C4","LATIN CAPITAL LETTER A WITH DIAERESIS"
"E",2,"U+0045","LATIN CAPITAL LETTER E"
"Ê",2,"U+00CA","LATIN CAPITAL LETTER E WITH CIRCUMFLEX"
"Î",2,"U+00CE","LATIN CAPITAL LETTER I WITH CIRCUMFLEX"
"Ï",2,"U+00CF","LATIN CAPITAL LETTER I WITH DIAERESIS"
"M",2,"U+004D","LATIN CAPITAL LETTER M"
"R",2,"U+0052","LATIN CAPITAL LETTER R"
"B",1,"U+0042","LATIN CAPITAL LETTER B"
"é",1,"U+00E9","LATIN SMALL LETTER E WITH ACUTE"
"F",1,"U+0046","LATIN CAPITAL LETTER F"
"G",1,"U+0047","LATIN CAPITAL LETTER G"
"I",1,"U+0049","LATIN CAPITAL LETTER I"
"O",1,"U+004F","LATIN CAPITAL LETTER O"
