"Grapheme","Frequency","Codepoint","UnicodeName"
"a",275776,"U+0061","LATIN SMALL LETTER A"
"ö",132289,"U+00F6","LATIN SMALL LETTER O WITH DIAERESIS"
"i",130368,"U+0069","LATIN SMALL LETTER I"
"t",108244,"U+0074","LATIN SMALL LETTER T"
"k",81002,"U+006B","LATIN SMALL LETTER K"
"p",79525,"U+0070","LATIN SMALL LETTER P"
"o",79012,"U+006F","LATIN SMALL LETTER O"
"n",72283,"U+006E","LATIN SMALL LETTER N"
"u",71237,"U+0075","LATIN SMALL LETTER U"
"s",70551,"U+0073","LATIN SMALL LETTER S"
"m",61094,"U+006D","LATIN SMALL LETTER M"
"l",42501,"U+006C","LATIN SMALL LETTER L"
",",39960,"U+002C","COMMA"
"e",37132,"U+0065","LATIN SMALL LETTER E"
"h",35708,"U+0068","LATIN SMALL LETTER H"
"ä",33865,"U+00E4","LATIN SMALL LETTER A WITH DIAERESIS"
"ĩ",31878,"U+0129","LATIN SMALL LETTER I WITH TILDE"
"w",27203,"U+0077","LATIN SMALL LETTER W"
".",16871,"U+002E","FULL STOP"
"'",11748,"U+0027","APOSTROPHE"
"T",8821,"U+0054","LATIN CAPITAL LETTER T"
"!",8353,"U+0021","EXCLAMATION MARK"
"J",6656,"U+004A","LATIN CAPITAL LETTER J"
"Ĩ",6466,"U+0128","LATIN CAPITAL LETTER I WITH TILDE"
"õ",3463,"U+00F5","LATIN SMALL LETTER O WITH TILDE"
"A",3129,"U+0041","LATIN CAPITAL LETTER A"
"P",2962,"U+0050","LATIN CAPITAL LETTER P"
"ã",2838,"U+00E3","LATIN SMALL LETTER A WITH TILDE"
"S",2725,"U+0053","LATIN CAPITAL LETTER S"
"K",2532,"U+004B","LATIN CAPITAL LETTER K"
"“",2503,"U+201C","LEFT DOUBLE QUOTATION MARK"
"”",2503,"U+201D","RIGHT DOUBLE QUOTATION MARK"
"r",2119,"U+0072","LATIN SMALL LETTER R"
"ö̃",2113,"U+00F6, U+0303","LATIN SMALL LETTER O WITH DIAERESIS, COMBINING TILDE"
"M",1996,"U+004D","LATIN CAPITAL LETTER M"
"W",1574,"U+0057","LATIN CAPITAL LETTER W"
"H",1435,"U+0048","LATIN CAPITAL LETTER H"
"C",1411,"U+0043","LATIN CAPITAL LETTER C"
"é",1024,"U+00E9","LATIN SMALL LETTER E WITH ACUTE"
"?",1007,"U+003F","QUESTION MARK"
"j",935,"U+006A","LATIN SMALL LETTER J"
"I",713,"U+0049","LATIN CAPITAL LETTER I"
"Ö",664,"U+00D6","LATIN CAPITAL LETTER O WITH DIAERESIS"
"ẽ",588,"U+1EBD","LATIN SMALL LETTER E WITH TILDE"
"d",419,"U+0064","LATIN SMALL LETTER D"
"E",360,"U+0045","LATIN CAPITAL LETTER E"
"0",339,"U+0030","DIGIT ZERO"
"N",312,"U+004E","LATIN CAPITAL LETTER N"
"‘",296,"U+2018","LEFT SINGLE QUOTATION MARK"
"’",296,"U+2019","RIGHT SINGLE QUOTATION MARK"
":",272,"U+003A","COLON"
"á",225,"U+00E1","LATIN SMALL LETTER A WITH ACUTE"
"b",181,"U+0062","LATIN SMALL LETTER B"
"ó",173,"U+00F3","LATIN SMALL LETTER O WITH ACUTE"
"1",170,"U+0031","DIGIT ONE"
"v",154,"U+0076","LATIN SMALL LETTER V"
"L",144,"U+004C","LATIN CAPITAL LETTER L"
"ô",135,"U+00F4","LATIN SMALL LETTER O WITH CIRCUMFLEX"
"O",131,"U+004F","LATIN CAPITAL LETTER O"
"í",120,"U+00ED","LATIN SMALL LETTER I WITH ACUTE"
"D",116,"U+0044","LATIN CAPITAL LETTER D"
"2",107,"U+0032","DIGIT TWO"
"7",97,"U+0037","DIGIT SEVEN"
"4",79,"U+0034","DIGIT FOUR"
"U",79,"U+0055","LATIN CAPITAL LETTER U"
"Ã",78,"U+00C3","LATIN CAPITAL LETTER A WITH TILDE"
"3",71,"U+0033","DIGIT THREE"
"5",63,"U+0035","DIGIT FIVE"
"c",57,"U+0063","LATIN SMALL LETTER C"
"F",57,"U+0046","LATIN CAPITAL LETTER F"
"g",52,"U+0067","LATIN SMALL LETTER G"
"ũ",52,"U+0169","LATIN SMALL LETTER U WITH TILDE"
"ê",47,"U+00EA","LATIN SMALL LETTER E WITH CIRCUMFLEX"
"6",35,"U+0036","DIGIT SIX"
"Õ",27,"U+00D5","LATIN CAPITAL LETTER O WITH TILDE"
"ú",26,"U+00FA","LATIN SMALL LETTER U WITH ACUTE"
"Ö̃",22,"U+00D6, U+0303","LATIN CAPITAL LETTER O WITH DIAERESIS, COMBINING TILDE"
"]",20,"U+005D","RIGHT SQUARE BRACKET"
"[",19,"U+005B","LEFT SQUARE BRACKET"
"â",19,"U+00E2","LATIN SMALL LETTER A WITH CIRCUMFLEX"
"Á",17,"U+00C1","LATIN CAPITAL LETTER A WITH ACUTE"
"8",13,"U+0038","DIGIT EIGHT"
"Ô",5,"U+00D4","LATIN CAPITAL LETTER O WITH CIRCUMFLEX"
"9",4,"U+0039","DIGIT NINE"
"Ê",1,"U+00CA","LATIN CAPITAL LETTER E WITH CIRCUMFLEX"
