"Grapheme","Frequency","Codepoint","UnicodeName"
"e",2905219,"U+0065","LATIN SMALL LETTER E"
"a",2721262,"U+0061","LATIN SMALL LETTER A"
"o",1997929,"U+006F","LATIN SMALL LETTER O"
"s",1708791,"U+0073","LATIN SMALL LETTER S"
"n",1544905,"U+006E","LATIN SMALL LETTER N"
"r",1478903,"U+0072","LATIN SMALL LETTER R"
"i",1271352,"U+0069","LATIN SMALL LETTER I"
"l",1270362,"U+006C","LATIN SMALL LETTER L"
"d",1127290,"U+0064","LATIN SMALL LETTER D"
"u",969231,"U+0075","LATIN SMALL LETTER U"
"t",939580,"U+0074","LATIN SMALL LETTER T"
"c",872778,"U+0063","LATIN SMALL LETTER C"
"m",601170,"U+006D","LATIN SMALL LETTER M"
"p",531646,"U+0070","LATIN SMALL LETTER P"
",",429828,"U+002C","COMMA"
"b",341486,"U+0062","LATIN SMALL LETTER B"
".",277514,"U+002E","FULL STOP"
"g",258990,"U+0067","LATIN SMALL LETTER G"
"q",255707,"U+0071","LATIN SMALL LETTER Q"
"y",254616,"U+0079","LATIN SMALL LETTER Y"
"h",237589,"U+0068","LATIN SMALL LETTER H"
"v",221860,"U+0076","LATIN SMALL LETTER V"
"f",146214,"U+0066","LATIN SMALL LETTER F"
"í",143605,"U+00ED","LATIN SMALL LETTER I WITH ACUTE"
"á",140258,"U+00E1","LATIN SMALL LETTER A WITH ACUTE"
"ó",127231,"U+00F3","LATIN SMALL LETTER O WITH ACUTE"
"j",99778,"U+006A","LATIN SMALL LETTER J"
"z",89494,"U+007A","LATIN SMALL LETTER Z"
"é",78588,"U+00E9","LATIN SMALL LETTER E WITH ACUTE"
"—",61487,"U+2014","EM DASH"
"E",56921,"U+0045","LATIN CAPITAL LETTER E"
";",54055,"U+003B","SEMICOLON"
"ñ",48808,"U+00F1","LATIN SMALL LETTER N WITH TILDE"
"A",48261,"U+0041","LATIN CAPITAL LETTER A"
"C",39756,"U+0043","LATIN CAPITAL LETTER C"
"S",39394,"U+0053","LATIN CAPITAL LETTER S"
"P",36899,"U+0050","LATIN CAPITAL LETTER P"
"L",35006,"U+004C","LATIN CAPITAL LETTER L"
"M",32536,"U+004D","LATIN CAPITAL LETTER M"
"D",28733,"U+0044","LATIN CAPITAL LETTER D"
"x",27940,"U+0078","LATIN SMALL LETTER X"
":",23769,"U+003A","COLON"
"N",20702,"U+004E","LATIN CAPITAL LETTER N"
"1",20698,"U+0031","DIGIT ONE"
"ú",20396,"U+00FA","LATIN SMALL LETTER U WITH ACUTE"
"!",19931,"U+0021","EXCLAMATION MARK"
"¡",19374,"U+00A1","INVERTED EXCLAMATION MARK"
"?",19316,"U+003F","QUESTION MARK"
"¿",18995,"U+00BF","INVERTED QUESTION MARK"
"T",17993,"U+0054","LATIN CAPITAL LETTER T"
"[",17511,"U+005B","LEFT SQUARE BRACKET"
"]",17511,"U+005D","RIGHT SQUARE BRACKET"
"Y",17223,"U+0059","LATIN CAPITAL LETTER Y"
"V",16947,"U+0056","LATIN CAPITAL LETTER V"
"R",16441,"U+0052","LATIN CAPITAL LETTER R"
"I",15773,"U+0049","LATIN CAPITAL LETTER I"
"B",14187,"U+0042","LATIN CAPITAL LETTER B"
"2",13517,"U+0032","DIGIT TWO"
"G",12421,"U+0047","LATIN CAPITAL LETTER G"
"O",12379,"U+004F","LATIN CAPITAL LETTER O"
