"Grapheme","Frequency","Codepoint","UnicodeName"
"e",1291,"U+0065","LATIN SMALL LETTER E"
"a",1047,"U+0061","LATIN SMALL LETTER A"
"o",827,"U+006F","LATIN SMALL LETTER O"
"i",733,"U+0069","LATIN SMALL LETTER I"
"n",703,"U+006E","LATIN SMALL LETTER N"
"s",674,"U+0073","LATIN SMALL LETTER S"
"r",666,"U+0072","LATIN SMALL LETTER R"
"d",598,"U+0064","LATIN SMALL LETTER D"
"l",537,"U+006C","LATIN SMALL LETTER L"
"c",513,"U+0063","LATIN SMALL LETTER C"
"t",441,"U+0074","LATIN SMALL LETTER T"
"u",322,"U+0075","LATIN SMALL LETTER U"
"p",239,"U+0070","LATIN SMALL LETTER P"
"m",214,"U+006D","LATIN SMALL LETTER M"
",",127,"U+002C","COMMA"
"b",113,"U+0062","LATIN SMALL LETTER B"
"y",105,"U+0079","LATIN SMALL LETTER Y"
"h",98,"U+0068","LATIN SMALL LETTER H"
"ó",90,"U+00F3","LATIN SMALL LETTER O WITH ACUTE"
"g",74,"U+0067","LATIN SMALL LETTER G"
"v",69,"U+0076","LATIN SMALL LETTER V"
"f",64,"U+0066","LATIN SMALL LETTER F"
".",58,"U+002E","FULL STOP"
"í",54,"U+00ED","LATIN SMALL LETTER I WITH ACUTE"
"q",46,"U+0071","LATIN SMALL LETTER Q"
"á",39,"U+00E1","LATIN SMALL LETTER A WITH ACUTE"
"A",36,"U+0041","LATIN CAPITAL LETTER A"
"T",33,"U+0054","LATIN CAPITAL LETTER T"
"j",30,"U+006A","LATIN SMALL LETTER J"
"z",20,"U+007A","LATIN SMALL LETTER Z"
"1",16,"U+0031","DIGIT ONE"
"2",14,"U+0032","DIGIT TWO"
"N",13,"U+004E","LATIN CAPITAL LETTER N"
"ú",12,"U+00FA","LATIN SMALL LETTER U WITH ACUTE"
";",11,"U+003B","SEMICOLON"
"D",11,"U+0044","LATIN CAPITAL LETTER D"
"E",10,"U+0045","LATIN CAPITAL LETTER E"
"é",10,"U+00E9","LATIN SMALL LETTER E WITH ACUTE"
"L",10,"U+004C","LATIN CAPITAL LETTER L"
"C",8,"U+0043","LATIN CAPITAL LETTER C"
"U",7,"U+0055","LATIN CAPITAL LETTER U"
"x",7,"U+0078","LATIN SMALL LETTER X"
"0",4,"U+0030","DIGIT ZERO"
"3",4,"U+0033","DIGIT THREE"
"4",4,"U+0034","DIGIT FOUR"
"7",4,"U+0037","DIGIT SEVEN"
"8",4,"U+0038","DIGIT EIGHT"
"9",4,"U+0039","DIGIT NINE"
"5",3,"U+0035","DIGIT FIVE"
"6",3,"U+0036","DIGIT SIX"
"I",3,"U+0049","LATIN CAPITAL LETTER I"
"ñ",3,"U+00F1","LATIN SMALL LETTER N WITH TILDE"
"G",2,"U+0047","LATIN CAPITAL LETTER G"
"H",2,"U+0048","LATIN CAPITAL LETTER H"
"M",2,"U+004D","LATIN CAPITAL LETTER M"
"P",2,"U+0050","LATIN CAPITAL LETTER P"
"(",1,"U+0028","LEFT PARENTHESIS"
")",1,"U+0029","RIGHT PARENTHESIS"
"O",1,"U+004F","LATIN CAPITAL LETTER O"
"S",1,"U+0053","LATIN CAPITAL LETTER S"
