"Grapheme","Frequency","Codepoint","UnicodeName"
"a",1045096,"U+0061","LATIN SMALL LETTER A"
"n",577837,"U+006E","LATIN SMALL LETTER N"
"g",390287,"U+0067","LATIN SMALL LETTER G"
"i",364023,"U+0069","LATIN SMALL LETTER I"
"s",201608,"U+0073","LATIN SMALL LETTER S"
"t",181408,"U+0074","LATIN SMALL LETTER T"
"o",176424,"U+006F","LATIN SMALL LETTER O"
"k",161080,"U+006B","LATIN SMALL LETTER K"
"y",150760,"U+0079","LATIN SMALL LETTER Y"
"l",143883,"U+006C","LATIN SMALL LETTER L"
"m",140351,"U+006D","LATIN SMALL LETTER M"
"u",110581,"U+0075","LATIN SMALL LETTER U"
"p",98786,"U+0070","LATIN SMALL LETTER P"
"b",82696,"U+0062","LATIN SMALL LETTER B"
",",69927,"U+002C","COMMA"
"h",68772,"U+0068","LATIN SMALL LETTER H"
"d",52415,"U+0064","LATIN SMALL LETTER D"
"r",52059,"U+0072","LATIN SMALL LETTER R"
".",36196,"U+002E","FULL STOP"
"w",36090,"U+0077","LATIN SMALL LETTER W"
"e",34152,"U+0065","LATIN SMALL LETTER E"
"'",27119,"U+0027","APOSTROPHE"
"A",24748,"U+0041","LATIN CAPITAL LETTER A"
";",12703,"U+003B","SEMICOLON"
":",10662,"U+003A","COLON"
"S",10601,"U+0053","LATIN CAPITAL LETTER S"
"P",10496,"U+0050","LATIN CAPITAL LETTER P"
"D",7896,"U+0044","LATIN CAPITAL LETTER D"
"J",6292,"U+004A","LATIN CAPITAL LETTER J"
"N",6273,"U+004E","LATIN CAPITAL LETTER N"
"I",6197,"U+0049","LATIN CAPITAL LETTER I"
"M",5428,"U+004D","LATIN CAPITAL LETTER M"
"?",5022,"U+003F","QUESTION MARK"
"c",4635,"U+0063","LATIN SMALL LETTER C"
"H",3960,"U+0048","LATIN CAPITAL LETTER H"
"K",3646,"U+004B","LATIN CAPITAL LETTER K"
"-",3544,"U+002D","HYPHEN-MINUS"
"B",3405,"U+0042","LATIN CAPITAL LETTER B"
"E",3127,"U+0045","LATIN CAPITAL LETTER E"
"G",2713,"U+0047","LATIN CAPITAL LETTER G"
"O",2630,"U+004F","LATIN CAPITAL LETTER O"
"!",2405,"U+0021","EXCLAMATION MARK"
"T",2104,"U+0054","LATIN CAPITAL LETTER T"
"v",1994,"U+0076","LATIN SMALL LETTER V"
"C",1818,"U+0043","LATIN CAPITAL LETTER C"
"L",1533,"U+004C","LATIN CAPITAL LETTER L"
"z",1442,"U+007A","LATIN SMALL LETTER Z"
"R",1158,"U+0052","LATIN CAPITAL LETTER R"
"F",915,"U+0046","LATIN CAPITAL LETTER F"
")",883,"U+0029","RIGHT PARENTHESIS"
"(",879,"U+0028","LEFT PARENTHESIS"
"W",770,"U+0057","LATIN CAPITAL LETTER W"
"U",703,"U+0055","LATIN CAPITAL LETTER U"
"j",488,"U+006A","LATIN SMALL LETTER J"
"f",466,"U+0066","LATIN SMALL LETTER F"
"Z",465,"U+005A","LATIN CAPITAL LETTER Z"
"Y",363,"U+0059","LATIN CAPITAL LETTER Y"
"0",246,"U+0030","DIGIT ZERO"
"x",227,"U+0078","LATIN SMALL LETTER X"
"q",209,"U+0071","LATIN SMALL LETTER Q"
"1",150,"U+0031","DIGIT ONE"
"""",143,"U+0022","QUOTATION MARK"
"2",136,"U+0032","DIGIT TWO"
"V",107,"U+0056","LATIN CAPITAL LETTER V"
"5",60,"U+0035","DIGIT FIVE"
"4",48,"U+0034","DIGIT FOUR"
"3",47,"U+0033","DIGIT THREE"
"%",35,"U+0025","PERCENT SIGN"
"X",27,"U+0058","LATIN CAPITAL LETTER X"
"9",26,"U+0039","DIGIT NINE"
"7",24,"U+0037","DIGIT SEVEN"
"8",23,"U+0038","DIGIT EIGHT"
"♪",22,"U+266A","EIGHTH NOTE"
"6",18,"U+0036","DIGIT SIX"
"#",16,"U+0023","NUMBER SIGN"
"/",15,"U+002F","SOLIDUS"
"$",7,"U+0024","DOLLAR SIGN"
"Q",7,"U+0051","LATIN CAPITAL LETTER Q"
"[",1,"U+005B","LEFT SQUARE BRACKET"
"]",1,"U+005D","RIGHT SQUARE BRACKET"
"*",1,"U+002A","ASTERISK"
"\",1,"U+005C","REVERSE SOLIDUS"
"ñ",1,"U+00F1","LATIN SMALL LETTER N WITH TILDE"
