"Grapheme","Frequency","Codepoint","UnicodeName"
"า",1419609,"U+0E32","THAI CHARACTER SARA AA"
"น",1132017,"U+0E19","THAI CHARACTER NO NU"
"เ",1104967,"U+0E40","THAI CHARACTER SARA E"
"อ",1097275,"U+0E2D","THAI CHARACTER O ANG"
"ง",781232,"U+0E07","THAI CHARACTER NGO NGU"
"ก",565241,"U+0E01","THAI CHARACTER KO KAI"
"ร",544806,"U+0E23","THAI CHARACTER RO RUA"
"ไ",509834,"U+0E44","THAI CHARACTER SARA AI MAIMALAI"
"ะ",509469,"U+0E30","THAI CHARACTER SARA A"
"ย",456723,"U+0E22","THAI CHARACTER YO YAK"
"ม",436652,"U+0E21","THAI CHARACTER MO MA"
"ว",404064,"U+0E27","THAI CHARACTER WO WAEN"
"แ",351370,"U+0E41","THAI CHARACTER SARA AE"
"ห",317331,"U+0E2B","THAI CHARACTER HO HIP"
"บ",309823,"U+0E1A","THAI CHARACTER BO BAIMAI"
"จ",279257,"U+0E08","THAI CHARACTER CHO CHAN"
"ล",266490,"U+0E25","THAI CHARACTER LO LING"
"ค",264276,"U+0E04","THAI CHARACTER KHO KHWAI"
"ใ",243315,"U+0E43","THAI CHARACTER SARA AI MAIMUAN"
"ด",242260,"U+0E14","THAI CHARACTER DO DEK"
"ข",235990,"U+0E02","THAI CHARACTER KHO KHAI"
".",213711,"U+002E","FULL STOP"
"พ",177809,"U+0E1E","THAI CHARACTER PHO PHAN"
"ป",176337,"U+0E1B","THAI CHARACTER PO PLA"
"ที่",175833,"U+0E17, U+0E35, U+0E48","THAI CHARACTER THO THAHAN, THAI CHARACTER SARA II, THAI CHARACTER MAI EK"
"ม่",166260,"U+0E21, U+0E48","THAI CHARACTER MO MA, THAI CHARACTER MAI EK"
"ส",152141,"U+0E2A","THAI CHARACTER SO SUA"
"ต",147334,"U+0E15","THAI CHARACTER TO TAO"
"ด้",139853,"U+0E14, U+0E49","THAI CHARACTER DO DEK, THAI CHARACTER MAI THO"
"ฉั",135812,"U+0E09, U+0E31","THAI CHARACTER CHO CHING, THAI CHARACTER MAI HAN-AKAT"
"โ",131717,"U+0E42","THAI CHARACTER SARA O"
"ณ",124334,"U+0E13","THAI CHARACTER NO NEN"
"ธ",121750,"U+0E18","THAI CHARACTER THO THONG"
"คุ",120110,"U+0E04, U+0E38","THAI CHARACTER KHO KHWAI, THAI CHARACTER SARA U"
