"Grapheme","Frequency","Codepoint","UnicodeName"
"า",612,"U+0E32","THAI CHARACTER SARA AA"
"ร",395,"U+0E23","THAI CHARACTER RO RUA"
"น",381,"U+0E19","THAI CHARACTER NO NU"
"ง",320,"U+0E07","THAI CHARACTER NGO NGU"
"ก",318,"U+0E01","THAI CHARACTER KO KAI"
"อ",288,"U+0E2D","THAI CHARACTER O ANG"
"ะ",283,"U+0E30","THAI CHARACTER SARA A"
"เ",230,"U+0E40","THAI CHARACTER SARA E"
"ม",228,"U+0E21","THAI CHARACTER MO MA"
"ล",182,"U+0E25","THAI CHARACTER LO LING"
"ค",181,"U+0E04","THAI CHARACTER KHO KHWAI"
"แ",166,"U+0E41","THAI CHARACTER SARA AE"
"ย",156,"U+0E22","THAI CHARACTER YO YAK"
"ด",150,"U+0E14","THAI CHARACTER DO DEK"
"ท",128,"U+0E17","THAI CHARACTER THO THAHAN"
"ใ",124,"U+0E43","THAI CHARACTER SARA AI MAIMUAN"
"จ",122,"U+0E08","THAI CHARACTER CHO CHAN"
"ว",122,"U+0E27","THAI CHARACTER WO WAEN"
"ห",119,"U+0E2B","THAI CHARACTER HO HIP"
"ส",111,"U+0E2A","THAI CHARACTER SO SUA"
"ป",98,"U+0E1B","THAI CHARACTER PO PLA"
"ไ",86,"U+0E44","THAI CHARACTER SARA AI MAIMALAI"
"บ",84,"U+0E1A","THAI CHARACTER BO BAIMAI"
"ที่",81,"U+0E17, U+0E35, U+0E48","THAI CHARACTER THO THAHAN, THAI CHARACTER SARA II, THAI CHARACTER MAI EK"
"ช",73,"U+0E0A","THAI CHARACTER CHO CHANG"
"ต",71,"U+0E15","THAI CHARACTER TO TAO"
"สิ",67,"U+0E2A, U+0E34","THAI CHARACTER SO SUA, THAI CHARACTER SARA I"
"ธิ",64,"U+0E18, U+0E34","THAI CHARACTER THO THONG, THAI CHARACTER SARA I"
"ด้",59,"U+0E14, U+0E49","THAI CHARACTER DO DEK, THAI CHARACTER MAI THO"
"โ",58,"U+0E42","THAI CHARACTER SARA O"
"ข",56,"U+0E02","THAI CHARACTER KHO KHAI"
"พ",52,"U+0E1E","THAI CHARACTER PHO PHAN"
"มี",52,"U+0E21, U+0E35","THAI CHARACTER MO MA, THAI CHARACTER SARA II"
"รั",52,"U+0E23, U+0E31","THAI CHARACTER RO RUA, THAI CHARACTER MAI HAN-AKAT"
"ติ",46,"U+0E15, U+0E34","THAI CHARACTER TO TAO, THAI CHARACTER SARA I"
"ป็",44,"U+0E1B, U+0E47","THAI CHARACTER PO PLA, THAI CHARACTER MAITAIKHU"
"ภ",41,"U+0E20","THAI CHARACTER PHO SAMPHAO"
"ข้",38,"U+0E02, U+0E49","THAI CHARACTER KHO KHAI, THAI CHARACTER MAI THO"
"ทุ",37,"U+0E17, U+0E38","THAI CHARACTER THO THAHAN, THAI CHARACTER SARA U"
"ศ",37,"U+0E28","THAI CHARACTER SO SALA"
