"Grapheme","Frequency","Codepoint","UnicodeName"
"n",2014496,"U+006E","LATIN SMALL LETTER N"
"h",1590616,"U+0068","LATIN SMALL LETTER H"
"i",1233184,"U+0069","LATIN SMALL LETTER I"
"t",1096822,"U+0074","LATIN SMALL LETTER T"
"c",1009276,"U+0063","LATIN SMALL LETTER C"
"g",993660,"U+0067","LATIN SMALL LETTER G"
"a",725287,"U+0061","LATIN SMALL LETTER A"
".",628944,"U+002E","FULL STOP"
"đ",501161,"U+0111","LATIN SMALL LETTER D WITH STROKE"
"m",460281,"U+006D","LATIN SMALL LETTER M"
"à",452819,"U+00E0","LATIN SMALL LETTER A WITH GRAVE"
"u",433288,"U+0075","LATIN SMALL LETTER U"
"ô",400082,"U+00F4","LATIN SMALL LETTER O WITH CIRCUMFLEX"
"o",394408,"U+006F","LATIN SMALL LETTER O"
"y",376722,"U+0079","LATIN SMALL LETTER Y"
"l",366146,"U+006C","LATIN SMALL LETTER L"
"r",323969,"U+0072","LATIN SMALL LETTER R"
"ư",281218,"U+01B0","LATIN SMALL LETTER U WITH HORN"
"v",257510,"U+0076","LATIN SMALL LETTER V"
"k",235021,"U+006B","LATIN SMALL LETTER K"
",",234873,"U+002C","COMMA"
"s",231552,"U+0073","LATIN SMALL LETTER S"
"ó",230580,"U+00F3","LATIN SMALL LETTER O WITH ACUTE"
"b",212838,"U+0062","LATIN SMALL LETTER B"
"á",198816,"U+00E1","LATIN SMALL LETTER A WITH ACUTE"
"ế",183452,"U+1EBF","LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE"
"e",166645,"U+0065","LATIN SMALL LETTER E"
"p",163957,"U+0070","LATIN SMALL LETTER P"
"C",158598,"U+0043","LATIN CAPITAL LETTER C"
"ấ",143797,"U+1EA5","LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE"
"T",142953,"U+0054","LATIN CAPITAL LETTER T"
"ì",139575,"U+00EC","LATIN SMALL LETTER I WITH GRAVE"
"ả",128650,"U+1EA3","LATIN SMALL LETTER A WITH HOOK ABOVE"
"ờ",124396,"U+1EDD","LATIN SMALL LETTER O WITH HORN AND GRAVE"
"?",120623,"U+003F","QUESTION MARK"
"ú",119919,"U+00FA","LATIN SMALL LETTER U WITH ACUTE"
"ê",119478,"U+00EA","LATIN SMALL LETTER E WITH CIRCUMFLEX"
"-",118222,"U+002D","HYPHEN-MINUS"
"ạ",113578,"U+1EA1","LATIN SMALL LETTER A WITH DOT BELOW"
"ố",110639,"U+1ED1","LATIN SMALL LETTER O WITH CIRCUMFLEX AND ACUTE"
"ậ",109782,"U+1EAD","LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW"
"â",106461,"U+00E2","LATIN SMALL LETTER A WITH CIRCUMFLEX"
"ớ",100210,"U+1EDB","LATIN SMALL LETTER O WITH HORN AND ACUTE"
"ộ",96344,"U+1ED9","LATIN SMALL LETTER O WITH CIRCUMFLEX AND DOT BELOW"
"d",95336,"U+0064","LATIN SMALL LETTER D"
"N",87897,"U+004E","LATIN CAPITAL LETTER N"
"ệ",84067,"U+1EC7","LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW"
"ơ",83797,"U+01A1","LATIN SMALL LETTER O WITH HORN"
"ã",80521,"U+00E3","LATIN SMALL LETTER A WITH TILDE"
"ể",80159,"U+1EC3","LATIN SMALL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE"
"ủ",80090,"U+1EE7","LATIN SMALL LETTER U WITH HOOK ABOVE"
"ứ",76513,"U+1EE9","LATIN SMALL LETTER U WITH HORN AND ACUTE"
"Đ",74872,"U+0110","LATIN CAPITAL LETTER D WITH STROKE"
