"Grapheme","Frequency","Codepoint","UnicodeName"
"e",406404,"U+0065","LATIN SMALL LETTER E"
"h",366539,"U+0068","LATIN SMALL LETTER H"
"a",352504,"U+0061","LATIN SMALL LETTER A"
"t",350306,"U+0074","LATIN SMALL LETTER T"
"i",260372,"U+0069","LATIN SMALL LETTER I"
"l",234443,"U+006C","LATIN SMALL LETTER L"
"ä",227774,"U+00E4","LATIN SMALL LETTER A WITH DIAERESIS"
"y",169789,"U+0079","LATIN SMALL LETTER Y"
"n",158334,"U+006E","LATIN SMALL LETTER N"
"o",154004,"U+006F","LATIN SMALL LETTER O"
"w",132692,"U+0077","LATIN SMALL LETTER W"
"'",129688,"U+0027","APOSTROPHE"
"s",117559,"U+0073","LATIN SMALL LETTER S"
"k",115237,"U+006B","LATIN SMALL LETTER K"
"j",100107,"U+006A","LATIN SMALL LETTER J"
"m",88888,"U+006D","LATIN SMALL LETTER M"
"c",86196,"U+0063","LATIN SMALL LETTER C"
"p",71806,"U+0070","LATIN SMALL LETTER P"
"u",60796,"U+0075","LATIN SMALL LETTER U"
",",60014,"U+002C","COMMA"
".",45214,"U+002E","FULL STOP"
"f",24351,"U+0066","LATIN SMALL LETTER F"
"r",20950,"U+0072","LATIN SMALL LETTER R"
"W",17043,"U+0057","LATIN CAPITAL LETTER W"
"L",12100,"U+004C","LATIN CAPITAL LETTER L"
"T",8838,"U+0054","LATIN CAPITAL LETTER T"
"D",8821,"U+0044","LATIN CAPITAL LETTER D"
"d",8647,"U+0064","LATIN SMALL LETTER D"
"M",8105,"U+004D","LATIN CAPITAL LETTER M"
"J",7754,"U+004A","LATIN CAPITAL LETTER J"
"I",7527,"U+0049","LATIN CAPITAL LETTER I"
"H",6935,"U+0048","LATIN CAPITAL LETTER H"
"A",6851,"U+0041","LATIN CAPITAL LETTER A"
"õ",6011,"U+00F5","LATIN SMALL LETTER O WITH TILDE"
":",5839,"U+003A","COLON"
"b",5666,"U+0062","LATIN SMALL LETTER B"
"—",4833,"U+2014","EM DASH"
"í",4434,"U+00ED","LATIN SMALL LETTER I WITH ACUTE"
"O",4216,"U+004F","LATIN CAPITAL LETTER O"
"“",4013,"U+201C","LEFT DOUBLE QUOTATION MARK"
"E",3962,"U+0045","LATIN CAPITAL LETTER E"
"C",3660,"U+0043","LATIN CAPITAL LETTER C"
"é",3579,"U+00E9","LATIN SMALL LETTER E WITH ACUTE"
"S",3442,"U+0053","LATIN CAPITAL LETTER S"
"N",3090,"U+004E","LATIN CAPITAL LETTER N"
"á",2814,"U+00E1","LATIN SMALL LETTER A WITH ACUTE"
"v",2615,"U+0076","LATIN SMALL LETTER V"
"¡",2504,"U+00A1","INVERTED EXCLAMATION MARK"
"!",2503,"U+0021","EXCLAMATION MARK"
"ú",2491,"U+00FA","LATIN SMALL LETTER U WITH ACUTE"
"ó",2486,"U+00F3","LATIN SMALL LETTER O WITH ACUTE"
"”",2444,"U+201D","RIGHT DOUBLE QUOTATION MARK"
"¿",2404,"U+00BF","INVERTED QUESTION MARK"
"?",2402,"U+003F","QUESTION MARK"
"g",2314,"U+0067","LATIN SMALL LETTER G"
"B",1792,"U+0042","LATIN CAPITAL LETTER B"
"z",1544,"U+007A","LATIN SMALL LETTER Z"
"P",1256,"U+0050","LATIN CAPITAL LETTER P"
"Y",1154,"U+0059","LATIN CAPITAL LETTER Y"
"G",1012,"U+0047","LATIN CAPITAL LETTER G"
"F",918,"U+0046","LATIN CAPITAL LETTER F"
"0",835,"U+0030","DIGIT ZERO"
"R",800,"U+0052","LATIN CAPITAL LETTER R"
"q",737,"U+0071","LATIN SMALL LETTER Q"
"K",598,"U+004B","LATIN CAPITAL LETTER K"
"-",551,"U+002D","HYPHEN-MINUS"
"(",510,"U+0028","LEFT PARENTHESIS"
")",510,"U+0029","RIGHT PARENTHESIS"
"Z",387,"U+005A","LATIN CAPITAL LETTER Z"
"Ä",267,"U+00C4","LATIN CAPITAL LETTER A WITH DIAERESIS"
"U",244,"U+0055","LATIN CAPITAL LETTER U"
"2",242,"U+0032","DIGIT TWO"
"1",179,"U+0031","DIGIT ONE"
"3",168,"U+0033","DIGIT THREE"
"Õ",148,"U+00D5","LATIN CAPITAL LETTER O WITH TILDE"
"5",140,"U+0035","DIGIT FIVE"
"4",137,"U+0034","DIGIT FOUR"
"7",105,"U+0037","DIGIT SEVEN"
"6",102,"U+0036","DIGIT SIX"
"É",76,"U+00C9","LATIN CAPITAL LETTER E WITH ACUTE"
"8",73,"U+0038","DIGIT EIGHT"
"9",41,"U+0039","DIGIT NINE"
"Q",29,"U+0051","LATIN CAPITAL LETTER Q"
"x",24,"U+0078","LATIN SMALL LETTER X"
"Á",19,"U+00C1","LATIN CAPITAL LETTER A WITH ACUTE"
"ñ",17,"U+00F1","LATIN SMALL LETTER N WITH TILDE"
"V",16,"U+0056","LATIN CAPITAL LETTER V"
"Í",10,"U+00CD","LATIN CAPITAL LETTER I WITH ACUTE"
";",8,"U+003B","SEMICOLON"
"[",2,"U+005B","LEFT SQUARE BRACKET"
"]",2,"U+005D","RIGHT SQUARE BRACKET"
"Ú",2,"U+00DA","LATIN CAPITAL LETTER U WITH ACUTE"
