"Grapheme","Frequency","Codepoint","UnicodeName"
"n",825,"U+006E","LATIN SMALL LETTER N"
"í",532,"U+00ED","LATIN SMALL LETTER I WITH ACUTE"
"à",518,"U+00E0","LATIN SMALL LETTER A WITH GRAVE"
"t",441,"U+0074","LATIN SMALL LETTER T"
"ì",398,"U+00EC","LATIN SMALL LETTER I WITH GRAVE"
"b",369,"U+0062","LATIN SMALL LETTER B"
"i",367,"U+0069","LATIN SMALL LETTER I"
"a",347,"U+0061","LATIN SMALL LETTER A"
"l",346,"U+006C","LATIN SMALL LETTER L"
"k",332,"U+006B","LATIN SMALL LETTER K"
"á",263,"U+00E1","LATIN SMALL LETTER A WITH ACUTE"
"r",246,"U+0072","LATIN SMALL LETTER R"
"è̩",230,"U+00E8, U+0329","LATIN SMALL LETTER E WITH GRAVE, COMBINING VERTICAL LINE BELOW"
"o̩",223,"U+006F, U+0329","LATIN SMALL LETTER O, COMBINING VERTICAL LINE BELOW"
"w",198,"U+0077","LATIN SMALL LETTER W"
"ó",196,"U+00F3","LATIN SMALL LETTER O WITH ACUTE"
"ò̩",194,"U+00F2, U+0329","LATIN SMALL LETTER O WITH GRAVE, COMBINING VERTICAL LINE BELOW"
"g",192,"U+0067","LATIN SMALL LETTER G"
"ó̩",187,"U+00F3, U+0329","LATIN SMALL LETTER O WITH ACUTE, COMBINING VERTICAL LINE BELOW"
"y",177,"U+0079","LATIN SMALL LETTER Y"
"ò",176,"U+00F2","LATIN SMALL LETTER O WITH GRAVE"
"è",175,"U+00E8","LATIN SMALL LETTER E WITH GRAVE"
"d",168,"U+0064","LATIN SMALL LETTER D"
"ú",165,"U+00FA","LATIN SMALL LETTER U WITH ACUTE"
"s",139,"U+0073","LATIN SMALL LETTER S"
"j",134,"U+006A","LATIN SMALL LETTER J"
"é̩",130,"U+00E9, U+0329","LATIN SMALL LETTER E WITH ACUTE, COMBINING VERTICAL LINE BELOW"
"o",129,"U+006F","LATIN SMALL LETTER O"
"m",126,"U+006D","LATIN SMALL LETTER M"
"é",122,"U+00E9","LATIN SMALL LETTER E WITH ACUTE"
"f",104,"U+0066","LATIN SMALL LETTER F"
".",99,"U+002E","FULL STOP"
"p",97,"U+0070","LATIN SMALL LETTER P"
"s̩",95,"U+0073, U+0329","LATIN SMALL LETTER S, COMBINING VERTICAL LINE BELOW"
"‐",94,"U+2010","HYPHEN"
",",92,"U+002C","COMMA"
"e̩",92,"U+0065, U+0329","LATIN SMALL LETTER E, COMBINING VERTICAL LINE BELOW"
"e",83,"U+0065","LATIN SMALL LETTER E"
"ù",50,"U+00F9","LATIN SMALL LETTER U WITH GRAVE"
"A",46,"U+0041","LATIN CAPITAL LETTER A"
"u",45,"U+0075","LATIN SMALL LETTER U"
"E̩",34,"U+0045, U+0329","LATIN CAPITAL LETTER E, COMBINING VERTICAL LINE BELOW"
"h",26,"U+0068","LATIN SMALL LETTER H"
";",11,"U+003B","SEMICOLON"
"À",11,"U+00C0","LATIN CAPITAL LETTER A WITH GRAVE"
"B",10,"U+0042","LATIN CAPITAL LETTER B"
"ń",6,"U+0144","LATIN SMALL LETTER N WITH ACUTE"
"E",4,"U+0045","LATIN CAPITAL LETTER E"
"G",4,"U+0047","LATIN CAPITAL LETTER G"
"N",4,"U+004E","LATIN CAPITAL LETTER N"
"n̄",4,"U+006E, U+0304","LATIN SMALL LETTER N, COMBINING MACRON"
"K",3,"U+004B","LATIN CAPITAL LETTER K"
"O̩",3,"U+004F, U+0329","LATIN CAPITAL LETTER O, COMBINING VERTICAL LINE BELOW"
"É",2,"U+00C9","LATIN CAPITAL LETTER E WITH ACUTE"
"Ì",2,"U+00CC","LATIN CAPITAL LETTER I WITH GRAVE"
"O",2,"U+004F","LATIN CAPITAL LETTER O"
"Ó",2,"U+00D3","LATIN CAPITAL LETTER O WITH ACUTE"
"Ó̩",2,"U+00D3, U+0329","LATIN CAPITAL LETTER O WITH ACUTE, COMBINING VERTICAL LINE BELOW"
"Ò̩",2,"U+00D2, U+0329","LATIN CAPITAL LETTER O WITH GRAVE, COMBINING VERTICAL LINE BELOW"
"R",2,"U+0052","LATIN CAPITAL LETTER R"
"S",2,"U+0053","LATIN CAPITAL LETTER S"
"T",2,"U+0054","LATIN CAPITAL LETTER T"
"W",2,"U+0057","LATIN CAPITAL LETTER W"
"Y",2,"U+0059","LATIN CAPITAL LETTER Y"
"Á",1,"U+00C1","LATIN CAPITAL LETTER A WITH ACUTE"
"D",1,"U+0044","LATIN CAPITAL LETTER D"
"È̩",1,"U+00C8, U+0329","LATIN CAPITAL LETTER E WITH GRAVE, COMBINING VERTICAL LINE BELOW"
"F",1,"U+0046","LATIN CAPITAL LETTER F"
"I",1,"U+0049","LATIN CAPITAL LETTER I"
"Í",1,"U+00CD","LATIN CAPITAL LETTER I WITH ACUTE"
"M",1,"U+004D","LATIN CAPITAL LETTER M"
"t̩",1,"U+0074, U+0329","LATIN SMALL LETTER T, COMBINING VERTICAL LINE BELOW"
"Ú",1,"U+00DA","LATIN CAPITAL LETTER U WITH ACUTE"
