"Grapheme","Frequency","Codepoint","UnicodeName"
"a",975,"U+0061","LATIN SMALL LETTER A"
"e",973,"U+0065","LATIN SMALL LETTER E"
"n",898,"U+006E","LATIN SMALL LETTER N"
"u",778,"U+0075","LATIN SMALL LETTER U"
"o",684,"U+006F","LATIN SMALL LETTER O"
"l",660,"U+006C","LATIN SMALL LETTER L"
"k",610,"U+006B","LATIN SMALL LETTER K"
"i",559,"U+0069","LATIN SMALL LETTER I"
"h",397,"U+0068","LATIN SMALL LETTER H"
"g",311,"U+0067","LATIN SMALL LETTER G"
"m",285,"U+006D","LATIN SMALL LETTER M"
"b",245,"U+0062","LATIN SMALL LETTER B"
"w",236,"U+0077","LATIN SMALL LETTER W"
"s",226,"U+0073","LATIN SMALL LETTER S"
"z",217,"U+007A","LATIN SMALL LETTER Z"
"t",207,"U+0074","LATIN SMALL LETTER T"
"y",149,"U+0079","LATIN SMALL LETTER Y"
",",96,"U+002C","COMMA"
"p",90,"U+0070","LATIN SMALL LETTER P"
"d",79,"U+0064","LATIN SMALL LETTER D"
".",63,"U+002E","FULL STOP"
"q",51,"U+0071","LATIN SMALL LETTER Q"
"f",49,"U+0066","LATIN SMALL LETTER F"
"I",38,"U+0049","LATIN CAPITAL LETTER I"
"W",33,"U+0057","LATIN CAPITAL LETTER W"
"c",31,"U+0063","LATIN SMALL LETTER C"
"j",28,"U+006A","LATIN SMALL LETTER J"
"v",26,"U+0076","LATIN SMALL LETTER V"
"A",21,"U+0041","LATIN CAPITAL LETTER A"
"N",21,"U+004E","LATIN CAPITAL LETTER N"
"M",14,"U+004D","LATIN CAPITAL LETTER M"
"1",13,"U+0031","DIGIT ONE"
"2",13,"U+0032","DIGIT TWO"
"L",13,"U+004C","LATIN CAPITAL LETTER L"
"G",10,"U+0047","LATIN CAPITAL LETTER G"
"U",10,"U+0055","LATIN CAPITAL LETTER U"
"E",9,"U+0045","LATIN CAPITAL LETTER E"
"x",9,"U+0078","LATIN SMALL LETTER X"
"O",8,"U+004F","LATIN CAPITAL LETTER O"
"Z",6,"U+005A","LATIN CAPITAL LETTER Z"
"3",4,"U+0033","DIGIT THREE"
"B",4,"U+0042","LATIN CAPITAL LETTER B"
"K",4,"U+004B","LATIN CAPITAL LETTER K"
"0",3,"U+0030","DIGIT ZERO"
"4",3,"U+0034","DIGIT FOUR"
"5",3,"U+0035","DIGIT FIVE"
"6",3,"U+0036","DIGIT SIX"
"7",3,"U+0037","DIGIT SEVEN"
"8",3,"U+0038","DIGIT EIGHT"
"9",3,"U+0039","DIGIT NINE"
"J",3,"U+004A","LATIN CAPITAL LETTER J"
"r",3,"U+0072","LATIN SMALL LETTER R"
"‐",2,"U+2010","HYPHEN"
"C",2,"U+0043","LATIN CAPITAL LETTER C"
"H",2,"U+0048","LATIN CAPITAL LETTER H"
"S",2,"U+0053","LATIN CAPITAL LETTER S"
"D",1,"U+0044","LATIN CAPITAL LETTER D"
"Q",1,"U+0051","LATIN CAPITAL LETTER Q"
"T",1,"U+0054","LATIN CAPITAL LETTER T"
"Y",1,"U+0059","LATIN CAPITAL LETTER Y"
