file_prefix,ISO6391,iso639P3code
af_afribooms,af,afr
akk_riao,akk,akk
aqz_tudet,aqz,aqz
sq_tsa,sq,sqi
am_att,am,amh
grc_proiel,grc,grc
apu_ufpa,apu,apu
ar_padt,ar,arb
hy_armtdp,hy,hye
aii_as,aii,aii
bm_crb,bm,bam
eu_bdt,eu,eus
bej_nsc,bej,bej
be_hse,be,bel
bho_bhtb,bho,bho
br_keb,br,bre
bg_btb,bg,bul
bxr_bdt,bxr,bxr
yue_hk,yue,yue
ca_ancora,ca,cat
zh_gsd,zh,yue
ckt_hse,ckt,ckt
cop_scriptorium,cop,cop
hr_set,hr,hrv
cs_pdt,cs,ces
da_ddt,da,dan
nl_alpino,nl,nld
en_gum,en,eng
myv_jr,myv,myv
et_edt,et,ekk
fo_farpahc,fo,fao
fi_tdt,fi,fin
fr_ftb,fr,fra
qfn_fame,qfn,frr
gl_ctg,gl,glg
de_hdt,de,deu
got_proiel,got,got
el_gdt,el,ell
gub_tudet,gub,gub
he_htb,he,heb
hi_hdtb,hi,hin
hu_szeged,hu,hun
is_icepahc,is,isl
id_gsd,id,ind
ga_idt,ga,gle
it_isdt,it,ita
ja_gsd,ja,jpn
urb_tudet,urb,urb
xnr_kdtb,xnr,xnr
krl_kkpp,krl,krl
kk_ktb,kk,kaz
kfm_aha,kfm,kfm
quc_iu,quc,quc
kpv_lattice,kpv,kpv
ko_kaist,ko,kor
kmr_mg,kmr,kmr
la_ittb,la,lat
lv_lvtb,lv,lav
lt_alksnis,lt,lit
olo_kkpp,olo,olo
nds_lsdc,nds,nds
mpu_tudet,mpu,mpu
mt_mudt,mt,mlt
gv_cadhan,gv,glv
mr_ufal,mr,mar
gun_dooley,gun,gun
mdf_jr,mdf,mdf
myu_tudet,myu,myu
pcm_nsc,pcm,pcm
nyq_aha,nyq,nyq
sme_giella,sme,sme
no_bokmaal,no,nor
cu_proiel,cu,chu
orv_torot,orv,orv
fro_srcmf,fro,fro
fa_perdt,fa,pes
pl_pdb,pl,pol
pt_gsd,pt,por
ro_nonstandard,ro,ron
ru_syntagrus,ru,rus
sa_vedic,sa,san
gd_arcosg,gd,gla
sr_set,sr,srp
sms_giellagas,sms,sms
sk_snk,sk,slk
sl_ssj,sl,slv
soj_aha,soj,soj
ajp_madar,ajp,ajp
es_ancora,es,spa
sv_talbanken,sv,swe
gsw_uzh,gsw,gsw
tl_ugnayan,tl,tgl
ta_ttb,ta,tam
te_mtg,te,tel
th_pud,th,tha
tpn_tudet,tpn,tpn
tr_kenet,tr,tur
hsb_ufal,hsb,hsb
ur_udtb,ur,urd
ug_udt,ug,uig
vi_vtb,vi,vie
wbp_ufal,wbp,wbp
cy_ccg,cy,cym
hyw_armtdp,hyw,hyw
wo_wtb,wo,wol
yo_ytb,yo,yor
ess_sli,ess,ess
