iso,language,number_texts,number_genres,number_characters,number_tokens
abk,Abkhaz,1,1,66,4324
kjq,Acoma,1,1,57,2220
amp,Alamblak,1,1,69,276878
aey,Amele,1,1,71,282106
apu,Apurina,1,1,71,216105
arz,Arabic_Egyptian,1,1,67,559809
ape,Arapesh_Mountain,1,1,72,313569
tml,Asmat,2,1,60,798
bmi,Bagirmi,1,1,51,68
bsn,Barasano,1,1,100,303425
eus,Basque,670,2,231,3552274
tzm,Berber_MiddleAtlas,1,1,66,4525
mya,Burmese,2,2,145,41850
bsk,Burushaski,1,1,41,185
ram,CanelaKraho,1,1,86,40208
cha,Chamorro,2,2,146,254905
ckt,Chukchi,1,1,92,22793
crk,Cree_Plains,1,1,53,641
dgz,Daga,1,1,67,252843
eng,English,1384,3,531,15810419
fij,Fijian,2,2,130,271434
fin,Finnish,2575,3,396,15117172
fra,French,1338,3,505,15216681
kat,Georgian,218,2,225,1033505
deu,German,1631,3,589,15284932
gni,Gooniyandi,1,1,21,258
gry,Grebo,0,0,0,0
ell,Greek_Modern,1587,3,727,15622655
kal,Greenlandic_West,2,2,126,89766
gug,Guarani,2,2,174,206099
hau,Hausa,3,2,145,234773
heb,Hebrew_Modern,1636,3,388,6730183
hin,Hindi,73,2,332,2113765
hix,Hixkaryana,1,1,56,56987
hnj,HmongNjua,1,1,59,7351
imn,Imonda,1,1,26,361
ind,Indonesian,1227,2,319,5762021
jac,Jakaltek,1,1,81,295408
jpn,Japanese,1068,3,8686,5974961
kan,Kannada,1,1,75,3026
kyh,Karok,1,1,74,423
gyd,Kayardild,1,1,58,85
kew,Kewa,1,1,67,282373
khk,Khalkha,2,2,127,174226
naq,Khoekhoe,1,1,87,209442
kio,Kiowa,1,1,39,179
cku,Koasati,0,0,0,0
kor,Korean,854,2,3091,5950193
ses,KoyraboroSenni,0,0,0,0
kgo,Krongo,0,0,0,0
kut,Kutenai,1,1,30,48
lkt,Lakota,0,0,0,0
laj,Lango,1,1,73,213964
lvk,Lavukaleve,2,1,49,1945
lez,Lezgian,0,0,0,0
lue,Luvale,1,1,55,3238
myh,Makah,5,2,63,394
plt,Malagasy,2,2,148,946964
cmn,Mandarin,784,3,18817,11849946
mpc,Mangarrayi,0,0,0,0
arn,Mapudungun,2,2,149,240813
mrc,Maricopa,0,0,0,0
vma,Martuthunira,7,1,52,7872
mph,Maung,1,1,72,26176
ayz,Maybrat,1,1,34,678
mni,Meithei,0,0,0,0
mig,Mixtec_Chalcatongo,1,1,84,268161
wyb,Ngiyambaa,1,1,20,45
one,Oneida,0,0,0,0
hae,Oromo_Harar,1,1,79,206966
ote,Otomi_Mezquital,1,1,70,5416
pwn,Paiwan,0,0,0,0
pes,Persian,1175,3,426,5251428
myp,Piraha,0,0,0,0
qvi,Quechua_Imbabura,1,1,85,198842
rma,Rama,2,2,54,458
rap,Rapanui,3,1,44,2792
rus,Russian,1586,3,447,5721955
sag,Sango,2,2,163,313317
xsu,Sanuma,1,1,87,500527
scs,Slave,0,0,0,0
spa,Spanish,1475,3,441,15486509
spp,Supyire,0,0,0,0
swh,Swahili,3,2,150,169010
tgl,Tagalog,100,3,299,3038440
tha,Thai,1002,2,339,8740443
tiw,Tiwi,0,0,0,0
bhq,TukangBesi,0,0,0,0
tur,Turkish,1923,2,239,5529523
vie,Vietnamese,861,2,902,6861282
wba,Warao,1,1,23,399
pav,Wari,0,0,0,0
mzh,Wichi,1,1,95,931061
mzh,Wichi,1,1,95,931061
wic,Wichita,2,1,20,772
yad,Yagua,2,2,147,195072
yaq,Yaqui,1,1,64,377078
yor,Yoruba,2,2,170,943301
zoc,Zoque_Copainala,1,1,37,894
zul,Zulu,1,1,63,3002
