language,number_texts,number_genres,number_characters,number_tokens
Abkhaz_abk,1,1,66,2650
Acoma_kjq,1,1,57,2189
Alamblak_amp,1,1,69,276878
Amele_aey,1,1,71,282106
Apurina_apu,1,1,71,216105
Arabic_Egyptian_arz,1,1,67,559809
Arapesh_Mountain_ape,1,1,72,313569
Asmat_tml,2,1,60,736
Bagirmi_bmi,1,1,51,67
Barasano_bsn,1,1,100,301879
Basque_eus,670,2,231,2766143
Berber_MiddleAtlas_tzm,1,1,66,3644
Burmese_mya,2,2,145,528128
Burushaski_bsk,1,1,41,185
CanelaKraho_ram,1,1,87,39898
Chamorro_cha,2,2,146,233275
Chukchi_ckt,1,1,92,22677
Cree_Plains_crk,1,1,53,612
Daga_dgz,1,1,67,252821
Dani_LoweGrandValley_dni,0,0,0,0
English_eng,1384,3,530,15955891
Fijian_fij,2,2,130,268515
Finnish_fin,2575,3,396,15980444
French_fra,1338,3,505,15195137
Georgian_kat,218,2,225,836482
German_deu,1631,3,588,16099011
Gooniyandi_gni,1,1,21,240
Grebo_gry,0,0,0,0
Greek_Modern_ell,1587,3,726,16212378
Greenlandic_West_kal,2,2,126,88134
Guarani_gug,2,2,174,180442
Hausa_hau,3,2,145,231356
Hebrew_Modern_heb,1636,3,387,5290560
Hindi_hin,73,2,332,2304409
Hixkaryana_hix,1,1,57,57023
HmongNjua_hnj,1,1,59,5602
Imonda_imn,1,1,26,354
Indonesian_ind,1227,2,319,5892959
Jakaltek_jac,1,1,81,265326
Japanese_jpn,1068,3,8685,1290714
Kannada_kan,1,1,75,2160
Karok_kyh,1,1,74,379
Kayardild_gyd,1,1,58,65
Kewa_kew,1,1,67,282373
Khalkha_khk,2,2,127,172549
Khoekhoe_naq,1,1,87,209442
Kiowa_kio,1,1,39,80
Koasati_cku,0,0,0,0
Korean_kor,854,2,3091,3436864
KoyraboroSenni_ses,0,0,0,0
Krongo_kgo,0,0,0,0
Kutenai_kut,1,1,30,32
Lakota_lkt,0,0,0,0
Lango_laj,1,1,73,213964
Lavukaleve_lvk,2,1,47,1905
Lezgian_lez,0,0,0,0
Luvale_lue,1,1,55,2432
Makah_myh,5,2,63,393
Malagasy_plt,2,2,148,817977
Mandarin_cmn,784,3,18816,1897794
Mangarrayi_mpc,0,0,0,0
Mapudungun_arn,2,2,149,239259
Maricopa_mrc,0,0,0,0
Martuthunira_vma,7,1,52,7658
Maung_mph,1,1,72,26176
Maybrat_ayz,1,1,34,678
Meithei_mni,0,0,0,0
Mixtec_Chalcatongo_mig,1,1,84,223793
Ngiyambaa_wyb,1,1,20,34
Oneida_one,0,0,0,0
Oromo_Harar_hae,1,1,79,205876
Otomi_Mezquital_ote,1,1,70,3698
Paiwan_pwn,0,0,0,0
Persian_pes,1175,3,426,5385056
Piraha_myp,0,0,0,0
Quechua_Imbabura_qvi,1,1,85,198842
Rama_rma,2,2,54,456
Rapanui_rap,3,1,44,2714
Russian_rus,1586,3,446,5903177
Sango_sag,2,2,163,312472
Sanuma_xsu,1,1,87,500527
Slave_scs,0,0,0,0
Spanish_spa,1475,3,440,15914725
Supyire_spp,0,0,0,0
Swahili_swh,3,2,150,167424
Tagalog_tgl,100,3,299,2873591
Thai_tha,1002,2,339,2381971
Tiwi_tiw,0,0,0,0
TukangBesi_bhq,0,0,0,0
Turkish_tur,1923,2,239,5712949
Vietnamese_vie,861,2,902,6003452
Warao_wba,1,1,23,395
Wari_pav,0,0,0,0
Wichi_mzh,1,1,95,884293
Wichita_wic,2,1,20,772
Yagua_yad,2,2,147,194137
Yaqui_yaq,1,1,64,306039
Yoruba_yor,2,2,170,942404
Zoque_Copainala_zoc,1,1,37,872
Zulu_zul,1,1,63,2150
